0,Tamale,Ghana,0,9.433,-0.848,168
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2012,00:00:00,0,0,0,24.22,992.14,
01/01/2012,01:00:00,0,0,0,23.41,991.97,
01/01/2012,02:00:00,0,0,0,22.6,991.81,
01/01/2012,03:00:00,0,0,0,21.78,991.94,
01/01/2012,04:00:00,0,0,0,20.97,992.07,
01/01/2012,05:00:00,0,0,0,20.15,992.2,
01/01/2012,06:00:00,0,0,0,19.34,992.69,
01/01/2012,07:00:00,128,360.19,66,18.53,993.18,
01/01/2012,08:00:00,364,603.58,128,25.49,993.67,
01/01/2012,09:00:00,588,739.39,160,27.72,993.02,
01/01/2012,10:00:00,772,832.76,170,29.95,992.36,
01/01/2012,11:00:00,884,860.68,184,32.18,991.71,
01/01/2012,12:00:00,918,857.89,194,32.94,990.86,
01/01/2012,13:00:00,886,873.66,176,33.7,990.01,
01/01/2012,14:00:00,768,828.63,170,34.45,989.16,
01/01/2012,15:00:00,586,745.08,156,32.75,989.49,
01/01/2012,16:00:00,358,594.03,127,31.06,989.82,
01/01/2012,17:00:00,121,329.88,65,29.36,990.14,
01/01/2012,18:00:00,0,0,0,27.65,990.8,
01/01/2012,19:00:00,0,0,0,25.95,991.45,
01/01/2012,20:00:00,0,0,0,24.24,992.1,
01/01/2012,21:00:00,0,0,0,23.76,992.14,
01/01/2012,22:00:00,0,0,0,23.27,992.17,
01/01/2012,23:00:00,0,0,0,22.79,992.2,
01/02/2012,00:00:00,0,0,0,22.49,992.3,
01/02/2012,01:00:00,0,0,0,22.18,992.4,
01/02/2012,02:00:00,0,0,0,21.88,992.49,
01/02/2012,03:00:00,0,0,0,21.44,992.66,
01/02/2012,04:00:00,0,0,0,21,992.82,
01/02/2012,05:00:00,0,0,0,20.56,992.98,
01/02/2012,06:00:00,0,0,0,22.68,993.57,
01/02/2012,07:00:00,124,333.72,67,24.8,994.16,
01/02/2012,08:00:00,356,561.56,137,26.91,994.75,
01/02/2012,09:00:00,582,714.23,169,28.85,994,
01/02/2012,10:00:00,761,790.05,190,30.79,993.25,
01/02/2012,11:00:00,875,830.83,199,32.72,992.49,
01/02/2012,12:00:00,910,828.66,210,33.34,991.55,
01/02/2012,13:00:00,874,829.32,199,33.95,990.6,
01/02/2012,14:00:00,755,774.25,195,34.56,989.65,
01/02/2012,15:00:00,579,709.84,168,33.1,989.82,
01/02/2012,16:00:00,353,555.1,136,31.63,989.98,
01/02/2012,17:00:00,121,314.25,67,30.17,990.14,
01/02/2012,18:00:00,0,0,0,28.46,990.76,
01/02/2012,19:00:00,0,0,0,26.75,991.38,
01/02/2012,20:00:00,0,0,0,25.04,992,
01/02/2012,21:00:00,0,0,0,24.23,992.1,
01/02/2012,22:00:00,0,0,0,23.42,992.2,
01/02/2012,23:00:00,0,0,0,22.61,992.3,
01/03/2012,00:00:00,0,0,0,22.3,992.33,
01/03/2012,01:00:00,0,0,0,22,992.36,
01/03/2012,02:00:00,0,0,0,21.69,992.4,
01/03/2012,03:00:00,0,0,0,21.27,992.66,
01/03/2012,04:00:00,0,0,0,20.85,992.92,
01/03/2012,05:00:00,0,0,0,20.44,993.18,
01/03/2012,06:00:00,0,0,0,22.42,993.8,
01/03/2012,07:00:00,124,336.25,67,24.4,994.42,
01/03/2012,08:00:00,358,580.94,132,26.37,995.04,
01/03/2012,09:00:00,581,713.19,169,28.32,994.23,
01/03/2012,10:00:00,764,803.98,183,30.26,993.41,
01/03/2012,11:00:00,876,831.66,199,32.2,992.59,
01/03/2012,12:00:00,915,843.18,202,32.79,991.58,
01/03/2012,13:00:00,880,845.17,191,33.38,990.57,
01/03/2012,14:00:00,761,789.03,189,33.96,989.55,
01/03/2012,15:00:00,582,710.93,169,31.89,989.78,
01/03/2012,16:00:00,359,575.07,133,29.83,990.01,
01/03/2012,17:00:00,123,321.95,67,27.76,990.24,
01/03/2012,18:00:00,0,0,0,26.47,990.89,
01/03/2012,19:00:00,0,0,0,25.17,991.55,
01/03/2012,20:00:00,0,0,0,23.88,992.2,
01/03/2012,21:00:00,0,0,0,23.55,992.23,
01/03/2012,22:00:00,0,0,0,23.23,992.27,
01/03/2012,23:00:00,0,0,0,22.9,992.3,
01/04/2012,00:00:00,0,0,0,22.57,992.33,
01/04/2012,01:00:00,0,0,0,22.24,992.36,
01/04/2012,02:00:00,0,0,0,21.91,992.4,
01/04/2012,03:00:00,0,0,0,21.24,992.49,
01/04/2012,04:00:00,0,0,0,20.57,992.59,
01/04/2012,05:00:00,0,0,0,19.9,992.69,
01/04/2012,06:00:00,0,0,0,22.09,993.21,
01/04/2012,07:00:00,122,332.78,66,24.28,993.74,
01/04/2012,08:00:00,357,579.72,132,26.47,994.26,
01/04/2012,09:00:00,580,713.79,168,28.48,993.38,
01/04/2012,10:00:00,760,790.17,189,30.49,992.49,
01/04/2012,11:00:00,872,816.46,207,32.49,991.61,
01/04/2012,12:00:00,917,844.61,202,32.93,990.89,
01/04/2012,13:00:00,882,844.99,192,33.36,990.17,
01/04/2012,14:00:00,770,817.44,176,33.79,989.46,
01/04/2012,15:00:00,590,735.98,161,31.74,989.68,
01/04/2012,16:00:00,370,630.23,121,29.68,989.91,
01/04/2012,17:00:00,128,352.16,66,27.63,990.14,
01/04/2012,18:00:00,0,0,0,26.36,990.86,
01/04/2012,19:00:00,0,0,0,25.09,991.58,
01/04/2012,20:00:00,0,0,0,23.82,992.3,
01/04/2012,21:00:00,0,0,0,23.37,992.33,
01/04/2012,22:00:00,0,0,0,22.91,992.36,
01/04/2012,23:00:00,0,0,0,22.46,992.4,
01/05/2012,00:00:00,0,0,0,22.28,992.4,
01/05/2012,01:00:00,0,0,0,22.09,992.4,
01/05/2012,02:00:00,0,0,0,21.91,992.4,
01/05/2012,03:00:00,0,0,0,21.37,992.69,
01/05/2012,04:00:00,0,0,0,20.82,992.98,
01/05/2012,05:00:00,0,0,0,20.28,993.28,
01/05/2012,06:00:00,0,0,0,22.2,993.83,
01/05/2012,07:00:00,122,341.13,65,24.12,994.39,
01/05/2012,08:00:00,358,588.73,130,26.04,994.95,
01/05/2012,09:00:00,580,712.58,169,27.96,994.19,
01/05/2012,10:00:00,756,776.29,195,29.88,993.44,
01/05/2012,11:00:00,868,802.43,214,31.79,992.69,
01/05/2012,12:00:00,913,829.46,210,32.52,991.84,
01/05/2012,13:00:00,879,831.3,199,33.24,990.99,
01/05/2012,14:00:00,769,803.11,184,33.96,990.14,
01/05/2012,15:00:00,589,724.91,165,32.46,990.4,
01/05/2012,16:00:00,367,599.16,129,30.95,990.67,
01/05/2012,17:00:00,130,347.96,68,29.45,990.93,
01/05/2012,18:00:00,0,0,0,27.49,991.55,
01/05/2012,19:00:00,0,0,0,25.52,992.17,
01/05/2012,20:00:00,0,0,0,23.56,992.79,
01/05/2012,21:00:00,0,0,0,23.12,992.72,
01/05/2012,22:00:00,0,0,0,22.68,992.66,
01/05/2012,23:00:00,0,0,0,22.24,992.59,
01/06/2012,00:00:00,0,0,0,21.87,992.59,
01/06/2012,01:00:00,0,0,0,21.49,992.59,
01/06/2012,02:00:00,0,0,0,21.12,992.59,
01/06/2012,03:00:00,0,0,0,20.65,992.79,
01/06/2012,04:00:00,0,0,0,20.18,992.98,
01/06/2012,05:00:00,0,0,0,19.71,993.18,
01/06/2012,06:00:00,0,0,0,21.63,993.67,
01/06/2012,07:00:00,117,301.29,67,23.55,994.16,
01/06/2012,08:00:00,351,558.87,135,25.47,994.65,
01/06/2012,09:00:00,579,713.03,168,27.5,993.9,
01/06/2012,10:00:00,760,790,189,29.52,993.15,
01/06/2012,11:00:00,877,831.27,199,31.54,992.4,
01/06/2012,12:00:00,919,844.92,202,32.29,991.48,
01/06/2012,13:00:00,885,846.89,191,33.04,990.57,
01/06/2012,14:00:00,771,805.23,183,33.79,989.65,
01/06/2012,15:00:00,598,751.36,157,32.01,989.91,
01/06/2012,16:00:00,366,580.91,134,30.22,990.17,
01/06/2012,17:00:00,130,338.28,69,28.44,990.44,
01/06/2012,18:00:00,0,0,0,26.85,991.12,
01/06/2012,19:00:00,0,0,0,25.27,991.81,
01/06/2012,20:00:00,0,0,0,23.68,992.49,
01/06/2012,21:00:00,0,0,0,23.29,992.49,
01/06/2012,22:00:00,0,0,0,22.9,992.49,
01/06/2012,23:00:00,0,0,0,22.51,992.49,
01/07/2012,00:00:00,0,0,0,22.17,992.36,
01/07/2012,01:00:00,0,0,0,21.83,992.23,
01/07/2012,02:00:00,0,0,0,21.49,992.1,
01/07/2012,03:00:00,0,0,0,20.8,992.33,
01/07/2012,04:00:00,0,0,0,20.11,992.56,
01/07/2012,05:00:00,0,0,0,19.42,992.79,
01/07/2012,06:00:00,0,0,0,21.32,993.38,
01/07/2012,07:00:00,120,333.6,65,23.22,993.97,
01/07/2012,08:00:00,356,588.44,129,25.11,994.55,
01/07/2012,09:00:00,582,723.81,165,27.23,993.9,
01/07/2012,10:00:00,764,803.64,183,29.34,993.25,
01/07/2012,11:00:00,878,831.82,199,31.45,992.59,
01/07/2012,12:00:00,920,844.98,202,32.08,991.68,
01/07/2012,13:00:00,883,831.91,200,32.7,990.76,
01/07/2012,14:00:00,773,805.93,183,33.32,989.85,
01/07/2012,15:00:00,594,726.64,166,31.37,990.04,
01/07/2012,16:00:00,368,582.74,134,29.42,990.24,
01/07/2012,17:00:00,133,350.74,69,27.47,990.44,
01/07/2012,18:00:00,0,0,0,26.06,991.06,
01/07/2012,19:00:00,0,0,0,24.66,991.68,
01/07/2012,20:00:00,0,0,0,23.25,992.3,
01/07/2012,21:00:00,0,0,0,22.69,992.17,
01/07/2012,22:00:00,0,0,0,22.13,992.04,
01/07/2012,23:00:00,0,0,0,21.57,991.91,
01/08/2012,00:00:00,0,0,0,21.11,991.71,
01/08/2012,01:00:00,0,0,0,20.66,991.51,
01/08/2012,02:00:00,0,0,0,20.2,991.32,
01/08/2012,03:00:00,0,0,0,19.54,991.55,
01/08/2012,04:00:00,0,0,0,18.87,991.78,
01/08/2012,05:00:00,0,0,0,18.21,992,
01/08/2012,06:00:00,0,0,0,20.37,992.59,
01/08/2012,07:00:00,119,341.81,63,22.53,993.18,
01/08/2012,08:00:00,357,597.25,127,24.69,993.77,
01/08/2012,09:00:00,581,724.09,164,26.97,993.15,
01/08/2012,10:00:00,761,789.54,190,29.24,992.53,
01/08/2012,11:00:00,870,802.93,214,31.51,991.91,
01/08/2012,12:00:00,917,830.88,210,32.2,990.93,
01/08/2012,13:00:00,894,861.92,185,32.89,989.95,
01/08/2012,14:00:00,779,820.19,177,33.58,988.97,
01/08/2012,15:00:00,603,754.51,157,32.51,989.26,
01/08/2012,16:00:00,373,594.43,133,31.43,989.55,
01/08/2012,17:00:00,137,368.3,69,30.36,989.85,
01/08/2012,18:00:00,0,0,0,28.05,990.63,
01/08/2012,19:00:00,0,0,0,25.75,991.42,
01/08/2012,20:00:00,0,0,0,23.44,992.2,
01/08/2012,21:00:00,0,0,0,22.75,992,
01/08/2012,22:00:00,0,0,0,22.06,991.81,
01/08/2012,23:00:00,0,0,0,21.37,991.61,
01/09/2012,00:00:00,0,0,0,20.8,991.45,
01/09/2012,01:00:00,0,0,0,20.22,991.29,
01/09/2012,02:00:00,0,0,0,19.65,991.12,
01/09/2012,03:00:00,0,0,0,19.15,991.25,
01/09/2012,04:00:00,0,0,0,18.66,991.38,
01/09/2012,05:00:00,0,0,0,18.16,991.51,
01/09/2012,06:00:00,0,0,0,20.5,992.14,
01/09/2012,07:00:00,119,350,62,22.84,992.76,
01/09/2012,08:00:00,359,616.39,122,25.18,993.38,
01/09/2012,09:00:00,590,762.51,151,27.67,992.85,
01/09/2012,10:00:00,768,818.22,176,30.16,992.33,
01/09/2012,11:00:00,884,846.17,192,32.65,991.81,
01/09/2012,12:00:00,928,860.18,195,33.24,990.89,
01/09/2012,13:00:00,896,862.64,185,33.83,989.98,
01/09/2012,14:00:00,786,835.7,171,34.42,989.06,
01/09/2012,15:00:00,605,755.16,157,33.47,989.36,
01/09/2012,16:00:00,379,618.29,128,32.52,989.65,
01/09/2012,17:00:00,141,385.45,69,31.57,989.95,
01/09/2012,18:00:00,0,0,0,30.76,990.6,
01/09/2012,19:00:00,0,0,0,29.95,991.25,
01/09/2012,20:00:00,0,0,0,29.14,991.91,
01/09/2012,21:00:00,0,0,0,27.18,991.74,
01/09/2012,22:00:00,0,0,0,25.23,991.58,
01/09/2012,23:00:00,0,0,0,23.27,991.42,
01/10/2012,00:00:00,0,0,0,21.95,991.32,
01/10/2012,01:00:00,0,0,0,20.62,991.22,
01/10/2012,02:00:00,0,0,0,19.3,991.12,
01/10/2012,03:00:00,0,0,0,18.99,991.42,
01/10/2012,04:00:00,0,0,0,18.67,991.71,
01/10/2012,05:00:00,0,0,0,18.36,992,
01/10/2012,06:00:00,0,0,0,20.63,992.72,
01/10/2012,07:00:00,118,345.82,62,22.9,993.44,
01/10/2012,08:00:00,355,596.43,126,25.17,994.16,
01/10/2012,09:00:00,584,736.59,160,27.51,993.54,
01/10/2012,10:00:00,769,817.8,177,29.85,992.92,
01/10/2012,11:00:00,890,861.17,185,32.18,992.3,
01/10/2012,12:00:00,939,891.68,178,32.89,991.42,
01/10/2012,13:00:00,902,877.83,177,33.6,990.53,
01/10/2012,14:00:00,796,864.63,158,34.3,989.65,
01/10/2012,15:00:00,617,796.08,143,33.03,989.78,
01/10/2012,16:00:00,383,629.61,126,31.77,989.91,
01/10/2012,17:00:00,139,359.85,71,30.5,990.04,
01/10/2012,18:00:00,0,0,0,28.54,990.67,
01/10/2012,19:00:00,0,0,0,26.57,991.29,
01/10/2012,20:00:00,0,0,0,24.61,991.91,
01/10/2012,21:00:00,0,0,0,23.33,991.91,
01/10/2012,22:00:00,0,0,0,22.05,991.91,
01/10/2012,23:00:00,0,0,0,20.77,991.91,
01/11/2012,00:00:00,0,0,0,20.72,991.81,
01/11/2012,01:00:00,0,0,0,20.68,991.71,
01/11/2012,02:00:00,0,0,0,20.63,991.61,
01/11/2012,03:00:00,0,0,0,20.2,991.81,
01/11/2012,04:00:00,0,0,0,19.77,992,
01/11/2012,05:00:00,0,0,0,19.35,992.2,
01/11/2012,06:00:00,0,0,0,21.48,992.79,
01/11/2012,07:00:00,117,341.48,62,23.61,993.38,
01/11/2012,08:00:00,355,594.57,127,25.74,993.97,
01/11/2012,09:00:00,578,710.57,169,27.89,993.34,
01/11/2012,10:00:00,762,789.68,190,30.04,992.72,
01/11/2012,11:00:00,873,804.08,214,32.18,992.1,
01/11/2012,12:00:00,931,861.01,195,32.9,991.22,
01/11/2012,13:00:00,928,961.78,132,33.61,990.34,
01/11/2012,14:00:00,802,879.84,151,34.32,989.46,
01/11/2012,15:00:00,608,744.63,163,32.11,989.68,
01/11/2012,16:00:00,380,599.37,134,29.9,989.91,
01/11/2012,17:00:00,144,381.92,71,27.69,990.14,
01/11/2012,18:00:00,0,0,0,26.26,990.83,
01/11/2012,19:00:00,0,0,0,24.83,991.51,
01/11/2012,20:00:00,0,0,0,23.4,992.2,
01/11/2012,21:00:00,0,0,0,22.96,992.1,
01/11/2012,22:00:00,0,0,0,22.53,992,
01/11/2012,23:00:00,0,0,0,22.09,991.91,
01/12/2012,00:00:00,0,0,0,21.98,991.78,
01/12/2012,01:00:00,0,0,0,21.87,991.65,
01/12/2012,02:00:00,0,0,0,21.76,991.51,
01/12/2012,03:00:00,0,0,0,21.16,991.91,
01/12/2012,04:00:00,0,0,0,20.55,992.3,
01/12/2012,05:00:00,0,0,0,19.95,992.69,
01/12/2012,06:00:00,0,0,0,21.92,993.38,
01/12/2012,07:00:00,115,330.73,62,23.89,994.06,
01/12/2012,08:00:00,354,595.22,126,25.86,994.75,
01/12/2012,09:00:00,578,710.53,169,27.84,994.13,
01/12/2012,10:00:00,762,790.51,189,29.82,993.51,
01/12/2012,11:00:00,883,832.36,200,31.8,992.89,
01/12/2012,12:00:00,923,832.73,210,32.43,992.17,
01/12/2012,13:00:00,889,821.06,208,33.05,991.45,
01/12/2012,14:00:00,777,781.71,197,33.67,990.73,
01/12/2012,15:00:00,601,708.54,176,31.72,990.96,
01/12/2012,16:00:00,377,571.85,141,29.76,991.19,
01/12/2012,17:00:00,142,351.76,74,27.81,991.42,
01/12/2012,18:00:00,0,0,0,26.24,992.14,
01/12/2012,19:00:00,0,0,0,24.67,992.85,
01/12/2012,20:00:00,0,0,0,23.1,993.57,
01/12/2012,21:00:00,0,0,0,22.67,993.67,
01/12/2012,22:00:00,0,0,0,22.23,993.77,
01/12/2012,23:00:00,0,0,0,21.8,993.87,
01/13/2012,00:00:00,0,0,0,21.58,993.74,
01/13/2012,01:00:00,0,0,0,21.35,993.61,
01/13/2012,02:00:00,0,0,0,21.13,993.48,
01/13/2012,03:00:00,0,0,0,20.34,993.64,
01/13/2012,04:00:00,0,0,0,19.55,993.8,
01/13/2012,05:00:00,0,0,0,18.76,993.97,
01/13/2012,06:00:00,0,0,0,20.73,994.55,
01/13/2012,07:00:00,110,288.41,64,22.7,995.14,
01/13/2012,08:00:00,343,535.68,138,24.67,995.73,
01/13/2012,09:00:00,563,651.36,188,26.75,995.14,
01/13/2012,10:00:00,731,685.12,234,28.83,994.55,
01/13/2012,11:00:00,866,776.54,228,30.91,993.97,
01/13/2012,12:00:00,906,775.34,241,31.61,993.08,
01/13/2012,13:00:00,882,792.79,223,32.31,992.2,
01/13/2012,14:00:00,752,689.47,239,33,991.32,
01/13/2012,15:00:00,579,612.89,210,31.09,991.48,
01/13/2012,16:00:00,354,450.64,167,29.17,991.65,
01/13/2012,17:00:00,134,276.24,80,27.26,991.81,
01/13/2012,18:00:00,0,0,0,25.73,992.49,
01/13/2012,19:00:00,0,0,0,24.21,993.18,
01/13/2012,20:00:00,0,0,0,22.68,993.87,
01/13/2012,21:00:00,0,0,0,22.33,993.9,
01/13/2012,22:00:00,0,0,0,21.99,993.93,
01/13/2012,23:00:00,0,0,0,21.64,993.97,
01/14/2012,00:00:00,0,0,0,21.3,993.87,
01/14/2012,01:00:00,0,0,0,20.95,993.77,
01/14/2012,02:00:00,0,0,0,20.61,993.67,
01/14/2012,03:00:00,0,0,0,19.92,993.8,
01/14/2012,04:00:00,0,0,0,19.24,993.93,
01/14/2012,05:00:00,0,0,0,18.55,994.06,
01/14/2012,06:00:00,0,0,0,20.36,994.62,
01/14/2012,07:00:00,108,277.09,64,22.17,995.17,
01/14/2012,08:00:00,337,507.33,143,23.98,995.73,
01/14/2012,09:00:00,563,651.18,188,25.97,995.17,
01/14/2012,10:00:00,748,736.86,213,27.96,994.62,
01/14/2012,11:00:00,863,762.13,236,29.95,994.06,
01/14/2012,12:00:00,903,762.33,248,30.63,993.12,
01/14/2012,13:00:00,875,765.81,237,31.31,992.17,
01/14/2012,14:00:00,758,703.59,233,31.98,991.22,
01/14/2012,15:00:00,591,650.31,198,29.83,991.29,
01/14/2012,16:00:00,366,496.12,159,27.68,991.35,
01/14/2012,17:00:00,143,333.91,77,25.53,991.42,
01/14/2012,18:00:00,0,0,0,24.44,991.94,
01/14/2012,19:00:00,0,0,0,23.34,992.46,
01/14/2012,20:00:00,0,0,0,22.25,992.98,
01/14/2012,21:00:00,0,0,0,21.78,992.92,
01/14/2012,22:00:00,0,0,0,21.3,992.85,
01/14/2012,23:00:00,0,0,0,20.83,992.79,
01/15/2012,00:00:00,0,0,0,20.02,992.85,
01/15/2012,01:00:00,0,0,0,19.21,992.92,
01/15/2012,02:00:00,0,0,0,18.4,992.98,
01/15/2012,03:00:00,0,0,0,17.87,993.25,
01/15/2012,04:00:00,0,0,0,17.33,993.51,
01/15/2012,05:00:00,0,0,0,16.8,993.77,
01/15/2012,06:00:00,0,0,0,18.99,994.26,
01/15/2012,07:00:00,102,233.95,65,21.19,994.75,
01/15/2012,08:00:00,310,376.8,166,23.38,995.24,
01/15/2012,09:00:00,542,571.08,213,25.49,994.65,
01/15/2012,10:00:00,717,635.7,255,27.6,994.06,
01/15/2012,11:00:00,828,656.67,287,29.7,993.48,
01/15/2012,12:00:00,876,681.94,289,30.5,992.3,
01/15/2012,13:00:00,849,685.01,277,31.3,991.12,
01/15/2012,14:00:00,732,617.38,270,32.1,989.95,
01/15/2012,15:00:00,559,527.52,239,30.1,990.14,
01/15/2012,16:00:00,340,376.62,182,28.11,990.34,
01/15/2012,17:00:00,140,295.26,81,26.11,990.53,
01/15/2012,18:00:00,0,0,0,24.85,991.12,
01/15/2012,19:00:00,0,0,0,23.58,991.71,
01/15/2012,20:00:00,0,0,0,22.32,992.3,
01/15/2012,21:00:00,0,0,0,21.78,992.23,
01/15/2012,22:00:00,0,0,0,21.24,992.17,
01/15/2012,23:00:00,0,0,0,20.7,992.1,
01/16/2012,00:00:00,0,0,0,20.23,992.1,
01/16/2012,01:00:00,0,0,0,19.77,992.1,
01/16/2012,02:00:00,0,0,0,19.3,992.1,
01/16/2012,03:00:00,0,0,0,18.67,992.2,
01/16/2012,04:00:00,0,0,0,18.03,992.3,
01/16/2012,05:00:00,0,0,0,17.4,992.4,
01/16/2012,06:00:00,0,0,0,19.57,992.92,
01/16/2012,07:00:00,106,272.89,63,21.74,993.44,
01/16/2012,08:00:00,342,534.04,138,23.91,993.97,
01/16/2012,09:00:00,566,662.74,184,26.09,993.34,
01/16/2012,10:00:00,757,764.24,201,28.27,992.72,
01/16/2012,11:00:00,879,805.99,214,30.45,992.1,
01/16/2012,12:00:00,921,804.73,227,31.29,991.02,
01/16/2012,13:00:00,888,794.53,223,32.12,989.95,
01/16/2012,14:00:00,784,771.48,205,32.95,988.87,
01/16/2012,15:00:00,612,712.75,178,31.1,988.97,
01/16/2012,16:00:00,385,568.97,145,29.26,989.06,
01/16/2012,17:00:00,151,361.41,78,27.41,989.16,
01/16/2012,18:00:00,0,0,0,25.78,989.75,
01/16/2012,19:00:00,0,0,0,24.14,990.34,
01/16/2012,20:00:00,0,0,0,22.51,990.93,
01/16/2012,21:00:00,0,0,0,21.92,990.83,
01/16/2012,22:00:00,0,0,0,21.34,990.73,
01/16/2012,23:00:00,0,0,0,20.75,990.63,
01/17/2012,00:00:00,0,0,0,20.24,990.57,
01/17/2012,01:00:00,0,0,0,19.74,990.5,
01/17/2012,02:00:00,0,0,0,19.23,990.44,
01/17/2012,03:00:00,0,0,0,18.69,990.67,
01/17/2012,04:00:00,0,0,0,18.16,990.89,
01/17/2012,05:00:00,0,0,0,17.62,991.12,
01/17/2012,06:00:00,0,0,0,19.98,991.51,
01/17/2012,07:00:00,114,350.21,59,22.35,991.91,
01/17/2012,08:00:00,354,602.27,124,24.71,992.3,
01/17/2012,09:00:00,584,735.16,160,27.12,991.65,
01/17/2012,10:00:00,766,790.84,190,29.53,990.99,
01/17/2012,11:00:00,881,805.96,215,31.94,990.34,
01/17/2012,12:00:00,928,820.53,219,32.64,989.16,
01/17/2012,13:00:00,895,809.33,216,33.34,987.99,
01/17/2012,14:00:00,790,786.48,198,34.03,986.81,
01/17/2012,15:00:00,615,713.33,179,32.95,987.14,
01/17/2012,16:00:00,394,601.26,139,31.87,987.46,
01/17/2012,17:00:00,154,372.29,78,30.79,987.79,
01/17/2012,18:00:00,0,0,0,28.7,988.64,
01/17/2012,19:00:00,0,0,0,26.61,989.49,
01/17/2012,20:00:00,0,0,0,24.52,990.34,
01/17/2012,21:00:00,0,0,0,23.19,990.27,
01/17/2012,22:00:00,0,0,0,21.87,990.21,
01/17/2012,23:00:00,0,0,0,20.54,990.14,
01/18/2012,00:00:00,0,0,0,20.28,989.82,
01/18/2012,01:00:00,0,0,0,20.03,989.49,
01/18/2012,02:00:00,0,0,0,19.77,989.16,
01/18/2012,03:00:00,0,0,0,19.41,989.52,
01/18/2012,04:00:00,0,0,0,19.06,989.88,
01/18/2012,05:00:00,0,0,0,18.7,990.24,
01/18/2012,06:00:00,0,0,0,21.02,990.76,
01/18/2012,07:00:00,110,312.93,61,23.34,991.29,
01/18/2012,08:00:00,352,591.86,126,25.65,991.81,
01/18/2012,09:00:00,579,710.37,169,28.23,991.22,
01/18/2012,10:00:00,767,791.25,190,30.81,990.63,
01/18/2012,11:00:00,896,849.37,193,33.39,990.04,
01/18/2012,12:00:00,930,820.06,220,33.88,989.23,
01/18/2012,13:00:00,902,825.22,208,34.37,988.41,
01/18/2012,14:00:00,801,814.62,186,34.85,987.59,
01/18/2012,15:00:00,617,715.51,178,33.59,987.72,
01/18/2012,16:00:00,390,572.22,146,32.33,987.85,
01/18/2012,17:00:00,145,295.7,84,31.07,987.99,
01/18/2012,18:00:00,0,0,0,29.78,988.61,
01/18/2012,19:00:00,0,0,0,28.49,989.23,
01/18/2012,20:00:00,0,0,0,27.2,989.85,
01/18/2012,21:00:00,0,0,0,26.28,989.68,
01/18/2012,22:00:00,0,0,0,25.37,989.52,
01/18/2012,23:00:00,0,0,0,24.45,989.36,
01/19/2012,00:00:00,0,0,0,22.79,989.1,
01/19/2012,01:00:00,0,0,0,21.12,988.84,
01/19/2012,02:00:00,0,0,0,19.46,988.57,
01/19/2012,03:00:00,0,0,0,18.88,988.84,
01/19/2012,04:00:00,0,0,0,18.3,989.1,
01/19/2012,05:00:00,0,0,0,17.72,989.36,
01/19/2012,06:00:00,0,0,0,20.22,990.11,
01/19/2012,07:00:00,112,339.34,59,22.72,990.86,
01/19/2012,08:00:00,336,505.41,143,25.21,991.61,
01/19/2012,09:00:00,585,735.75,160,27.84,991.02,
01/19/2012,10:00:00,775,818.99,177,30.47,990.44,
01/19/2012,11:00:00,897,850.37,192,33.09,989.85,
01/19/2012,12:00:00,937,835.68,212,33.76,989.06,
01/19/2012,13:00:00,900,811.34,216,34.43,988.28,
01/19/2012,14:00:00,808,829.36,180,35.09,987.5,
01/19/2012,15:00:00,629,755.01,164,34.19,987.72,
01/19/2012,16:00:00,399,604.15,140,33.28,987.95,
01/19/2012,17:00:00,162,412.62,76,32.38,988.18,
01/19/2012,18:00:00,0,0,0,31.23,988.84,
01/19/2012,19:00:00,0,0,0,30.09,989.49,
01/19/2012,20:00:00,0,0,0,28.94,990.14,
01/19/2012,21:00:00,0,0,0,27.98,990.01,
01/19/2012,22:00:00,0,0,0,27.03,989.88,
01/19/2012,23:00:00,0,0,0,26.07,989.75,
01/20/2012,00:00:00,0,0,0,25.33,989.42,
01/20/2012,01:00:00,0,0,0,24.6,989.1,
01/20/2012,02:00:00,0,0,0,23.86,988.77,
01/20/2012,03:00:00,0,0,0,23.25,989.06,
01/20/2012,04:00:00,0,0,0,22.64,989.36,
01/20/2012,05:00:00,0,0,0,22.03,989.65,
01/20/2012,06:00:00,0,0,0,24.07,990.27,
01/20/2012,07:00:00,110,320.83,60,26.11,990.89,
01/20/2012,08:00:00,350,581.23,128,28.14,991.51,
01/20/2012,09:00:00,577,698.74,173,30.11,990.89,
01/20/2012,10:00:00,776,819.23,177,32.08,990.27,
01/20/2012,11:00:00,908,880.21,177,34.05,989.65,
01/20/2012,12:00:00,958,896.06,179,34.32,988.64,
01/20/2012,13:00:00,926,885.06,178,34.59,987.63,
01/20/2012,14:00:00,810,830.82,179,34.85,986.61,
01/20/2012,15:00:00,629,742.44,170,33.5,987.07,
01/20/2012,16:00:00,400,593.97,144,32.15,987.53,
01/20/2012,17:00:00,158,360.96,82,30.8,987.99,
01/20/2012,18:00:00,0,0,0,29.94,988.77,
01/20/2012,19:00:00,0,0,0,29.08,989.55,
01/20/2012,20:00:00,0,0,0,28.22,990.34,
01/20/2012,21:00:00,0,0,0,27.79,990.34,
01/20/2012,22:00:00,0,0,0,27.35,990.34,
01/20/2012,23:00:00,0,0,0,26.92,990.34,
01/21/2012,00:00:00,0,0,0,26.27,990.31,
