Time;Akwatia;Accra;Kumasi;Average
00:00:00;0.209942051;0.265259998;0.283495763;0.25289927
00:00:05;0.209926423;0.265315805;0.283592269;0.252944832
00:00:10;0.209790045;0.265288911;0.283566832;0.252881929
00:00:15;0.209796057;0.265362171;0.283596196;0.252918141
00:00:20;0.209767203;0.26551794;0.283600355;0.252961833
00:00:25;0.209733988;0.265597389;0.28359193;0.252974436
00:00:30;0.209830047;0.265524298;0.283562405;0.25297225
00:00:35;0.209803569;0.265651597;0.283426808;0.252960658
00:00:40;0.209707897;0.265603796;0.283472599;0.252928098
00:00:45;0.209648856;0.265594188;0.283535879;0.252926308
00:00:50;0.209706761;0.265632294;0.283267873;0.252868976
00:00:55;0.209626874;0.265652952;0.283561637;0.252947154
00:01:00;0.209480906;0.265776963;0.283420729;0.252892866
00:01:05;0.209511435;0.265831427;0.283590783;0.252977882
00:01:10;0.209100458;0.265917606;0.283482772;0.252833612
00:01:15;0.206845068;0.265948293;0.28334351;0.252045624
00:01:20;0.198497862;0.266052106;0.28328166;0.249277209
00:01:25;0.18581676;0.266000556;0.283259429;0.245025582
00:01:30;0.185047843;0.26599389;0.283276006;0.24477258
00:01:35;0.19236678;0.266056096;0.283257698;0.247226858
00:01:40;0.189234742;0.266035357;0.283251343;0.246173814
00:01:45;0.182658896;0.266000556;0.283276151;0.243978535
00:01:50;0.182841798;0.266135706;0.283244324;0.244073943
00:01:55;0.1831909;0.266177205;0.283066636;0.244144914
00:02:00;0.183365268;0.266180596;0.283158096;0.244234653
00:02:05;0.183425716;0.266111593;0.282952392;0.244163234
00:02:10;0.183645571;0.266232979;0.282998652;0.244292401
00:02:15;0.183924339;0.266409148;0.282995764;0.244443084
00:02:20;0.184195366;0.266161172;0.283047414;0.244467984
00:02:25;0.184210553;0.26627489;0.283092249;0.244525898
00:02:30;0.185437239;0.266464186;0.283033783;0.244978403
00:02:35;0.191444531;0.266601422;0.283056203;0.247034052
00:02:40;0.202665154;0.266608058;0.283114673;0.250795962
00:02:45;0.201518615;0.266696981;0.283155489;0.250457028
00:02:50;0.208194246;0.266662832;0.282949785;0.252602288
00:02:55;0.21076134;0.266937004;0.28304995;0.253582764
00:03:00;0.210448515;0.266963825;0.282713865;0.253375402
00:03:05;0.210180489;0.266990589;0.282801019;0.253324032
00:03:10;0.209941401;0.267000349;0.282476345;0.253139365
00:03:15;0.209899353;0.267065632;0.282430092;0.253131692
00:03:20;0.209857372;0.266775142;0.280533257;0.25238859
00:03:25;0.209767541;0.266665429;0.279273448;0.25190214
00:03:30;0.209664971;0.266733471;0.280334103;0.252244182
00:03:35;0.209516132;0.266795011;0.282373005;0.252894716
00:03:40;0.209442486;0.266859337;0.28260329;0.252968371
00:03:45;0.209140732;0.266895918;0.28270332;0.252913323
00:03:50;0.201239509;0.266963487;0.282633428;0.250278808
00:03:55;0.182927702;0.266997226;0.28252663;0.244150519
00:04:00;0.18233442;0.267099469;0.282503116;0.243979002
00:04:05;0.182709446;0.26708984;0.282353708;0.244050998
00:04:10;0.182930858;0.267046426;0.282090703;0.244022662
00:04:15;0.183269369;0.266969032;0.282359171;0.244199191
00:04:20;0.183088232;0.26692175;0.282438894;0.244149625
00:04:25;0.182803834;0.266989561;0.28227072;0.244021371
00:04:30;0.182942668;0.267220042;0.282384081;0.244182264
00:04:35;0.182951674;0.267069369;0.282579795;0.244200279
00:04:40;0.182892301;0.267220042;0.282555157;0.2442225
00:04:45;0.182970042;0.26712244;0.282583759;0.244225413
00:04:50;0.18312939;0.267123703;0.282593674;0.244282256
00:04:55;0.183085743;0.267175813;0.282453397;0.244238318
00:05:00;0.183166195;0.267029214;0.282543269;0.244246226
00:05:05;0.183106408;0.267002449;0.282578922;0.244229259
00:05:10;0.183243325;0.267163868;0.282380342;0.244262512
00:05:15;0.183032578;0.267002449;0.282255748;0.244096925
00:05:20;0.183075067;0.267145577;0.279870057;0.243363567
00:05:25;0.182961501;0.267264076;0.27866509;0.242963556
00:05:30;0.183161421;0.267170805;0.27867392;0.243002049
00:05:35;0.183695844;0.267280973;0.278579346;0.243185388
00:05:40;0.183831837;0.267254533;0.27852735;0.243204574
00:05:45;0.183854176;0.267162529;0.279422457;0.243479721
00:05:50;0.183790349;0.267293614;0.279183831;0.243422598
00:05:55;0.183944193;0.267225807;0.279143232;0.243437744
00:06:00;0.184215219;0.267212516;0.279342499;0.243590078
00:06:05;0.184194259;0.26707524;0.280834977;0.244034825
00:06:10;0.184630986;0.267082523;0.281665616;0.244459709
00:06:15;0.184670623;0.267120205;0.281618067;0.244469631
00:06:20;0.184649542;0.267067966;0.28250645;0.244741319
00:06:25;0.184357544;0.267163868;0.282880746;0.244800719
00:06:30;0.184470452;0.267163868;0.282954815;0.244863045
00:06:35;0.184737649;0.267009679;0.281658314;0.244468547
00:06:40;0.185068417;0.267037569;0.280480054;0.244195347
00:06:45;0.184544296;0.267037569;0.28016813;0.243916665
00:06:50;0.184662612;0.266930752;0.280093858;0.243895741
00:06:55;0.184335393;0.26688592;0.280104058;0.243775124
00:07:00;0.18441093;0.266748746;0.280136382;0.243765353
00:07:05;0.184396747;0.266662832;0.279327678;0.243462419
00:07:10;0.184491029;0.267053443;0.278894085;0.243479519
00:07:15;0.184462596;0.267005004;0.278812504;0.243426701
00:07:20;0.184525913;0.267172155;0.278309557;0.243335875
00:07:25;0.184265225;0.267247171;0.276548298;0.242686898
00:07:30;0.184356778;0.267333253;0.275060711;0.242250247
00:07:35;0.184262646;0.267272978;0.27672413;0.242753251
00:07:40;0.184029239;0.267421237;0.277935701;0.243128726
00:07:45;0.184090389;0.267483241;0.278040317;0.243204649
00:07:50;0.183951282;0.267517043;0.277994615;0.243154313
00:07:55;0.183856297;0.267438152;0.278039364;0.243111271
00:08:00;0.183543082;0.26744756;0.278108305;0.243032982
00:08:05;0.183337959;0.267385646;0.278241798;0.242988468
00:08:10;0.182974133;0.267458814;0.278686828;0.243039925
00:08:15;0.182810509;0.267449407;0.279766295;0.24334207
00:08:20;0.182492284;0.26743623;0.28024289;0.243390468
00:08:25;0.18225277;0.267498314;0.280044325;0.243265136
