Wavelength [nm];Reflectivity
1248.5;0.49726492
1253.5;0.49916735
1258.5;0.50010145
1263.5;0.50059134
1268.5;0.50041169
1273.5001;0.50011092
1278.5001;0.49921426
1283.5001;0.49885592
1288.5001;0.49674225
1293.5001;0.49485344
1298.5001;0.49167952
1303.4999;0.48824111
1308.4999;0.48328152
1313.4999;0.47797251
1318.4999;0.4708162
1323.4999;0.46336269
1328.4999;0.4550541
1333.4999;0.4463706
1338.4999;0.43816647
1343.4999;0.42899641
1348.4999;0.41986594
1353.4999;0.41445246
1358.4999;0.40770045
1363.4999;0.40007886
1368.4999;0.39222509
1373.5;0.38103986
1378.5;0.36717802
1383.5;0.34723732
1388.5;0.32415012
1393.5;0.29858077
1398.5;0.2775403
1403.5;0.25674209
1408.5;0.2401758
1413.5;0.22896238
1418.4999;0.21812411
1423.4999;0.21116319
1428.4999;0.20464082
1433.4999;0.20129916
1438.4999;0.19808507
1443.4999;0.19481128
1448.4999;0.19407769
1453.4999;0.19408982
1458.4999;0.19408929
1463.4999;0.19615565
1468.4999;0.19500464
1473.5;0.19865081
1478.5;0.20129509
1483.5;0.20554528
1488.5;0.20907518
1493.5;0.21359964
1498.5;0.21783929
1503.5;0.22199562
1508.5;0.22627369
1513.5;0.23077936
1518.5;0.23733744
1523.5;0.24139388
1528.5;0.24774496
1533.9999;0.25203222
1540;0.25769815
1546;0.26307076
1551.9999;0.26897746
1558;0.27392441
1563.9999;0.27756411
1570.5;0.28224438
1577.5;0.28700396
1584.5;0.29236358
1591.5;0.29774135
1598.5;0.30241597
1605.5;0.30751938
1612.5;0.31140998
1619.4999;0.31658238
1626.5;0.31943226
1633.5;0.3229425
1640.4999;0.32487592
1647.4999;0.3267585
1654.4999;0.32914132
1661.5;0.32945222
1668.4999;0.33059329
1676.0001;0.32783666
1684;0.32488644
1692;0.32405221
1700;0.32235697
1708.0001;0.32010841
1716.0001;0.31347448
1724;0.31073472
1732;0.30466968
1740;0.30430719
1748;0.30058366
1756;0.29679912
1763.9999;0.29159302
1772.0001;0.28823262
1780.0001;0.28677285
1788.0001;0.28795311
1796.0001;0.28555319
1804.9999;0.28620532
1814.9999;0.28695792
1824.9999;0.28643155
1834.9999;0.28570613
1844.9999;0.28073284
1854.9999;0.26946449
1864.9999;0.24997041
1875;0.2164032
1885;0.18029484
1895;0.14518826
1905;0.12322228
1915;0.10940353
1925;0.10510751
1934.9999;0.10526172
1944.9999;0.10784606
1954.9999;0.11061263
1964.9999;0.11992234
1975;0.12402231
1985;0.12952395
1995;0.13461404
2005.0001;0.13886645
2015.0001;0.14461884
2025.0001;0.14497277
2035.0001;0.14622442
2045.0001;0.145119
2055.0001;0.14734149
2065.0001;0.14759806
2075;0.14997992
2085;0.15366136
2095;0.1536334
2105;0.16018426
2115;0.1639902
2125;0.1680422
2135;0.17022172
2145;0.17623398
2155;0.17648301
2165;0.18178803
2175;0.18334675
2184.9999;0.18401757
2194.9999;0.18701716
2205.0002;0.18809788
2215.0002;0.19014046
2225.0001;0.1893035
2235.0001;0.18442073
2245.0001;0.18124807
2255.0001;0.17183283
2265.0001;0.17157607
2275.0001;0.16449849
2285.0001;0.16095886
2295.0001;0.15713748
2305.0001;0.15000774
2315.0001;0.14758262
2325;0.14363727
2335;0.1404947
2345;0.13625173
2355;0.13310207
2365;0.13338292
2375;0.13092583
2385.9999;0.12632182
2400.0001;0.12193701
2418;0.11386142
2440.0001;0.10401032
2466.0001;0.090932786
2496.0001;0.081555061
2527.9999;0.080716148
2559.9999;0.08366847
2592;0.084318541
2623.9998;0.08304356
2655.9999;0.077018499
2687.9997;0.060903162
2720;0.036635309
2752.0001;0.01257873
2783.9999;0.016371064
2816;0.008141259
2847.9998;0.001550869
2879.9999;0.009622696
2912.0002;0.010313215
2944;0.009274391
2976.0001;0.003116515
