Hours,Soiling_accumulation,rs_hegazy,rs_you_saiz,rs_conceicao
0,0.0,0.0,0.0,0.0
1,0.00203417,0.000346,7.8315545e-05,5.17696265e-05
2,0.00406835,0.000622,0.000156631475,0.00010353950750000002
3,0.00610252,0.000876,0.00023494702,0.00015530913400000002
4,0.0081367,0.001118,0.00031326295,0.00020707901500000004
5,0.01017087,0.001351,0.000391578495,0.00025884864150000004
6,0.01220504,0.001577,0.00046989404,0.00031061826800000004
7,0.01423922,0.001797,0.00054820997,0.000362388149
8,0.01627339,0.002012,0.000626525515,0.0004141577755
9,0.01830757,0.002223,0.000704841445,0.00046592765649999996
10,0.02034174,0.002431,0.00078315699,0.0005176972830000001
11,0.02237591,0.002635,0.000861472535,0.0005694669095
12,0.02441009,0.002837,0.000939788465,0.0006212367905
13,0.02644426,0.003036,0.00101810401,0.000673006417
14,0.02847844,0.003233,0.00109641994,0.000724776298
15,0.03051261,0.003427,0.001174735485,0.0007765459245
16,0.03254679,0.00362,0.001253051415,0.0008283158055000001
17,0.03458096,0.003811,0.00133136696,0.0008800854320000001
18,0.03661513,0.004,0.0014096825050000001,0.0009318550585000002
19,0.03864931,0.004187,0.001487998435,0.0009836249395
20,0.04068348,0.004373,0.00156631398,0.0010353945660000002
21,0.04271766,0.004558,0.00164462991,0.001087164447
22,0.04475183,0.004741,0.001722945455,0.0011389340735
23,0.046786,0.004923,0.001801261,0.0011907037000000002
24,0.04882018,0.005104,0.00187957693,0.001242473581
25,0.05085435,0.005284,0.001957892475,0.0012942432075
26,0.05288853,0.005462,0.002036208405,0.0013460130885000002
27,0.0549227,0.00564,0.0021145239499999998,0.0013977827150000002
28,0.05695687,0.005816,0.002192839495,0.0014495523415
29,0.05899105,0.005992,0.002271155425,0.0015013222225000002
30,0.06102522,0.006166,0.00234947097,0.001553091849
31,0.0630594,0.00634,0.0024277869000000002,0.0016048617300000003
32,0.06509357,0.006513,0.002506102445,0.0016566313565
33,0.06712774,0.006685,0.0025844179900000003,0.001708400983
34,0.06916192,0.006856,0.00266273392,0.0017601708640000002
35,0.07119609,0.007026,0.002741049465,0.0018119404905000002
36,0.07323027,0.007196,0.002819365395,0.0018637103715
37,0.07526444,0.007365,0.00289768094,0.0019154799980000002
38,0.07729861,0.007533,0.002975996485,0.0019672496245000002
39,0.07933279,0.007701,0.003054312415,0.0020190195055
40,0.08136696,0.007868,0.00313262796,0.0020707891320000003
41,0.08340114,0.008034,0.00321094389,0.002122559013
42,0.08543531,0.0082,0.003289259435,0.0021743286395000004
43,0.08746949,0.008365,0.0033675753649999997,0.0022260985205
44,0.08950366,0.008529,0.00344589091,0.002277868147
45,0.09153783,0.008693,0.003524206455,0.0023296377735000004
46,0.09357201,0.008856,0.0036025223849999997,0.0023814076545
47,0.09560618,0.009019,0.00368083793,0.002433177281
48,0.09764036,0.009182,0.00375915386,0.002484947162
49,0.09967453,0.009343,0.0038374694049999997,0.0025367167885
50,0.1017087,0.009505,0.00391578495,0.002588486415
51,0.10374288,0.009665,0.0039941008799999995,0.0026402562960000002
52,0.10577705,0.009826,0.004072416425,0.0026920259225000002
53,0.10781123,0.009985,0.004150732355,0.0027437958035
54,0.1098454,0.010145,0.0042290478999999995,0.0027955654300000003
55,0.11187957,0.010304,0.004307363445,0.0028473350565000003
56,0.11391375,0.010462,0.004385679375,0.0028991049375
57,0.11594792,0.01062,0.00446399492,0.0029508745640000004
58,0.1179821,0.010778,0.00454231085,0.0030026444450000004
59,0.12001627,0.010935,0.004620626395,0.0030544140715
60,0.12205044,0.011091,0.00469894194,0.003106183698
61,0.12408462,0.011248,0.00477725787,0.0031579535790000005
62,0.12611879,0.011404,0.004855573415000001,0.0032097232055
63,0.12815297,0.011559,0.004933889345,0.0032614930865000006
64,0.13018714,0.011715,0.00501220489,0.003313262713
