City, Country,AQI_PM2_5,PM2_5,PM10,wind_speed,Soiling_Rate,lat,lng
Dijon, FR,30.38186813186813,7.2,0.0,0.0,0.01,47.32721329,5.04404116
Dnipro, UA,31.598639455782312,7.4,14.363945578231291,31.598639455782312,0.011,48.47329712,35.00191498
Dongguan, CN,64.1644204851752,18.2,0.0,0.0,0.045,23.02066994,113.75179291
Donostia / San Sebastián, ES,33.71159029649596,7.9,15.150776053215075,34.5920177383592,0.013,43.32090378,-1.984514
Dordrecht, NL,40.83923705722071,9.6,0.0,0.0,0.018,51.81155014,4.66636086
Douliu, TW,55.8167115902965,14.0,33.8780487804878,60.106430155210646,0.031,23.69922447,120.5260849
Dresden, DE,38.84699453551912,9.1,0.0,0.0,0.016,51.05099106,13.73363304
Dubai, AE,164.94428152492668,80.6,0.0,0.0,0.238,24.93719292,55.37487793
Dublin, IE,27.48816568047337,6.4,0.0,0.0,0.008,53.34409714,-6.2674861
Durban, ZA,54.77707006369427,13.5,0.0,0.0,0.03,-29.88188934,30.98084259
Dushanbe, TJ,105.36543909348444,37.1,0.0,0.0,0.103,38.57627106,68.78635406
Düsseldorf, DE,38.49722222222222,9.1,0.0,0.0,0.016,51.22495651,6.77567816
East London, ZA,101.92682926829268,35.5,0.0,0.0,0.098,-33.01343918,27.90420151
Edinburgh, GB,20.40431266846361,4.8,0.0,0.0,0.003,55.95019531,-3.18756294
Edmonton, CA,27.90566037735849,6.4,0.0,0.0,0.008,53.54445267,-113.49091339
Eindhoven, NL,50.349726775956285,12.0,0.0,0.0,0.025,51.43659592,5.47800207
El Paso, US,27.787061994609164,6.4,23.01330376940133,26.97560975609756,0.008,31.76010704,-106.49229431
Erzurum, TR,70.83695652173913,21.1,37.31485587583148,70.04719101123595,0.054,39.90149689,41.26454926
Eskişehir, TR,49.57790368271954,11.7,35.61200923787529,47.61662817551963,0.024,39.77077484,30.51798058
Florence, IT,45.7967032967033,10.8,0.0,0.0,0.022,43.76869583,11.2569294
Fort Worth, US,30.870619946091644,7.2,0.0,30.69179600886918,0.01,32.74990463,-97.33033752
Foshan, CN,65.42318059299191,18.7,0.0,0.0,0.046,23.02185059,113.12191772
Freiburg, DE,31.671159029649598,7.4,0.0,0.0,0.011,47.99718475,7.85376692
Fresno, US,40.71159029649596,9.6,29.95777777777778,38.36,0.018,36.73165512,-119.78585815
Fukuoka, JP,41.490566037735846,9.8,0.0,0.0,0.018,33.59696198,130.4080658
Funchal, PT,21.0,5.0,15.760765550239237,20.279904306220097,0.004,32.64753723,-16.90501595
Fushun, CN,87.99730458221025,29.2,0.0,0.0,0.079,41.88107681,123.9570694
Fuzhou, CN,60.6711590296496,16.3,0.0,0.0,0.039,26.07423019,119.29686737
Gandhinagar, IN,106.11263736263736,37.5,70.68018018018019,110.23648648648648,0.104,23.22334671,72.64770508
Gasteiz / Vitoria, ES,38.493261455525605,9.1,13.354767184035476,38.3370288248337,0.016,42.84685898,-2.67158604
Gdańsk, PL,48.285714285714285,11.5,16.510022271714924,47.9064587973274,0.024,54.35603333,18.64612007
Gent, BE,41.967845659163984,9.8,19.38095238095238,41.60416666666666,0.018,51.05381775,3.72227192
Ghāziābād, IN,143.51373626373626,52.5,118.1891891891892,147.0653153153153,0.151,28.66908073,77.43041229
Gifu-shi, JP,33.97289972899729,7.9,0.0,0.0,0.013,35.4230957,136.76275635
Glasgow, GB,22.21024258760108,5.2,0.0,0.0,0.004,55.86568451,-4.25713778
