Hours,Soiling_accumulation,rs_hegazy,rs_you_saiz,rs_conceicao
0,0.0,0.0,0.0,0.0
1,0.002964812845789855,0.0004754519070562414,0.00011414529456290942,7.545448692535182e-05
2,0.00592962569157971,0.0008553991657239081,0.00022829058912581885,0.00015090897385070364
3,0.008894438537369567,0.0012060637113274976,0.0003424358836887283,0.00022636346077605548
4,0.01185925138315942,0.0015389693209492987,0.0004565811782516377,0.0003018179477014073
5,0.014824064228949274,0.0018592627516066272,0.0005707264728145471,0.00037727243462675906
6,0.017788877074739133,0.002169850607460855,0.0006848717673774566,0.00045272692155211096
7,0.020753689920528985,0.0024725922069104692,0.0007990170619403659,0.0005281814084774626
8,0.02371850276631884,0.00276877444917998,0.0009131623565032754,0.0006036358954028145
9,0.0266833156121087,0.003059338138797491,0.001027307651066185,0.0006790903823281664
10,0.029648128457898548,0.003344999379905697,0.0011414529456290942,0.0007545448692535181
11,0.0326129413036884,0.0036263204237256476,0.0012555982401920034,0.0008299993561788698
12,0.035577754149478266,0.0039037537342882078,0.0013697435347549132,0.0009054538431042219
13,0.03854256699526811,0.004177670798424334,0.0014838888293178224,0.0009809083300295735
14,0.04150737984105797,0.004448381734584932,0.0015980341238807318,0.0010563628169549253
15,0.04447219268684782,0.004716149088965604,0.0017121794184436412,0.001131817303880277
16,0.04743700553263768,0.0049811978158287714,0.0018263247130065508,0.001207271790805629
17,0.050401818378427526,0.00524372267051247,0.0019404700075694597,0.0012827262777309807
18,0.0533666312242174,0.00550389379888749,0.00205461530213237,0.0013581807646563329
19,0.056331444070007244,0.005761861039142748,0.0021687605966952787,0.0014336352515816845
20,0.059296256915797096,0.0060177572847781744,0.0022829058912581883,0.0015090897385070363
21,0.062261069761586955,0.006271701150412968,0.002397051185821098,0.001584544225432388
22,0.0652258826073768,0.006523799111277203,0.0025111964803840067,0.0016599987123577396
23,0.06819069545316667,0.006774147239506483,0.0026253417749469168,0.0017354531992830918
24,0.07115550829895653,0.007022832627452962,0.0027394870695098264,0.0018109076862084439
25,0.07412032114474637,0.007269934565121019,0.002853632364072735,0.0018863621731337954
26,0.07708513399053622,0.007515525522336927,0.0029677776586356447,0.001961816660059147
27,0.08004994683632609,0.007759671974298145,0.0030819229531985543,0.002037271146984499
28,0.08301475968211594,0.008002435100351283,0.0031960682477614635,0.0021127256339098506
29,0.08597957252790579,0.008243871379295975,0.003310213542324373,0.0021881801208352026
