1691,Goettingen,Niedersachsen,0,9.9507,51.5002,167

DNI (W/m^2),GHI (W/m^2),Date (MM/DD/YYYY),Time (HH:MM),DHI (W/m^2),Dry-bulb (C),Alb

0,0,01/08/2019,18:00,0,7,45,0.25

0,0,01/08/2019,19:00,0,7,52,0.25

0,0,01/08/2019,20:00,0,7,7,0.25

0,0,01/08/2019,21:00,0,7,63,0.25

0,0,01/08/2019,22:00,0,7,48,0.25

0,0,01/08/2019,23:00,0,7,47,0.25

0,0,01/09/2019,00:00,0,7,43,0.25

0,0,01/09/2019,01:00,0,7,47,0.25

0,0,01/09/2019,02:00,0,7,37,0.25

0,0,01/09/2019,03:00,0,7,35,0.25

0,0,01/09/2019,04:00,0,7,6,0.25

0,0,01/09/2019,05:00,0,7,72,0.25

0,0,01/09/2019,06:00,0,7,87,0.25

0,0,01/09/2019,07:00,0,8,4,0.25

1,1111,3,0864,01/09/2019,08:00,1,9753,8,73,0.25

11,3889,31,6357,01/09/2019,09:00,20,2469,8,95,0.25

23,8889,66,3582,01/09/2019,10:00,42,4692,9,25,0.25

28,8889,80,247,01/09/2019,11:00,51,358,9,57,0.25

20,5555,57,099,01/09/2019,12:00,36,5433,9,78,0.25

20,2777,56,3273,01/09/2019,13:00,36,0493,10,22,0.25

18,611,51,6976,01/09/2019,14:00,33,0864,10,53,0.25

5,8334,16,2036,01/09/2019,15:00,10,3704,10,72,0.25

0,0,01/09/2019,16:00,0,10,87,0.25

0,0,01/09/2019,17:00,0,10,85,0.25

0,0,01/09/2019,18:00,0,11,22,0.25

0,0,01/09/2019,19:00,0,11,5,0.25

0,0,01/09/2019,20:00,0,11,53,0.25

0,0,01/09/2019,21:00,0,11,02,0.25

0,0,01/09/2019,22:00,0,10,75,0.25

0,0,01/09/2019,23:00,0,10,77,0.25

0,0,01/10/2019,00:00,0,10,65,0.25

0,0,01/10/2019,01:00,0,10,5,0.25

0,0,01/10/2019,02:00,0,10,02,0.25

0,0,01/10/2019,03:00,0,9,73,0.25

0,0,01/10/2019,04:00,0,9,22,0.25

0,0,01/10/2019,05:00,0,9,23,0.25

0,0,01/10/2019,06:00,0,9,35,0.25

0,0,01/10/2019,07:00,0,9,18,0.25

2,2223,6,1728,01/10/2019,08:00,3,9507,8,5,0.25

39,7223,110,3395,01/10/2019,09:00,70,6174,8,15,0.25

106,6667,296,2964,01/10/2019,10:00,189,6297,9,22,0.25

174,1666,483,7963,01/10/2019,11:00,309,6297,9,8,0.25

122,7778,341,0493,01/10/2019,12:00,218,2715,9,78,0.25

92,5,256,9444,01/10/2019,13:00,164,4444,9,82,0.25

27,4999,76,3889,01/10/2019,14:00,48,8889,7,97,0.25

28,3334,78,7037,01/10/2019,15:00,50,3703,7,98,0.25

1,1111,3,0864,01/10/2019,16:00,1,9753,7,75,0.25

0,0,01/10/2019,17:00,0,7,58,0.25

0,0,01/10/2019,18:00,0,6,85,0.25

0,0,01/10/2019,19:00,0,5,93,0.25

0,0,01/10/2019,20:00,0,5,13,0.25

0,0,01/10/2019,21:00,0,4,87,0.25

0,0,01/10/2019,22:00,0,4,87,0.25

0,0,01/10/2019,23:00,0,4,67,0.25

0,0,01/11/2019,00:00,0,4,55,0.25

0,0,01/11/2019,01:00,0,4,33,0.25

0,0,01/11/2019,02:00,0,4,27,0.25

0,0,01/11/2019,03:00,0,3,88,0.25

0,0,01/11/2019,04:00,0,3,77,0.25

0,0,01/11/2019,05:00,0,3,58,0.25

0,0,01/11/2019,06:00,0,3,48,0.25

0,0,01/11/2019,07:00,0,3,47,0.25

10,0001,27,7778,01/11/2019,08:00,17,7777,2,57,0.25

58,3333,162,0371,01/11/2019,09:00,103,7038,3,15,0.25

83,3333,231,4814,01/11/2019,10:00,148,1482,4,13,0.25

69,7222,193,6728,01/11/2019,11:00,123,9507,5,47,0.25

108,3333,300,926,01/11/2019,12:00,192,5925,5,92,0.25

141,6667,393,5184,01/11/2019,13:00,251,8519,6,02,0.25

110,5555,307,0988,01/11/2019,14:00,196,5431,5,83,0.25

57,7777,160,4939,01/11/2019,15:00,102,7159,5,2,0.25

4,7223,13,1172,01/11/2019,16:00,8,3951,4,42,0.25

0,0,01/11/2019,17:00,0,3,73,0.25

0,0,01/11/2019,18:00,0,3,6,0.25

0,0,01/11/2019,19:00,0,3,65,0.25

0,0,01/11/2019,20:00,0,3,35,0.25

0,0,01/11/2019,21:00,0,3,22,0.25

0,0,01/11/2019,22:00,0,3,1,0.25

0,0,01/11/2019,23:00,0,2,22,0.25

0,0,01/12/2019,00:00,0,2,03,0.25

0,0,01/12/2019,01:00,0,1,88,0.25

0,0,01/12/2019,02:00,0,1,73,0.25

0,0,01/12/2019,03:00,0,1,95,0.25

0,0,01/12/2019,04:00,0,1,8,0.25

