,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2019-10-01 00:00:00,82.26317236978072,82.37742105929495,7.736827630219277,7.6225789407050515,259.661738010237,10.105775933559926
2019-10-01 01:00:00,93.8648834842004,93.8648834842004,-3.864883484200402,-3.864883484200402,269.3020333901839,10.119309673438693
2019-10-01 02:00:00,105.3749055084173,105.3749055084173,-15.374905508417292,-15.374905508417292,279.04832257188116,10.132835660893761
2019-10-01 03:00:00,116.55617621058073,116.55617621058073,-26.55617621058073,-26.55617621058073,289.75398068242725,10.146353875483328
2019-10-01 04:00:00,126.92985092829781,126.92985092829781,-36.92985092829782,-36.92985092829782,302.50945929783546,10.159864297220338
2019-10-01 05:00:00,135.72113128478122,135.72113128478122,-45.72113128478122,-45.72113128478122,318.739874776493,10.17336690609227
2019-10-01 06:00:00,141.6820331064542,141.6820331064542,-51.68203310645421,-51.68203310645421,339.67737853643723,10.186861681588198
2019-10-01 07:00:00,143.32796887269433,143.32796887269433,-53.32796887269431,-53.32796887269431,4.264571302687386,10.200348603630118
2019-10-01 08:00:00,140.10562510764396,140.10562510764396,-50.10562510764396,-50.10562510764396,28.00191532621733,10.2138276520418
2019-10-01 09:00:00,133.03564545221883,133.03564545221883,-43.03564545221882,-43.03564545221882,47.31544114905137,10.22729880625775
2019-10-01 10:00:00,123.6098815545749,123.6098815545749,-33.6098815545749,-33.6098815545749,62.22124351843081,10.240762046068994
2019-10-01 11:00:00,112.90944211084104,112.90944211084104,-22.90944211084105,-22.90944211084105,74.16087850240547,10.254217351182888
2019-10-01 12:00:00,101.58877083365385,101.58877083365385,-11.588770833653847,-11.588770833653847,84.45619601280623,10.26766470090297
2019-10-01 13:00:00,89.57857548120028,90.07001250156509,0.42142451879971815,-0.07001250156509475,94.09977772018937,10.281104074922041
2019-10-01 14:00:00,78.61141347476014,78.69152768571558,11.38858652523986,11.308472314284414,103.90652821069614,10.29453545287106
2019-10-01 15:00:00,67.7748616392646,67.81562210023725,22.2251383607354,22.18437789976275,114.68550603373978,10.30795881391532
2019-10-01 16:00:00,57.90813576019722,57.93488069536118,32.09186423980278,32.06511930463882,127.3691292940374,10.321374137627572
2019-10-01 17:00:00,49.77615718204171,49.79603377595221,40.22384281795829,40.20396622404779,142.99104463074883,10.334781403500529
2019-10-01 18:00:00,44.4512811288862,44.467786792670324,45.5487188711138,45.532213207329676,162.1584761728127,10.348180590615812
2019-10-01 19:00:00,43.04525593758182,43.06097260781567,46.95474406241818,46.93902739218433,183.78801059844204,10.361571678393375
2019-10-01 20:00:00,45.9321921596567,45.9495704073119,44.0678078403433,44.0504295926881,204.82499936365463,10.37495464625681
2019-10-01 21:00:00,52.38618809192464,52.40799447698439,37.61381190807536,37.59200552301561,222.74583628268627,10.388329473084013
2019-10-01 22:00:00,61.24093175224502,61.27144195254408,28.75906824775498,28.728558047455916,237.21343264951116,10.40169613825492
2019-10-01 23:00:00,71.5304186814558,71.58000114108522,18.469581318544204,18.419998858914784,249.09748993618143,10.415054621022136
2019-10-02 00:00:00,82.57311159650318,82.691542078937,7.426888403496824,7.308457921062996,259.4182959990938,10.428404900154419
2019-10-02 01:00:00,94.17412042313444,94.17412042313444,-4.1741204231344335,-4.1741204231344335,269.0538775700003,10.441746954926202
2019-10-02 02:00:00,105.68760948764219,105.68760948764219,-15.687609487642188,-15.687609487642188,278.7960190334185,10.455080764390004
2019-10-02 03:00:00,116.88127018045721,116.88127018045721,-26.881270180457204,-26.881270180457204,289.50075342604924,10.46840630729639
2019-10-02 04:00:00,127.27655925573646,127.27655925573646,-37.27655925573646,-37.27655925573646,302.26954742142175,10.481723562723346
2019-10-02 05:00:00,136.09572754594603,136.09572754594603,-46.09572754594604,-46.09572754594604,318.55544996293906,10.495032509625162
2019-10-02 06:00:00,142.07707029440746,142.07707029440746,-52.07707029440746,-52.07707029440746,339.63432259673914,10.508333126625075
2019-10-02 07:00:00,143.7103078119455,143.7103078119455,-53.71030781194551,-53.71030781194551,4.437329349581205,10.521625392597343
2019-10-02 08:00:00,140.43756519310654,140.43756519310654,-50.43756519310654,-50.43756519310654,28.33937981159596,10.53490928651081
2019-10-02 09:00:00,133.3090854564382,133.3090854564382,-43.30908545643821,-43.30908545643821,47.70787233695478,10.548184786690399
2019-10-02 10:00:00,123.83829590257723,123.83829590257723,-33.83829590257723,-33.83829590257723,62.609875756679344,10.56145187202128
2019-10-02 11:00:00,113.10986753793597,113.10986753793597,-23.10986753793597,-23.10986753793597,74.53163327230635,10.574710521239467
2019-10-02 12:00:00,101.77595055909104,101.77595055909104,-11.775950559091042,-11.775950559091042,84.81223237482573,10.5879607126044
2019-10-02 13:00:00,89.73663368386084,90.25653696139493,0.26336631613915845,-0.25653696139492804,94.44875418828263,10.601202424855728
2019-10-02 14:00:00,78.8077690355583,78.88921744443894,11.19223096444171,11.110782555561066,104.25592956282497,10.61443563656212
2019-10-02 15:00:00,67.99560611572454,68.03680854314428,22.004393884275462,21.963191456855718,115.03947493706039,10.62766032592117
2019-10-02 16:00:00,58.16584147793094,58.1928527163152,31.834158522069057,31.807147283684795,127.72253142506645,10.640876471454249
2019-10-02 17:00:00,50.08268921221386,50.10278163333222,39.91731078778614,39.89721836666778,143.31730970812401,10.654084051639074
2019-10-02 18:00:00,44.80900081528791,44.82571319041448,45.19099918471209,45.17428680958552,162.3979852460791,10.667283044520445
2019-10-02 19:00:00,43.43602328794894,43.45195559528619,46.56397671205106,46.54804440471381,183.87486832823805,10.680473428506957
