Date,pm25,pm10,wind-speed,humidity,precipitation,soiling_accumulation,cum_soiling_accumulation,soilingrate
2022-01-29,6,7,5.1,43.8,0.0,0.005641,0.07916400000000001,0.007686863612367055
2022-01-30,11,12,5.1,62.0,0.0,0.009981,0.08914500000000002,0.00850023887743528
2022-01-31,6,8,3.6,46.9,0.0,0.004288,0.09343300000000002,0.008845310575129186
2022-02-01,6,10,2.1,36.8,0.0,0.002859,0.09629200000000002,0.0090740302580043
2022-02-02,6,10,3.6,29.1,0.0,0.004901,0.10119300000000002,0.00946370682743873
2022-02-03,6,8,3.8,25.0,0.0,0.004527,0.10572000000000002,0.009821074443802858
2022-02-04,7,8,4.6,23.0,0.0,0.005871,0.11159100000000002,0.010281060980327777
2022-02-05,8,8,3.8,42.2,0.0,0.005173,0.11676400000000002,0.010683277343410812
2022-02-06,9,9,6.6,68.1,0.1,0.010108,0.126872,0.011461431105907794
2022-02-07,5,8,8.2,56.1,0.1,0.00907,0.135942,0.012151555351634624
2022-02-08,0,0,3.6,66.9,0.0,0.0,0.0,0.0
2022-02-09,10,8,4.6,64.8,0.0,0.007045,0.007045,0.0009899018566700427
2022-02-10,0,0,5.0,57.1,0.0,0.0,0.0,0.0
2022-02-11,0,0,4.2,74.8,0.0,0.0,0.0,0.0
2022-02-12,0,0,4.6,67.8,0.0,0.0,0.0,0.0
2022-02-13,0,0,4.3,59.8,0.0,0.0,0.0,0.0
2022-02-14,0,0,4.1,53.1,0.0,0.0,0.0,0.0
2022-02-15,12,10,3.6,55.9,0.0,0.006739,0.006739,0.000953348238011839
2022-02-16,11,10,4.6,40.2,0.0,0.008219,0.014958,0.0018734861011761592
2022-02-17,7,8,3.6,36.1,0.0,0.004595,0.019553,0.0023508412771515185
2022-02-18,5,7,3.1,36.1,0.0,0.003165,0.022718000000000002,0.002669494531087284
2022-02-19,8,9,3.0,42.4,0.0,0.004339,0.027057,0.003095599940532321
2022-02-20,7,8,3.6,37.2,0.0,0.004595,0.031652,0.0035355858023514803
2022-02-21,7,8,5.1,54.8,0.0,0.006509,0.038161,0.004142603863751561
2022-02-22,9,10,4.6,71.0,0.0,0.007437,0.045598,0.004817103176726194
2022-02-23,4,6,4.1,55.9,0.0,0.003489,0.049087,0.005127599683078014
2022-02-24,5,7,3.8,62.0,0.0,0.00388,0.052967,0.005468956601889615
2022-02-25,8,10,3.6,66.1,0.0,0.005514,0.058481,0.005947590972170198
2022-02-26,7,9,4.6,60.3,99.2,0.0,0.0,0.0
2022-02-27,5,5,4.1,54.8,0.0,0.003489,0.003489,0.0005457751498437468
2022-02-28,8,8,4.6,66.8,0.0,0.006262,0.009751,0.001303776734765297
2022-03-01,5,6,5.6,75.2,0.0,0.0,0.0,0.0
2022-03-02,3,4,4.1,69.2,0.2,0.002442,0.002442,0.00040338547259321454
2022-03-03,4,5,4.1,62.8,0.2,0.00314,0.005582,0.0008127143009372029
2022-03-04,4,5,3.6,52.2,0.0,0.002757,0.008339,0.0011419369552007092
2022-03-05,4,4,3.6,56.6,0.0,0.002451,0.01079,0.0014205634636896528
2022-03-06,4,4,4.6,50.4,0.0,0.003131,0.013921,0.0017628383101398828
2022-03-07,4,4,3.0,42.2,0.0,0.002042,0.015962999999999998,0.0019796055757298264
2022-03-08,3,5,3.6,48.3,0.0,0.002451,0.018414,0.0022342858032892367
2022-03-09,4,5,3.6,36.1,0.0,0.002757,0.021171,0.0025146531526354953
2022-03-10,5,5,3.0,30.8,0.0,0.002553,0.023724,0.0027693181490968345
2022-03-11,6,7,2.8,30.2,0.0,0.003097,0.026820999999999998,0.003072707808114704
2022-03-12,10,10,3.9,69.6,0.0,0.006637,0.033457999999999995,0.003705775664093366
2022-03-13,8,8,3.4,69.0,0.0,0.004629,0.038086999999999996,0.004135796891636185
2022-03-14,10,10,3.6,81.2,0.0,0.0,0.0,0.0
2022-03-15,6,5,4.3,77.5,0.0,0.0,0.0,0.0
2022-03-16,3,5,4.4,73.2,99.0,0.0,0.0,0.0
2022-03-17,6,5,3.8,74.8,0.0,0.003557,0.003557,0.0005547746084486459
2022-03-18,16,11,2.8,78.8,0.0,0.0,0.0,0.0
2022-03-19,4,5,2.6,55.3,0.0,0.001991,0.001991,0.00033930204770853004
2022-03-20,6,6,4.1,66.4,99.0,0.0,0.0,0.0
2022-03-21,5,5,4.1,62.4,0.0,0.003489,0.003489,0.0005457751498437468
2022-03-22,4,5,4.1,54.5,0.0,0.00314,0.0066289999999999995,0.0009401465758613302
2022-03-23,6,7,3.6,42.5,0.0,0.003982,0.010610999999999999,0.0014005704209433059
2022-03-24,8,8,3.6,40.0,0.0,0.004901,0.015511999999999998,0.001932113982126324
2022-03-25,6,9,2.8,36.1,0.0,0.003574,0.019086,0.0023031814730057913
2022-03-26,6,6,3.6,73.6,99.2,0.0,0.0,0.0
2022-03-27,4,2,4.6,70.0,99.2,0.0,0.0,0.0
2022-03-28,5,4,1.9,71.0,99.0,0.0,0.0,0.0
2022-03-29,6,4,3.6,66.7,0.0,0.003063,0.003063,0.0004887599743050148
2022-03-30,5,3,2.6,71.9,0.0,0.00177,0.0048330000000000005,0.0007193163060384209
2022-03-31,5,4,3.6,63.0,99.0,0.0,0.0,0.0
2022-04-01,5,5,3.2,54.8,99.2,0.0,0.0,0.0
2022-04-02,5,5,2.5,52.9,0.0,0.002127,0.002127,0.0003588399463657195
2022-04-03,7,5,3.4,68.9,99.2,0.0,0.0,0.0
2022-04-04,3,3,4.6,68.0,0.0,0.002348,0.002348,0.00039018975316789317
2022-04-05,4,5,3.0,62.0,0.0,0.002297,0.004645,0.0006955366933777784
2022-04-06,5,5,3.6,58.0,0.0,0.003063,0.007708,0.0010682874388156355
2022-04-07,6,5,3.0,44.6,0.0,0.002808,0.010516,0.0013899387015818892
2022-04-08,6,5,5.6,63.1,0.0,0.005241,0.015757,0.0019579389646030756
2022-04-09,4,4,4.1,65.8,0.3,0.002791,0.018548000000000002,0.0022480541629632416
2022-04-10,4,4,3.7,76.3,0.4,0.0,0.0,0.0
2022-04-11,4,3,2.5,84.2,2.9,0.0,0.0,0.0
2022-04-12,6,4,2.5,88.2,0.0,0.0,0.0,0.0
2022-04-14,0,0,4.1,70.0,0.0,0.0,0.0,0.0
2022-04-15,0,0,2.7,71.4,0.0,0.0,0.0,0.0
