"City, Country",min,max,median,variance
"Adelaide, AU",36.6504132231405,90.97438016528925,65.31432506887053,1993.201707988981
"Brisbane, AU",46.08465753424658,93.36547945205479,70.27561643835617,1683.0898630136987
"Canberra, AU",46.95068493150685,96.70794520547946,75.90767123287672,2299.439863013699
"Darwin, AU",49.575824175824174,93.11291208791208,73.94835164835165,1644.2220879120882
"Hobart, AU",52.38794520547945,89.87972602739724,76.11068493150685,1192.7963013698632
"Launceston, AU",49.83643835616437,93.95287671232877,77.04301369863013,1911.4188493150682
"Melbourne, AU",48.8772602739726,99.14438356164382,76.97013698630137,1887.2419452054794
"Newcastle, AU",55.35589041095891,93.87150684931507,77.53616438356164,1193.5678630136986
"Perth, AU",38.14764542936288,87.91551246537396,66.57229916897508,2052.232603878116
"Sydney, AU",45.59561643835617,95.89369863013698,74.02520547945205,1648.3633424657535
"Wollongong, AU",56.14630136986302,94.52082191780822,74.33945205479452,1340.009506849315
"Calgary, CA",38.991506849315066,80.55342465753425,59.15506849315068,1574.8038630136984
"Edmonton, CA",46.707945205479454,94.93397260273971,70.62739726027397,1724.1863561643836
"Halifax, CA",62.25178082191781,95.65095890410959,83.20328767123287,1224.8428493150684
"Hamilton, CA",50.69041095890411,89.73753424657535,73.26109589041096,1200.8659726027397
"Kitchener, CA",50.042739726027406,93.92575342465756,71.90904109589042,2004.958712328767
"London, CA",48.97890410958905,92.55123287671232,72.4695890410959,1942.634
"Mississauga, CA",27.95068493150685,88.5627397260274,69.70794520547946,3692.610767123288
"Montréal, CA",42.691232876712334,93.11863013698631,68.10931506849316,1545.2322739726028
"Ottawa, CA",53.76602739726027,83.41671232876712,68.99369863013699,1200.269095890411
"Québec, CA",50.10109589041096,94.12849315068493,74.07534246575342,1534.0692054794522
"Surrey, CA",49.228767123287675,96.25287671232877,80.95479452054795,1676.9521369863012
"Toronto, CA",46.50493150684931,93.88136986301369,71.45095890410958,1483.869616438356
"Vancouver, CA",51.652054794520545,98.40301369863015,83.30876712328768,1561.1391780821918
"Victoria, CA",65.07561643835616,91.54301369863013,80.54575342465753,667.657205479452
"Winnipeg, CA",56.70882352941176,87.85751633986928,72.31209150326798,1204.374477124183
"Zürich, CH",43.94410958904109,93.43534246575341,73.16986301369863,2041.2898356164385
"Abidjan, CI",73.99945205479453,98.02876712328766,89.66027397260274,754.4814794520547
"Bogotá, CO",28.423287671232877,97.85534246575342,70.59808219178082,3146.44602739726
"Medellín, CO",48.10520547945206,100.25205479452055,94.45972602739727,1586.4884931506851
"Limassol, CY",49.21534246575342,84.41342465753425,66.23150684931507,1407.1717260273974
