Hours,Soiling_accumulation,rs_hegazy,rs_you_saiz,rs_conceicao
0,0.0,0.0,0.0,0.0
1,2.986519264926165,0.15690051288567786,0.11498099169965735,0.07600691529237091
2,5.97303852985233,0.2493961865312817,0.2299619833993147,0.15201383058474183
3,8.959557794778496,0.3013260214444408,0.3449429750989721,0.22802074587711274
4,11.94607705970466,0.3267764430755883,0.4599239667986294,0.30402766116948365
5,14.932596324630826,0.33768138808385145,0.5749049584982868,0.3800345764618545
6,17.91911558955699,0.34178911304226434,0.6898859501979442,0.4560414917542255
7,20.905634854483154,0.34315687997558797,0.8048669418976014,0.5320484070465963
8,23.89215411940932,0.34356143820068297,0.9198479335972588,0.6080553223389673
9,26.87867338433548,0.3436681883460156,1.034828925296916,0.6840622376313381
10,29.86519264926165,0.34369341183011476,1.1498099169965736,0.760069152923709
11,32.85171191418782,0.3436987664658706,1.264790908696231,0.83607606821608
12,35.83823117911398,0.3436997907567399,1.3797719003958884,0.912082983508451
13,38.82475044404014,0.3436999677811297,1.4947528920955455,0.9880898988008217
14,41.81126970896631,0.3436999954885541,1.6097338837952029,1.0640968140931926
15,44.79778897389247,0.3436999994245543,1.7247148754948602,1.1401037293855634
16,47.78430823881864,0.3436999999330322,1.8396958671945176,1.2161106446779346
17,50.770827503744805,0.34369999999287887,1.954676858894175,1.2921175599703054
18,53.75734676867096,0.3436999999993071,2.069657850593832,1.3681244752626762
19,56.74386603359713,0.3436999999999382,2.1846388422934893,1.444131390555047
20,59.7303852985233,0.34369999999999495,2.2996198339931473,1.520138305847418
21,62.71690456344946,0.3436999999999996,2.4146008256928044,1.5961452211397889
22,65.70342382837563,0.34369999999999995,2.529581817392462,1.67215213643216
23,68.68994309330179,0.34369999999999995,2.644562809092119,1.7481590517245307
