"City, Country",min,max,median,variance
"Adelaide, AU",0.4583518930957684,13.144320712694876,4.6487750556792875,81.79810690423162
"Brisbane, AU",0.16258351893095768,5.991536748329621,1.651670378619154,16.535612472160356
"Canberra, AU",0.4319290465631929,7.78669623059867,3.211308203991131,32.268891352549886
"Darwin, AU",0.623608017817372,31.711804008908683,3.217149220489978,1298.5404677060133
"Hobart, AU",0.18935698447893573,7.2940133037694,1.9640798226164078,38.39330376940133
"Launceston, AU",0.4337028824833703,7.935476718403548,3.604212860310421,38.2328824833703
"Melbourne, AU",0.24922394678492243,8.015521064301552,3.0685144124168517,34.35181818181818
"Newcastle, AU",0.3188470066518847,8.980266075388027,3.841685144124168,53.80170731707317
"Perth, AU",0.3959731543624161,9.425055928411632,3.9711409395973156,77.10364653243849
"Sydney, AU",0.17272727272727273,9.009534368070954,2.7082039911308207,50.75048780487805
"Wollongong, AU",1.065410199556541,9.422616407982261,4.189578713968958,51.88971175166298
"Antwerpen, BE",0.21250000000000002,9.676162790697674,3.143604651162791,54.79779069767442
"Brussels, BE",0.3229651162790698,7.548255813953488,2.16046511627907,198.9870639534884
"Charleroi, BE",1.8331395348837207,8.595639534883722,3.942732558139535,25.363633720930235
"Gent, BE",0.8886627906976744,12.390406976744185,5.323255813953489,111.0168023255814
"Liège, BE",1.9659883720930231,6.2997093023255815,4.000290697674418,17.573226744186044
"Namur, BE",0.36165191740412983,3.18259587020649,1.6648967551622418,9.691061946902655
"Calama, CL",1.8751662971175167,11.766962305986695,7.0467849223946795,87.07793791574278
"Chillán, CL",1.339467849223947,6.397339246119733,3.4230598669623062,24.141862527716185
"Concepción, CL",1.3917960088691796,7.023503325942351,3.8062084257206217,31.93168514412417
"Los Ángeles, CL",2.7138009049773757,5.992307692307692,4.3015837104072405,16.121900452488685
"Osorno, CL",0.5810690423162583,5.094432071269487,2.382628062360802,20.01051224944321
"Puerto Montt, CL",0.6505543237250554,6.119290465631928,2.778492239467849,30.336873614190687
"Quilpué, CL",0.8753880266075387,6.204878048780487,2.433481152993348,31.27656319290466
"Rancagua, CL",0.48625277161862523,5.625720620842571,2.2281596452328163,24.936651884700666
"Santiago, CL",0.8709534368070954,7.152549889135256,2.935920177383592,41.40383592017739
"Talca, CL",0.893569844789357,5.851662971175166,2.6095343680709537,16.712527716186255
"Temuco, CL",0.8888143176733779,3.9463087248322153,1.9319910514541387,15.386644295302013
"Valparaíso, CL",0.862749445676275,6.06851441241685,2.398447893569845,28.350886917960093
"Brno, CZ",0.33658536585365856,7.119512195121952,2.526164079822616,32.37472283813747
"Olomouc, CZ",0.6449888641425389,6.244097995545657,2.873942093541203,81.15302895322941
"Ostrava, CZ",0.5634146341463415,10.398226164079823,3.6536585365853655,37.20310421286032
"Pilsen, CZ",1.0046563192904656,7.036363636363636,2.7243902439024392,222.63241685144123
"Prague, CZ",0.3137472283813748,7.965188470066519,3.3046563192904657,33.2490022172949
"Barcelona, ES",0.13325942350332595,11.101330376940133,2.102439024390244,58.712461197339245
"Bilbao, ES",0.23259423503325943,9.155875831485588,2.34079822616408,40.07838137472284
"Burgos, ES",1.4933481152993349,7.177161862527718,4.138359201773836,30.64359201773836
"Castelló de la Plana, ES",0.36093749999999997,4.721205357142857,1.9883928571428575,26.14535714285714
"Córdoba, ES",0.48514412416851443,4.710199556541021,2.0662971175166294,17.44689578713969
"Donostia / San Sebastián, ES",0.24767184035476722,8.473835920177383,2.4636363636363634,47.965809312638584
"Gasteiz / Vitoria, ES",0.544789356984479,6.998669623059866,2.602439024390244,45.48416851441242
"Granada, ES",0.2609756097560976,4.07139689578714,1.3059866962305986,14.187960088691797
"Huelva, ES",1.1350332594235033,10.491352549889136,4.490022172949002,84.94144124168515
"Las Palmas de Gran Canaria, ES",4.766075388026607,20.121951219512194,13.329933481152993,192.31436807095344
"Madrid, ES",0.18935698447893573,8.052549889135255,2.3,36.5140133037694
"Murcia, ES",0.3494456762749446,6.131042128603105,2.2878048780487803,29.06412416851441
"Málaga, ES",0.8481152993348116,9.603325942350333,4.033259423503326,66.84933481152994
"Oviedo, ES",0.24105011933174225,11.06396181384248,3.1458233890214795,85.66236276849642
"Palma, ES",0.3629711751662972,7.5884700665188465,2.4656319290465634,35.303636363636365
"Pamplona, ES",0.8290465631929046,6.3133037694013305,2.9223946784922394,31.798137472283813
"Salamanca, ES",0.812860310421286,6.11529933481153,2.832150776053215,29.075742793791573
"Santa Cruz de Tenerife, ES",0.4217294900221729,15.621064301552103,4.963414634146342,139.16609756097563
"Santander, ES",0.4713968957871397,11.458536585365854,3.62350332594235,84.97492239467849
"Sevilla, ES",0.17050997782705105,7.685587583148559,2.9886917960088693,34.927627494456765
"Valencia, ES",0.2068736141906874,8.800443458980043,2.625277161862528,50.49115299334812
"Valladolid, ES",0.3180487804878049,2.2448780487804876,0.8165853658536584,11.593658536585368
"Zaragoza, ES",0.6660753880266075,9.290465631929047,4.554545454545456,55.193747228381376
"Athens, GR",0.18580931263858097,10.713082039911306,2.6572062084257206,64.630088691796
"Thessaloníki, GR",0.22837370242214533,6.355017301038062,2.0325259515570937,40.64394463667821
"Guatemala City, GT",2.65679012345679,7.457098765432098,4.933333333333334,21.494907407407407
"Rijeka, HR",0.7804444444444444,10.384222222222222,4.105555555555555,84.6832888888889
"Split, HR",0.9639686684073105,6.067362924281984,2.9483028720626625,23.946266318537855
"Zagreb, HR",0.27327188940092173,1.8868663594470043,0.7956221198156681,3.5774423963133644
"Jakarta, ID",0.5740384615384615,5.442788461538461,2.273798076923077,23.2728125
