0,Golden,Colorado,-7,39.739,-105.172,0
Date (MM/DD/YYYY),Time (HH:MM),nothing,GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),temp_air,Windspeed (m/s),Avg Pressure [mBar],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Air pressure (Pa)
10/01/2019,00:00:00,1.00,0.00,0.00,0.00,8.79,1.55,813.82,142.10,16.11,81382.25
10/01/2019,01:00:00,1.00,0.00,0.00,0.00,8.79,1.55,813.82,142.10,16.11,81382.25
10/01/2019,02:00:00,2.00,0.00,0.00,0.00,8.89,1.15,813.76,136.87,37.81,81376.42
10/01/2019,03:00:00,3.00,0.00,0.00,0.00,8.83,1.94,813.57,128.55,54.88,81357.08
10/01/2019,04:00:00,4.00,0.00,0.00,0.00,8.97,0.90,813.50,118.44,68.22,81350.08
10/01/2019,05:00:00,5.00,0.00,0.00,0.00,9.06,0.94,813.42,107.39,79.27,81341.67
10/01/2019,06:00:00,6.00,0.00,0.00,0.00,9.17,1.50,813.41,95.89,89.18,81341.17
10/01/2019,07:00:00,7.00,7.20,2.10,7.10,9.03,2.63,813.61,84.35,98.84,81361.08
10/01/2019,08:00:00,8.00,33.96,0.93,33.68,8.44,2.28,813.94,73.29,109.07,81393.75
10/01/2019,09:00:00,9.00,110.59,0.68,110.30,8.10,2.44,814.00,62.88,120.69,81400.17
10/01/2019,10:00:00,10.00,154.85,0.51,154.55,8.05,2.23,814.04,53.79,134.73,81404.00
10/01/2019,11:00:00,11.00,151.45,0.04,151.42,8.02,2.34,813.79,46.93,152.08,81378.50
10/01/2019,12:00:00,12.00,130.93,0.11,130.85,7.70,2.30,813.30,43.45,172.62,81330.25
10/01/2019,13:00:00,13.00,106.06,0.00,106.05,8.09,2.62,812.83,44.16,194.23,81282.67
10/01/2019,14:00:00,14.00,60.49,0.00,60.49,7.86,3.75,812.43,48.87,213.85,81242.50
10/01/2019,15:00:00,15.00,46.05,0.04,46.03,7.76,2.21,812.61,56.58,230.04,81261.25
10/01/2019,16:00:00,16.00,28.17,0.12,28.12,7.66,2.23,812.73,66.20,243.17,81273.17
10/01/2019,17:00:00,17.00,13.87,0.37,13.79,7.45,2.21,813.26,76.91,254.22,81325.92
10/01/2019,18:00:00,18.00,1.89,2.28,1.80,7.34,2.44,813.72,88.10,264.14,81372.00
10/01/2019,19:00:00,19.00,0.00,0.00,0.00,7.20,3.99,814.05,99.77,273.77,81404.92
10/01/2019,20:00:00,20.00,0.00,0.00,0.00,7.10,2.30,814.41,111.17,283.91,81440.92
10/01/2019,21:00:00,21.00,0.00,0.00,0.00,6.84,2.15,814.72,122.02,295.52,81471.75
10/01/2019,22:00:00,22.00,0.00,0.00,0.00,6.35,2.25,814.90,131.72,309.89,81489.92
10/01/2019,23:00:00,23.00,0.00,0.00,0.00,5.81,7.45,814.86,139.28,328.45,81486.25
10/02/2019,00:00:00,0.00,0.00,0.00,0.00,5.41,3.22,814.71,143.24,291.59,81470.75
10/02/2019,01:00:00,1.00,0.00,0.00,0.00,5.14,2.93,814.65,142.46,16.37,81464.92
10/02/2019,02:00:00,2.00,0.00,0.00,0.00,4.83,1.80,814.71,137.18,38.18,81470.75
10/02/2019,03:00:00,3.00,0.00,0.00,0.00,4.64,2.16,814.42,128.80,55.27,81441.92
10/02/2019,04:00:00,4.00,0.00,0.00,0.00,4.54,1.43,814.26,118.65,68.60,81425.58
10/02/2019,05:00:00,5.00,0.00,0.00,0.00,4.56,1.12,814.26,107.59,79.63,81425.75
10/02/2019,06:00:00,6.00,0.00,0.00,0.00,4.64,1.23,814.41,96.08,89.53,81440.83
10/02/2019,07:00:00,7.00,9.76,2.66,9.62,4.56,1.58,814.92,84.53,99.20,81492.42
10/02/2019,08:00:00,8.00,68.23,0.33,68.14,4.66,1.13,815.26,73.50,109.41,81525.58
10/02/2019,09:00:00,9.00,117.71,0.07,117.68,5.11,1.44,815.60,63.12,121.06,81559.92
10/02/2019,10:00:00,10.00,192.03,0.19,191.92,5.67,1.25,815.56,54.07,135.07,81555.67
10/02/2019,11:00:00,11.00,215.31,0.02,215.30,6.37,5.26,815.44,47.27,152.36,81543.83
10/02/2019,12:00:00,12.00,384.33,72.22,331.90,7.97,1.17,815.28,43.83,172.80,81528.25
10/02/2019,13:00:00,13.00,633.32,431.82,328.85,9.90,1.48,814.91,44.55,194.24,81491.25
10/02/2019,14:00:00,14.00,663.15,863.41,100.77,11.41,1.58,814.77,49.26,213.72,81477.33
10/02/2019,15:00:00,15.00,540.73,874.00,64.03,13.31,1.34,815.02,56.95,229.85,81501.50
10/02/2019,16:00:00,16.00,375.04,800.73,55.11,14.45,1.23,815.41,66.54,242.93,81540.75
10/02/2019,17:00:00,17.00,183.01,627.88,40.36,14.21,1.32,816.10,77.23,253.97,81609.50
10/02/2019,18:00:00,18.00,23.11,126.37,11.07,13.34,1.20,817.07,88.41,263.89,81706.67
10/02/2019,19:00:00,19.00,0.00,0.00,0.00,10.97,2.77,818.50,100.08,273.52,81850.33
10/02/2019,20:00:00,20.00,0.00,0.00,0.00,9.15,2.13,820.15,111.49,283.66,82014.92
10/02/2019,21:00:00,21.00,0.00,0.00,0.00,9.13,1.50,821.05,122.35,295.28,82104.50
10/02/2019,22:00:00,22.00,0.00,0.00,0.00,9.27,1.37,821.48,132.08,309.66,82147.75
10/02/2019,23:00:00,23.00,0.00,0.00,0.00,8.94,1.71,821.62,139.67,328.32,82161.92
10/03/2019,00:00:00,0.00,0.00,0.00,0.00,8.27,1.46,821.62,143.63,291.65,82161.58
10/03/2019,01:00:00,1.00,0.00,0.00,0.00,7.78,0.87,821.64,142.81,16.64,82163.50
10/03/2019,02:00:00,2.00,0.00,0.00,0.00,7.33,0.80,821.45,137.48,38.56,82144.75
10/03/2019,03:00:00,3.00,0.00,0.00,0.00,7.23,0.86,821.20,129.05,55.66,82119.75
10/03/2019,04:00:00,4.00,0.00,0.00,0.00,7.36,0.63,821.28,118.87,68.97,82128.25
10/03/2019,05:00:00,5.00,0.00,0.00,0.00,7.46,0.79,821.44,107.78,79.99,82143.92
10/03/2019,06:00:00,6.00,0.02,0.00,0.02,7.47,1.23,821.82,96.28,89.88,82182.17
10/03/2019,07:00:00,7.00,8.01,1.71,7.89,7.00,2.87,822.16,84.71,99.54,82216.17
10/03/2019,08:00:00,8.00,71.57,0.03,71.56,6.61,2.29,822.45,73.71,109.77,82245.33
10/03/2019,09:00:00,9.00,366.59,454.11,149.01,7.83,2.02,822.32,63.36,121.39,82231.92
10/03/2019,10:00:00,10.00,523.07,694.67,124.45,9.78,1.91,822.14,54.35,135.41,82213.83
10/03/2019,11:00:00,11.00,749.35,789.94,216.12,11.07,1.96,821.84,47.60,152.65,82184.25
10/03/2019,12:00:00,12.00,737.12,858.68,121.47,12.32,1.94,821.19,44.20,172.96,82119.08
10/03/2019,13:00:00,13.00,713.97,870.31,98.03,13.31,1.73,820.42,44.94,194.24,82041.75
10/03/2019,14:00:00,14.00,641.03,843.58,94.71,14.47,1.49,819.71,49.64,213.61,81971.00
10/03/2019,15:00:00,15.00,514.91,786.10,89.74,15.36,1.50,819.38,57.30,229.65,81937.58
10/03/2019,16:00:00,16.00,346.72,675.48,79.80,16.03,1.58,819.12,66.87,242.72,81912.08
10/03/2019,17:00:00,17.00,160.66,474.44,54.02,15.82,1.88,818.93,77.54,253.74,81893.17
10/03/2019,18:00:00,18.00,18.43,64.54,12.28,14.40,1.67,818.82,88.71,263.65,81881.92
10/03/2019,19:00:00,19.00,0.00,0.00,0.00,12.69,0.86,818.96,100.39,273.27,81895.50
10/03/2019,20:00:00,20.00,0.00,0.00,0.00,12.33,1.27,819.09,111.80,283.40,81908.67
10/03/2019,21:00:00,21.00,0.00,0.00,0.00,11.79,1.77,818.97,122.68,295.02,81897.00
10/03/2019,22:00:00,22.00,0.00,0.00,0.00,11.01,1.97,818.65,132.44,309.44,81865.17
10/03/2019,23:00:00,23.00,0.00,0.00,0.00,10.49,2.87,818.08,140.04,328.19,81807.67
10/04/2019,00:00:00,0.00,0.00,0.00,0.00,10.14,3.72,817.64,144.02,288.71,81763.58
10/04/2019,01:00:00,1.00,0.00,0.00,0.00,9.68,3.07,817.48,143.17,16.90,81747.50
10/04/2019,02:00:00,2.00,0.00,0.00,0.00,9.30,2.54,817.23,137.78,38.93,81723.42
10/04/2019,03:00:00,3.00,0.00,0.00,0.00,7.47,1.29,816.96,129.30,56.06,81696.00
10/04/2019,04:00:00,4.00,0.00,0.00,0.00,6.79,1.08,816.71,119.08,69.35,81670.50
10/04/2019,05:00:00,5.00,0.01,0.00,0.01,5.97,0.80,816.56,107.97,80.35,81655.75
10/04/2019,06:00:00,6.00,0.68,0.00,0.68,5.91,0.61,816.47,96.47,90.23,81646.75
10/04/2019,07:00:00,7.00,64.21,342.10,21.75,6.44,1.00,816.48,84.90,99.89,81648.25
10/04/2019,08:00:00,8.00,247.81,725.64,44.69,8.47,1.51,816.31,73.92,110.11,81631.33
10/04/2019,09:00:00,9.00,426.06,815.75,63.11,10.19,1.60,815.80,63.60,121.76,81580.17
10/04/2019,10:00:00,10.00,563.64,846.45,73.18,12.71,1.52,815.00,54.64,135.75,81499.83
10/04/2019,11:00:00,11.00,668.69,889.86,72.65,14.10,2.24,814.13,47.93,152.93,81412.75
10/04/2019,12:00:00,12.00,715.89,892.77,80.00,15.35,2.48,813.13,44.58,173.12,81312.50
10/04/2019,13:00:00,13.00,720.31,885.66,97.70,16.82,2.39,812.04,45.34,194.25,81204.33
10/04/2019,14:00:00,14.00,226.75,69.47,181.47,17.05,2.30,811.01,50.02,213.49,81100.50
10/04/2019,15:00:00,15.00,231.80,220.98,121.45,17.39,1.42,810.18,57.66,229.46,81018.08
10/04/2019,16:00:00,16.00,369.15,733.66,82.55,19.40,1.57,809.60,67.21,242.49,80959.58
10/04/2019,17:00:00,17.00,169.94,573.24,45.89,19.55,1.17,809.30,77.86,253.50,80930.42
10/04/2019,18:00:00,18.00,17.71,79.15,10.26,17.75,0.87,809.19,89.02,263.41,80919.00
10/04/2019,19:00:00,19.00,0.00,0.00,0.00,16.54,1.89,809.69,100.70,273.01,80968.67
10/04/2019,20:00:00,20.00,0.00,0.00,0.00,17.97,5.07,810.39,112.12,283.15,81039.17
10/04/2019,21:00:00,21.00,0.00,0.00,0.00,20.51,4.04,811.18,123.01,294.78,81117.58
10/04/2019,22:00:00,22.00,0.00,0.00,0.00,17.97,2.33,811.77,132.80,309.21,81177.33
10/04/2019,23:00:00,23.00,0.00,0.00,0.00,15.92,6.57,812.53,140.42,328.06,81253.17
10/05/2019,00:00:00,0.00,0.00,0.00,0.00,14.26,6.35,813.21,144.42,288.77,81320.92
10/05/2019,01:00:00,1.00,0.00,0.00,0.00,11.68,2.78,814.44,143.53,17.17,81443.92
10/05/2019,02:00:00,2.00,0.00,0.00,0.00,9.93,2.35,815.21,138.07,39.31,81520.75
10/05/2019,03:00:00,3.00,0.00,0.00,0.00,9.09,1.93,815.45,129.54,56.45,81545.17
10/05/2019,04:00:00,4.00,0.00,0.00,0.00,8.55,2.14,815.79,119.29,69.73,81578.67
10/05/2019,05:00:00,5.00,0.00,0.00,0.00,10.34,6.36,815.81,108.16,80.71,81580.67
10/05/2019,06:00:00,6.00,0.42,0.00,0.42,11.30,7.90,815.84,96.66,90.58,81584.42
10/05/2019,07:00:00,7.00,50.84,114.96,40.44,11.44,3.88,816.47,85.09,100.24,81647.33
10/05/2019,08:00:00,8.00,109.19,3.91,108.34,9.08,1.69,817.26,74.13,110.46,81726.33
10/05/2019,09:00:00,9.00,321.66,284.16,185.04,9.62,1.59,818.32,63.84,122.09,81832.00
10/05/2019,10:00:00,10.00,591.17,801.78,129.54,11.47,2.68,818.76,54.92,136.08,81876.08
10/05/2019,11:00:00,11.00,604.11,482.31,286.24,12.07,3.61,818.86,48.27,153.20,81886.25
10/05/2019,12:00:00,12.00,811.31,713.36,306.13,13.52,3.22,818.44,44.95,173.28,81843.92
10/05/2019,13:00:00,13.00,765.93,740.80,249.67,14.60,3.03,817.66,45.73,194.25,81766.17
10/05/2019,14:00:00,14.00,648.62,840.07,112.22,15.45,2.84,816.89,50.40,213.37,81689.25
10/05/2019,15:00:00,15.00,522.86,819.33,89.93,16.14,2.22,816.17,58.02,229.27,81616.75
10/05/2019,16:00:00,16.00,364.17,765.79,70.06,17.08,1.65,815.66,67.54,242.26,81566.17
10/05/2019,17:00:00,17.00,174.07,553.47,55.48,17.26,1.59,815.50,78.17,253.26,81549.58
10/05/2019,18:00:00,18.00,20.86,63.39,15.05,15.31,1.86,815.65,89.33,263.16,81564.50
10/05/2019,19:00:00,19.00,0.00,0.00,0.00,14.10,1.44,815.92,101.00,272.76,81591.83
10/05/2019,20:00:00,20.00,0.00,0.00,0.00,12.72,2.74,816.27,112.43,282.89,81626.50
10/05/2019,21:00:00,21.00,0.00,0.00,0.00,11.53,3.70,816.50,123.34,294.51,81650.25
10/05/2019,22:00:00,22.00,0.00,0.00,0.00,9.90,3.01,816.63,133.15,308.99,81663.25
10/05/2019,23:00:00,23.00,0.00,0.00,0.00,8.24,2.25,816.73,140.81,327.93,81672.75
10/06/2019,00:00:00,0.00,0.00,0.00,0.00,7.25,1.85,816.88,144.81,285.83,81687.75
10/06/2019,01:00:00,1.00,0.00,0.00,0.00,7.90,2.05,817.46,143.89,17.44,81746.00
10/06/2019,02:00:00,2.00,0.00,0.00,0.00,8.49,1.82,818.61,138.37,39.69,81861.42
10/06/2019,03:00:00,3.00,0.00,0.00,0.00,8.38,2.34,819.52,129.79,56.85,81951.50
10/06/2019,04:00:00,4.00,0.00,0.00,0.00,7.85,2.01,820.71,119.50,70.11,82070.75
10/06/2019,05:00:00,5.00,0.01,0.00,0.01,7.30,1.28,821.64,108.36,81.07,82163.83
10/06/2019,06:00:00,6.00,0.36,0.00,0.36,6.44,1.62,822.63,96.85,90.92,82263.00
10/06/2019,07:00:00,7.00,32.72,85.99,19.38,5.81,1.25,823.73,85.28,100.57,82373.25
10/06/2019,08:00:00,8.00,246.55,711.63,51.17,6.86,1.50,824.70,74.34,110.80,82470.08
10/06/2019,09:00:00,9.00,429.84,838.05,63.24,8.07,2.08,825.17,64.08,122.45,82517.08
10/06/2019,10:00:00,10.00,577.51,881.50,74.55,8.71,2.62,825.62,55.20,136.41,82562.33
10/06/2019,11:00:00,11.00,679.83,908.39,79.17,9.45,2.82,825.56,48.60,153.47,82556.08
10/06/2019,12:00:00,12.00,729.03,925.02,78.70,10.67,2.45,825.14,45.33,173.43,82513.75
10/06/2019,13:00:00,13.00,718.36,925.25,77.04,11.65,2.75,824.30,46.12,194.25,82429.50
10/06/2019,14:00:00,14.00,647.11,903.39,75.93,12.65,3.13,823.39,50.78,213.25,82339.08
10/06/2019,15:00:00,15.00,524.55,864.59,71.02,14.08,2.49,822.92,58.37,229.08,82292.42
10/06/2019,16:00:00,16.00,359.05,790.33,60.23,13.92,2.81,822.64,67.87,242.03,82263.50
10/06/2019,17:00:00,17.00,169.34,618.46,41.80,13.99,1.40,822.75,78.48,253.02,82275.08
10/06/2019,18:00:00,18.00,14.71,55.07,9.69,12.87,1.11,822.99,89.64,262.91,82298.92
10/06/2019,19:00:00,19.00,0.00,0.00,0.00,10.88,2.02,823.26,101.30,272.51,82326.25
10/06/2019,20:00:00,20.00,0.00,0.00,0.00,9.76,2.86,823.54,112.73,282.63,82353.58
10/06/2019,21:00:00,21.00,0.00,0.00,0.00,8.47,3.64,823.55,123.67,294.24,82354.67
10/06/2019,22:00:00,22.00,0.00,0.00,0.00,8.14,3.60,823.55,133.50,308.75,82355.33
10/06/2019,23:00:00,23.00,0.00,0.00,0.00,7.69,3.23,823.45,141.19,327.78,82345.08
10/07/2019,00:00:00,0.00,0.00,0.00,0.00,7.55,2.78,823.16,145.19,282.88,82315.92
10/07/2019,01:00:00,1.00,0.01,0.00,0.01,6.80,3.62,822.78,144.23,17.71,82278.08
10/07/2019,02:00:00,2.00,0.01,0.00,0.01,7.09,3.11,822.65,138.68,40.07,82264.50
10/07/2019,03:00:00,3.00,0.01,0.00,0.01,6.88,3.48,822.41,130.04,57.24,82240.92
10/07/2019,04:00:00,4.00,0.01,0.00,0.01,6.48,3.52,822.16,119.71,70.49,82216.25
10/07/2019,05:00:00,5.00,0.01,0.00,0.01,6.65,3.07,822.04,108.55,81.43,82203.58
10/07/2019,06:00:00,6.00,0.44,0.00,0.44,6.79,3.41,822.05,97.04,91.27,82205.42
10/07/2019,07:00:00,7.00,62.42,359.77,20.54,7.35,2.05,822.08,85.48,100.91,82208.00
10/07/2019,08:00:00,8.00,252.55,775.38,44.17,10.37,0.93,822.12,74.55,111.14,82212.33
10/07/2019,09:00:00,9.00,436.43,876.22,56.28,12.54,1.30,821.92,64.32,122.77,82191.58
10/07/2019,10:00:00,10.00,587.04,926.25,62.40,15.40,1.68,821.40,55.49,136.72,82139.92
10/07/2019,11:00:00,11.00,687.15,946.40,65.55,16.15,2.32,820.63,48.93,153.74,82063.00
10/07/2019,12:00:00,12.00,733.85,954.25,67.43,17.39,2.04,819.86,45.70,173.57,81986.00
10/07/2019,13:00:00,13.00,720.52,949.04,67.33,18.90,2.02,818.88,46.51,194.25,81887.58
10/07/2019,14:00:00,14.00,646.94,925.99,66.24,20.07,1.68,818.18,51.15,213.12,81817.92
10/07/2019,15:00:00,15.00,524.01,890.28,61.75,21.26,1.74,817.63,58.72,228.88,81762.75
10/07/2019,16:00:00,16.00,357.55,816.36,53.14,22.11,1.22,817.18,68.20,241.82,81717.83
10/07/2019,17:00:00,17.00,165.03,633.55,37.60,21.96,0.96,816.89,78.79,252.78,81688.50
10/07/2019,18:00:00,18.00,11.70,42.21,7.94,19.22,1.89,816.69,89.94,262.67,81668.92
10/07/2019,19:00:00,19.00,0.00,0.00,0.00,16.60,3.42,816.57,101.60,272.26,81656.58
10/07/2019,20:00:00,20.00,0.00,0.00,0.00,15.96,3.54,816.61,113.04,282.36,81660.75
10/07/2019,21:00:00,21.00,0.00,0.00,0.00,15.26,4.29,816.45,123.99,293.99,81645.33
10/07/2019,22:00:00,22.00,0.00,0.00,0.00,15.40,3.62,816.34,133.85,308.50,81633.58
10/07/2019,23:00:00,23.00,0.00,0.00,0.00,14.23,2.94,815.82,141.57,327.64,81582.00
10/08/2019,00:00:00,0.00,0.00,0.00,0.00,13.32,3.42,815.31,145.57,282.93,81531.42
10/08/2019,01:00:00,1.00,0.00,0.00,0.00,13.71,3.68,815.17,144.59,17.98,81517.42
10/08/2019,02:00:00,2.00,0.00,0.00,0.00,13.83,5.02,814.67,138.97,40.45,81467.08
10/08/2019,03:00:00,3.00,0.00,0.00,0.00,13.98,4.22,814.22,130.28,57.64,81421.92
10/08/2019,04:00:00,4.00,0.00,0.00,0.00,14.55,3.08,813.89,119.92,70.87,81388.50
10/08/2019,05:00:00,5.00,0.00,0.00,0.00,14.17,3.45,813.60,108.74,81.79,81359.58
10/08/2019,06:00:00,6.00,0.23,0.00,0.23,14.09,3.29,813.30,97.23,91.62,81330.42
10/08/2019,07:00:00,7.00,28.32,53.23,25.00,14.21,4.19,813.17,85.67,101.25,81316.58
10/08/2019,08:00:00,8.00,79.77,0.01,79.77,15.26,1.64,813.15,74.77,111.48,81315.00
10/08/2019,09:00:00,9.00,253.73,168.28,179.26,16.79,1.17,813.20,64.57,123.10,81319.58
10/08/2019,10:00:00,10.00,568.81,849.48,87.36,19.90,1.54,813.13,55.78,137.04,81313.33
10/08/2019,11:00:00,11.00,692.73,943.65,77.13,21.80,3.21,812.75,49.27,154.00,81275.33
10/08/2019,12:00:00,12.00,735.08,953.49,73.65,22.47,2.70,812.01,46.08,173.72,81200.92
10/08/2019,13:00:00,13.00,714.69,940.30,72.11,22.70,2.77,811.29,46.89,194.24,81129.25
10/08/2019,14:00:00,14.00,641.19,913.60,72.88,23.00,3.10,810.88,51.53,212.99,81088.08
10/08/2019,15:00:00,15.00,514.97,867.76,68.87,23.07,2.71,810.68,59.07,228.69,81067.50
10/08/2019,16:00:00,16.00,347.02,784.26,58.65,23.32,1.81,810.57,68.52,241.60,81057.17
10/08/2019,17:00:00,17.00,155.07,580.69,40.03,22.39,1.98,810.53,79.10,252.55,81053.33
10/08/2019,18:00:00,18.00,9.55,24.75,7.41,20.56,1.08,810.75,90.25,262.42,81075.00
10/08/2019,19:00:00,19.00,0.00,0.00,0.00,18.22,2.87,810.97,101.90,272.00,81097.00
10/08/2019,20:00:00,20.00,0.00,0.00,0.00,16.89,3.02,811.15,113.34,282.10,81114.75
10/08/2019,21:00:00,21.00,0.00,0.00,0.00,16.07,3.83,810.92,124.31,293.72,81092.08
10/08/2019,22:00:00,22.00,0.00,0.00,0.00,16.21,4.27,810.70,134.19,308.26,81070.42
10/08/2019,23:00:00,23.00,0.00,0.00,0.00,16.36,5.06,810.28,141.94,327.48,81027.83
10/09/2019,00:00:00,0.00,0.00,0.00,0.00,16.41,6.09,809.68,145.96,279.98,80968.42
10/09/2019,01:00:00,1.00,0.00,0.00,0.00,15.83,3.82,809.60,144.95,18.26,80960.17
10/09/2019,02:00:00,2.00,0.00,0.00,0.00,15.72,3.81,809.51,139.26,40.83,80951.33
10/09/2019,03:00:00,3.00,0.00,0.00,0.00,14.81,4.55,808.99,130.52,58.03,80899.08
10/09/2019,04:00:00,4.00,0.00,0.00,0.00,14.26,4.13,808.87,120.13,71.24,80887.33
10/09/2019,05:00:00,5.00,0.00,0.00,0.00,14.49,4.59,808.78,108.94,82.14,80878.33
10/09/2019,06:00:00,6.00,0.34,0.00,0.34,14.31,3.51,808.70,97.42,92.70,80869.58
10/09/2019,07:00:00,7.00,23.87,6.45,23.50,14.47,3.36,808.24,85.86,101.58,80824.25
10/09/2019,08:00:00,8.00,84.67,3.08,83.65,15.25,2.56,808.24,74.98,111.80,80823.50
10/09/2019,09:00:00,9.00,318.85,456.66,111.30,17.57,1.69,808.27,64.82,123.45,80826.75
10/09/2019,10:00:00,10.00,535.74,491.54,267.35,20.36,2.65,807.73,56.06,137.35,80772.67
10/09/2019,11:00:00,11.00,527.02,289.81,342.46,21.03,3.01,806.86,49.60,154.25,80685.92
10/09/2019,12:00:00,12.00,759.59,893.57,143.98,22.36,2.69,806.02,46.45,173.85,80601.92
10/09/2019,13:00:00,13.00,702.90,923.97,76.04,23.33,2.81,804.65,47.28,194.24,80465.17
10/09/2019,14:00:00,14.00,462.00,488.31,152.78,23.90,2.93,803.53,51.90,212.87,80353.25
10/09/2019,15:00:00,15.00,237.29,115.44,183.46,23.41,2.81,803.09,59.42,228.50,80308.67
10/09/2019,16:00:00,16.00,160.25,86.05,127.34,23.27,2.65,802.72,68.85,241.37,80271.50
10/09/2019,17:00:00,17.00,76.71,69.47,61.64,17.38,7.49,804.11,79.40,252.31,80410.83
10/09/2019,18:00:00,18.00,7.94,8.69,7.23,10.31,6.85,807.11,90.54,262.17,80710.83
10/09/2019,19:00:00,19.00,0.00,0.00,0.00,6.55,4.88,809.77,102.19,271.74,80976.83
10/09/2019,20:00:00,20.00,0.00,0.00,0.00,3.85,4.26,811.44,113.64,281.84,81143.83
10/09/2019,21:00:00,21.00,0.00,0.00,0.00,0.89,2.49,812.69,124.63,293.45,81268.67
10/09/2019,22:00:00,22.00,0.00,0.00,0.00,-0.28,2.25,813.10,134.53,308.03,81310.33
10/09/2019,23:00:00,23.00,0.00,0.00,0.00,-0.84,4.31,813.28,142.31,327.33,81328.33
10/10/2019,00:00:00,0.00,0.00,0.00,0.00,-1.59,3.56,813.56,146.35,280.03,81355.50
10/10/2019,01:00:00,1.00,0.00,0.00,0.00,-2.62,8.07,813.90,145.30,18.53,81390.42
10/10/2019,02:00:00,2.00,0.00,0.00,0.00,-3.49,0.50,814.48,139.55,41.22,81447.92
10/10/2019,03:00:00,3.00,0.00,0.00,0.00,-4.66,0.00,814.69,130.77,58.43,81468.75
10/10/2019,04:00:00,4.00,0.00,0.00,0.00,-5.30,0.00,815.08,120.34,71.62,81507.67
10/10/2019,05:00:00,5.00,0.00,0.00,0.00,-5.98,2.97,815.59,109.13,82.50,81558.58
10/10/2019,06:00:00,6.00,0.00,0.00,0.00,-6.76,0.00,816.36,97.61,92.29,81636.33
10/10/2019,07:00:00,7.00,7.04,2.71,6.86,-7.35,0.00,816.78,86.06,101.91,81677.58
10/10/2019,08:00:00,8.00,25.33,1.15,25.08,-7.56,0.00,817.68,75.20,112.13,81767.75
10/10/2019,09:00:00,9.00,84.21,0.19,84.14,-7.92,0.00,817.99,65.06,123.76,81799.33
10/10/2019,10:00:00,10.00,167.31,0.06,167.28,-7.62,0.00,818.25,56.35,137.66,81824.50
10/10/2019,11:00:00,11.00,342.82,30.47,322.40,-6.92,0.00,818.01,49.94,154.50,81801.00
10/10/2019,12:00:00,12.00,390.24,27.14,371.96,-6.08,0.00,817.74,46.82,173.99,81774.08
10/10/2019,13:00:00,13.00,286.59,0.05,286.55,-6.00,0.00,817.25,47.66,194.23,81725.42
10/10/2019,14:00:00,14.00,184.52,0.03,184.50,-6.06,0.00,817.25,52.27,212.74,81725.42
10/10/2019,15:00:00,15.00,120.96,0.00,120.95,-5.76,0.00,817.40,59.77,228.31,81740.25
10/10/2019,16:00:00,16.00,127.16,16.44,121.60,-5.60,0.00,817.84,69.17,241.13,81784.33
10/10/2019,17:00:00,17.00,52.51,0.49,52.43,-5.44,0.00,818.39,79.71,252.07,81838.67
10/10/2019,18:00:00,18.00,5.27,0.37,5.25,-5.97,0.00,819.11,90.83,261.92,81911.42
10/10/2019,19:00:00,19.00,0.00,0.00,0.00,-6.71,0.00,819.58,102.49,271.49,81958.42
10/10/2019,20:00:00,20.00,0.00,0.00,0.00,-7.13,0.00,819.94,113.94,281.57,81993.58
10/10/2019,21:00:00,21.00,0.00,0.00,0.00,-7.66,0.00,820.11,124.93,293.19,82010.50
10/10/2019,22:00:00,22.00,0.00,0.00,0.00,-7.54,0.00,819.99,134.87,307.77,81999.17
10/10/2019,23:00:00,23.00,0.00,0.00,0.00,-7.82,0.00,819.65,142.68,327.18,81964.50
10/11/2019,00:00:00,0.00,0.00,0.00,0.00,-7.76,0.00,818.96,146.73,277.08,81895.75
10/11/2019,01:00:00,1.00,0.00,0.00,0.00,-8.28,0.00,819.32,145.64,18.80,81931.67
10/11/2019,02:00:00,2.00,0.00,0.00,0.00,-8.40,0.00,819.48,139.84,41.60,81947.92
10/11/2019,03:00:00,3.00,0.00,0.00,0.00,-8.23,0.00,818.85,131.01,58.83,81884.67
10/11/2019,04:00:00,4.00,0.00,0.00,0.00,-7.13,0.00,818.95,120.55,71.99,81894.92
10/11/2019,05:00:00,5.00,0.00,0.00,0.00,-7.16,0.00,819.25,109.32,82.85,81925.08
10/11/2019,06:00:00,6.00,0.21,0.00,0.21,-5.26,0.00,819.65,97.80,92.63,81965.08
10/11/2019,07:00:00,7.00,61.58,413.57,20.36,-3.90,0.00,819.89,86.26,102.25,81988.58
10/11/2019,08:00:00,8.00,264.89,853.25,47.79,-2.17,0.81,820.38,75.41,112.46,82038.25
10/11/2019,09:00:00,9.00,430.97,881.59,62.52,0.28,9.90,820.52,65.31,124.08,82051.75
10/11/2019,10:00:00,10.00,561.38,899.27,66.91,1.20,10.39,820.50,56.64,137.96,82049.58
10/11/2019,11:00:00,11.00,668.42,946.70,63.23,2.82,6.48,820.40,50.27,154.75,82040.00
10/11/2019,12:00:00,12.00,722.74,973.48,61.17,5.18,1.66,820.19,47.19,174.11,82019.33
10/11/2019,13:00:00,13.00,704.83,965.64,59.25,6.68,1.95,819.84,48.04,194.22,81984.00
10/11/2019,14:00:00,14.00,629.13,940.79,58.23,7.61,2.21,819.44,52.64,212.62,81944.33
