,Date,HOUR-MST,Avg Global Horizontal [W/m^2],Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2),Dry bulb temperature (deg. C),Windspeed (m/s),Avg Pressure [mBar],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Air pressure (Pa),hour,date2
0,2019/10/01,0,0.0,0.0,0.0,8.7858,1.5458,813.8225,142.0983,16.1123,81382.25, 0:00:00,2019/10/01 0:00:00
0,2019/10/01,1,0.0,0.0,0.0,8.7858,1.5458,813.8225,142.0983,16.1123,81382.25, 1:00:00,2019/10/01 1:00:00
1,2019/10/01,2,0.0,0.0,0.0,8.8883,1.1542,813.7642,136.8683,37.8115,81376.42, 2:00:00,2019/10/01 2:00:00
2,2019/10/01,3,0.0,0.0,0.0,8.825,1.9358,813.5708,128.5467,54.8753,81357.08, 3:00:00,2019/10/01 3:00:00
3,2019/10/01,4,0.0,0.0,0.0,8.9717,0.9,813.5008,118.4383,68.2155,81350.08, 4:00:00,2019/10/01 4:00:00
4,2019/10/01,5,0.0,0.0,0.0,9.0642,0.9383,813.4167,107.3933,79.266,81341.67, 5:00:00,2019/10/01 5:00:00
5,2019/10/01,6,0.0,0.0,0.0,9.1725,1.5025,813.4117,95.8867,89.175,81341.17, 6:00:00,2019/10/01 6:00:00
6,2019/10/01,7,7.1966,2.1022,7.0962,9.0292,2.63,813.6108,84.3458,98.8433,81361.08, 7:00:00,2019/10/01 7:00:00
7,2019/10/01,8,33.9608,0.9273,33.6778,8.435,2.2767,813.9375,73.293,109.065,81393.75, 8:00:00,2019/10/01 8:00:00
8,2019/10/01,9,110.59299999999999,0.6824,110.3037,8.0958,2.4383,814.0017,62.8807,120.6883,81400.17, 9:00:00,2019/10/01 9:00:00
9,2019/10/01,10,154.8462,0.5056,154.5523,8.0467,2.2292,814.04,53.7907,134.73,81404.0, 10:00:00,2019/10/01 10:00:00
10,2019/10/01,11,151.4457,0.0394,151.4183,8.0242,2.3433,813.785,46.9347,152.0767,81378.5, 11:00:00,2019/10/01 11:00:00
11,2019/10/01,12,130.9286,0.1095,130.8493,7.695,2.2958,813.3025,43.4517,172.62,81330.25, 12:00:00,2019/10/01 12:00:00
12,2019/10/01,13,106.055,0.0018,106.0537,8.0867,2.6158,812.8267,44.158,194.225,81282.67, 13:00:00,2019/10/01 13:00:00
13,2019/10/01,14,60.4891,0.0024,60.4876,7.8625,3.75,812.425,48.873000000000005,213.8517,81242.5, 14:00:00,2019/10/01 14:00:00
14,2019/10/01,15,46.0505,0.0444,46.0263,7.7608,2.205,812.6125,56.5847,230.0417,81261.25, 15:00:00,2019/10/01 15:00:00
15,2019/10/01,16,28.1697,0.1198,28.1209,7.6617,2.2325,812.7317,66.2018,243.165,81273.17, 16:00:00,2019/10/01 16:00:00
16,2019/10/01,17,13.8728,0.368,13.7925,7.4467,2.2067,813.2592,76.9092,254.215,81325.92, 17:00:00,2019/10/01 17:00:00
17,2019/10/01,18,1.8931,2.2849,1.7971,7.3408,2.4442,813.72,88.1033,264.1417,81372.0, 18:00:00,2019/10/01 18:00:00
18,2019/10/01,19,0.0,0.0,0.0,7.195,3.9933,814.0492,99.77,273.77,81404.92, 19:00:00,2019/10/01 19:00:00
19,2019/10/01,20,0.0,0.0,0.0,7.0992,2.2975,814.4092,111.1717,283.9117,81440.92, 20:00:00,2019/10/01 20:00:00
20,2019/10/01,21,0.0,0.0,0.0,6.8358,2.1533,814.7175,122.0217,295.52,81471.75, 21:00:00,2019/10/01 21:00:00
21,2019/10/01,22,0.0,0.0,0.0,6.3483,2.2458,814.8992,131.7217,309.885,81489.92, 22:00:00,2019/10/01 22:00:00
22,2019/10/01,23,0.0,0.0,0.0,5.8058,7.4533,814.8625,139.2817,328.45,81486.25, 23:00:00,2019/10/01 23:00:00
23,2019/10/02,0,0.0,0.0,0.0,5.4083,3.2192,814.7075,143.235,291.5888,81470.75, 0:00:00,2019/10/02 0:00:00
24,2019/10/02,1,0.0025,0.0,0.0025,5.1392,2.9267,814.6492,142.455,16.3744,81464.92, 1:00:00,2019/10/02 1:00:00
25,2019/10/02,2,0.0025,0.0,0.0025,4.8325,1.795,814.7075,137.1783,38.1837,81470.75, 2:00:00,2019/10/02 2:00:00
26,2019/10/02,3,0.0031,0.0,0.0031,4.6408,2.1609,814.4192,128.8033,55.2678,81441.92, 3:00:00,2019/10/02 3:00:00
27,2019/10/02,4,0.0037,0.0,0.0037,4.5392,1.4283,814.2558,118.6533,68.5952,81425.58, 4:00:00,2019/10/02 4:00:00
28,2019/10/02,5,0.0,0.0,0.0,4.5567,1.115,814.2575,107.5867,79.6292,81425.75, 5:00:00,2019/10/02 5:00:00
29,2019/10/02,6,0.0012,0.0,0.0012,4.635,1.225,814.4083,96.0783,89.5317,81440.83, 6:00:00,2019/10/02 6:00:00
30,2019/10/02,7,9.7623,2.6615,9.6174,4.555,1.5817,814.9242,84.5292,99.195,81492.42, 7:00:00,2019/10/02 7:00:00
31,2019/10/02,8,68.234,0.3333,68.1396,4.6617,1.1275,815.2558,73.5012,109.4117,81525.58, 8:00:00,2019/10/02 8:00:00
32,2019/10/02,9,117.7092,0.0733,117.6788,5.1125,1.4358,815.5992,63.1193,121.0567,81559.92, 9:00:00,2019/10/02 9:00:00
33,2019/10/02,10,192.0252,0.1896,191.9172,5.665,1.2525,815.5567,54.0713,135.0717,81555.67, 10:00:00,2019/10/02 10:00:00
34,2019/10/02,11,215.3093,0.0182,215.2971,6.3708,5.2567,815.4383,47.266999999999996,152.36,81543.83, 11:00:00,2019/10/02 11:00:00
35,2019/10/02,12,384.3252,72.2154,331.8957,7.9667,1.1683,815.2825,43.8278,172.795,81528.25, 12:00:00,2019/10/02 12:00:00
36,2019/10/02,13,633.317,431.8233,328.8545,9.8967,1.4833,814.9125,44.5525,194.2383,81491.25, 13:00:00,2019/10/02 13:00:00
37,2019/10/02,14,663.1515,863.4116,100.772,11.4092,1.5825,814.7733,49.256,213.7233,81477.33, 14:00:00,2019/10/02 14:00:00
38,2019/10/02,15,540.7281,873.9972,64.0298,13.3125,1.3375,815.015,56.9452,229.85,81501.5, 15:00:00,2019/10/02 15:00:00
39,2019/10/02,16,375.0447,800.7298,55.1061,14.4533,1.2317,815.4075,66.5373,242.9333,81540.75, 16:00:00,2019/10/02 16:00:00
40,2019/10/02,17,183.0109,627.8812,40.3648,14.21,1.315,816.095,77.226,253.9717,81609.5, 17:00:00,2019/10/02 17:00:00
41,2019/10/02,18,23.1137,126.3668,11.0656,13.3392,1.2017,817.0667,88.4083,263.8933,81706.67, 18:00:00,2019/10/02 18:00:00
42,2019/10/02,19,0.0,0.0,0.0,10.9717,2.7692,818.5033,100.08,273.5167,81850.33, 19:00:00,2019/10/02 19:00:00
43,2019/10/02,20,0.0,0.0,0.0,9.1492,2.1267,820.1492,111.4867,283.6583,82014.92, 20:00:00,2019/10/02 20:00:00
44,2019/10/02,21,0.0,0.0,0.0,9.1325,1.5017,821.045,122.3533,295.2817,82104.5, 21:00:00,2019/10/02 21:00:00
45,2019/10/02,22,0.0,0.0,0.0,9.2708,1.365,821.4775,132.08,309.66,82147.75, 22:00:00,2019/10/02 22:00:00
46,2019/10/02,23,0.0,0.0,0.0,8.9375,1.7133,821.6192,139.665,328.3217,82161.92, 23:00:00,2019/10/02 23:00:00
47,2019/10/03,0,0.0,0.0,0.0,8.2708,1.4608,821.6158,143.6317,291.651,82161.58, 0:00:00,2019/10/03 0:00:00
48,2019/10/03,1,0.0,0.0,0.0,7.7758,0.8658,821.635,142.81,16.6397,82163.5, 1:00:00,2019/10/03 1:00:00
49,2019/10/03,2,0.0,0.0,0.0,7.3317,0.8042,821.4475,137.4817,38.5572,82144.75, 2:00:00,2019/10/03 2:00:00
50,2019/10/03,3,0.0,0.0,0.0,7.225,0.8608,821.1975,129.05,55.6613,82119.75, 3:00:00,2019/10/03 3:00:00
51,2019/10/03,4,0.0,0.0,0.0,7.3575,0.6292,821.2825,118.865,68.9748,82128.25, 4:00:00,2019/10/03 4:00:00
52,2019/10/03,5,0.0,0.0,0.0,7.4642,0.7925,821.4392,107.78,79.9873,82143.92, 5:00:00,2019/10/03 5:00:00
53,2019/10/03,6,0.0154,0.0,0.0154,7.4658,1.2325,821.8217,96.275,89.8817,82182.17, 6:00:00,2019/10/03 6:00:00
54,2019/10/03,7,8.0058,1.7080000000000002,7.891,6.9958,2.87,822.1617,84.714,99.54,82216.17, 7:00:00,2019/10/03 7:00:00
55,2019/10/03,8,71.5703,0.0289,71.5639,6.6117,2.2933,822.4533,73.709,109.765,82245.33, 8:00:00,2019/10/03 8:00:00
56,2019/10/03,9,366.5908,454.1079,149.0063,7.8275,2.0167,822.3192,63.3567,121.3933,82231.92, 9:00:00,2019/10/03 9:00:00
57,2019/10/03,10,523.0655,694.6666,124.4549,9.7817,1.9117,822.1383,54.353,135.4117,82213.83, 10:00:00,2019/10/03 10:00:00
58,2019/10/03,11,749.3489,789.9373,216.1152,11.065,1.9567,821.8425,47.5995,152.6467,82184.25, 11:00:00,2019/10/03 11:00:00
59,2019/10/03,12,737.1204,858.683,121.4726,12.3183,1.9417,821.1908,44.2035,172.9583,82119.08, 12:00:00,2019/10/03 12:00:00
60,2019/10/03,13,713.9683,870.3087,98.0299,13.3092,1.7275,820.4175,44.9448,194.2433,82041.75, 13:00:00,2019/10/03 13:00:00
61,2019/10/03,14,641.0273,843.5779,94.7095,14.4675,1.4892,819.71,49.6382,213.6067,81971.0, 14:00:00,2019/10/03 14:00:00
62,2019/10/03,15,514.9137,786.0975,89.7387,15.3617,1.4958,819.3758,57.303000000000004,229.6517,81937.58, 15:00:00,2019/10/03 15:00:00
63,2019/10/03,16,346.7244,675.4768,79.8017,16.025,1.5775,819.1208,66.8715,242.715,81912.08, 16:00:00,2019/10/03 16:00:00
64,2019/10/03,17,160.6577,474.4374,54.0241,15.8208,1.8767,818.9317,77.5408,253.7367,81893.17, 17:00:00,2019/10/03 17:00:00
65,2019/10/03,18,18.4326,64.5411,12.2823,14.4025,1.6667,818.8192,88.7117,263.65,81881.92, 18:00:00,2019/10/03 18:00:00
66,2019/10/03,19,0.0,0.0,0.0,12.6883,0.8558,818.955,100.3883,273.27,81895.5, 19:00:00,2019/10/03 19:00:00
67,2019/10/03,20,0.0,0.0,0.0,12.3342,1.2725,819.0867,111.8,283.4017,81908.67, 20:00:00,2019/10/03 20:00:00
68,2019/10/03,21,0.0,0.0,0.0,11.7867,1.7708,818.97,122.6833,295.0167,81897.0, 21:00:00,2019/10/03 21:00:00
69,2019/10/03,22,0.0,0.0,0.0,11.0117,1.9683,818.6517,132.4383,309.4367,81865.17, 22:00:00,2019/10/03 22:00:00
70,2019/10/03,23,0.0,0.0,0.0,10.4917,2.8717,818.0767,140.04,328.1933,81807.67, 23:00:00,2019/10/03 23:00:00
71,2019/10/04,0,0.0,0.0,0.0,10.1358,3.715,817.6358,144.0233,288.7115,81763.58, 0:00:00,2019/10/04 0:00:00
72,2019/10/04,1,0.0,0.0,0.0,9.6833,3.0675,817.475,143.1717,16.9043,81747.5, 1:00:00,2019/10/04 1:00:00
73,2019/10/04,2,0.0,0.0,0.0,9.3025,2.5425,817.2342,137.7817,38.9323,81723.42, 2:00:00,2019/10/04 2:00:00
74,2019/10/04,3,0.0,0.0,0.0,7.4708,1.2883,816.96,129.2967,56.0562,81696.0, 3:00:00,2019/10/04 3:00:00
75,2019/10/04,4,0.0,0.0,0.0,6.785,1.08,816.705,119.075,69.3542,81670.5, 4:00:00,2019/10/04 4:00:00
76,2019/10/04,5,0.0124,0.0,0.0124,5.9733,0.8033,816.5575,107.97,80.3527,81655.75, 5:00:00,2019/10/04 5:00:00
77,2019/10/04,6,0.68,0.0,0.68,5.9067,0.6075,816.4675,96.4683,90.2333,81646.75, 6:00:00,2019/10/04 6:00:00
78,2019/10/04,7,64.2061,342.0969,21.7528,6.4392,0.9967,816.4825,84.9022,99.885,81648.25, 7:00:00,2019/10/04 7:00:00
79,2019/10/04,8,247.8076,725.6351,44.6948,8.4683,1.5133,816.3133,73.9193,110.1083,81631.33, 8:00:00,2019/10/04 8:00:00
80,2019/10/04,9,426.0584,815.7454,63.1139,10.1858,1.6008,815.8017,63.5977,121.755,81580.17, 9:00:00,2019/10/04 9:00:00
81,2019/10/04,10,563.6422,846.4468,73.1759,12.705,1.5167,814.9983,54.6362,135.7517,81499.83, 10:00:00,2019/10/04 10:00:00
82,2019/10/04,11,668.6922,889.8573,72.6534,14.1042,2.2358,814.1275,47.9332,152.9283,81412.75, 11:00:00,2019/10/04 11:00:00
83,2019/10/04,12,715.8852,892.7669999999999,79.9972,15.3517,2.48,813.125,44.57899999999999,173.1183,81312.5, 12:00:00,2019/10/04 12:00:00
84,2019/10/04,13,720.3074,885.6634,97.6994,16.8225,2.3925,812.0433,45.3358,194.2483,81204.33, 13:00:00,2019/10/04 13:00:00
85,2019/10/04,14,226.7484,69.46600000000001,181.4738,17.0508,2.2958,811.005,50.0193,213.4883,81100.5, 14:00:00,2019/10/04 14:00:00
86,2019/10/04,15,231.7968,220.984,121.4461,17.385,1.4242,810.1808,57.6605,229.4583,81018.08, 15:00:00,2019/10/04 15:00:00
87,2019/10/04,16,369.1494,733.6624,82.5451,19.3983,1.5692,809.5958,67.205,242.4933,80959.58, 16:00:00,2019/10/04 16:00:00
88,2019/10/04,17,169.9352,573.2445,45.8883,19.545,1.1658,809.3042,77.8558,253.495,80930.42, 17:00:00,2019/10/04 17:00:00
89,2019/10/04,18,17.714000000000002,79.1512,10.2563,17.7483,0.8708,809.19,89.0183,263.405,80919.0, 18:00:00,2019/10/04 18:00:00
90,2019/10/04,19,0.0,0.0,0.0,16.5442,1.8883,809.6867,100.695,273.0133,80968.67, 19:00:00,2019/10/04 19:00:00
91,2019/10/04,20,0.0,0.0,0.0,17.965,5.0742,810.3917,112.115,283.145,81039.17, 20:00:00,2019/10/04 20:00:00
92,2019/10/04,21,0.0,0.0,0.0,20.5142,4.0433,811.1758,123.0133,294.7783,81117.58, 21:00:00,2019/10/04 21:00:00
93,2019/10/04,22,0.0,0.0,0.0,17.9658,2.3342,811.7733,132.795,309.2133,81177.33, 22:00:00,2019/10/04 22:00:00
94,2019/10/04,23,0.0,0.0,0.0,15.9192,6.57,812.5317,140.4233,328.0567,81253.17, 23:00:00,2019/10/04 23:00:00
95,2019/10/05,0,0.0,0.0,0.0,14.2575,6.3517,813.2092,144.4183,288.7653,81320.92, 0:00:00,2019/10/05 0:00:00
96,2019/10/05,1,0.0,0.0,0.0,11.6833,2.7792,814.4392,143.53,17.1723,81443.92, 1:00:00,2019/10/05 1:00:00
97,2019/10/05,2,0.0,0.0,0.0,9.9292,2.345,815.2075,138.0733,39.3095,81520.75, 2:00:00,2019/10/05 2:00:00
98,2019/10/05,3,0.0,0.0,0.0,9.09,1.925,815.4517,129.5383,56.4518,81545.17, 3:00:00,2019/10/05 3:00:00
99,2019/10/05,4,0.0,0.0,0.0,8.5467,2.135,815.7867,119.2883,69.7337,81578.67, 4:00:00,2019/10/05 4:00:00
100,2019/10/05,5,0.0,0.0,0.0,10.3417,6.3575,815.8067,108.1633,80.7147,81580.67, 5:00:00,2019/10/05 5:00:00
101,2019/10/05,6,0.4207,0.0,0.4207,11.3,7.8975,815.8442,96.6617,90.5767,81584.42, 6:00:00,2019/10/05 6:00:00
102,2019/10/05,7,50.8356,114.9584,40.4371,11.4392,3.8817,816.4733,85.0915,100.235,81647.33, 7:00:00,2019/10/05 7:00:00
103,2019/10/05,8,109.1927,3.9099,108.3357,9.0758,1.685,817.2633,74.13,110.4567,81726.33, 8:00:00,2019/10/05 8:00:00
104,2019/10/05,9,321.6644,284.1603,185.0434,9.6167,1.5933,818.32,63.8383,122.0867,81832.0, 9:00:00,2019/10/05 9:00:00
105,2019/10/05,10,591.1665,801.7791,129.5404,11.4658,2.6758,818.7608,54.9193,136.0783,81876.08, 10:00:00,2019/10/05 10:00:00
106,2019/10/05,11,604.1137,482.3094,286.2421,12.0725,3.6058,818.8625,48.2668,153.2033,81886.25, 11:00:00,2019/10/05 11:00:00
107,2019/10/05,12,811.3135,713.3583,306.1329,13.52,3.2225,818.4392,44.9542,173.275,81843.92, 12:00:00,2019/10/05 12:00:00
108,2019/10/05,13,765.932,740.7981,249.6684,14.5975,3.0275,817.6617,45.7278,194.2483,81766.17, 13:00:00,2019/10/05 13:00:00
109,2019/10/05,14,648.6198,840.0691,112.2173,15.4492,2.8358,816.8925,50.3988,213.3667,81689.25, 14:00:00,2019/10/05 14:00:00
110,2019/10/05,15,522.8623,819.3293,89.9318,16.135,2.22,816.1675,58.015,229.265,81616.75, 15:00:00,2019/10/05 15:00:00
111,2019/10/05,16,364.1696,765.7896,70.0589,17.0767,1.6525,815.6617,67.5373,242.2617,81566.17, 16:00:00,2019/10/05 16:00:00
112,2019/10/05,17,174.0711,553.4711,55.4782,17.2642,1.5883,815.4958,78.169,253.2583,81549.58, 17:00:00,2019/10/05 17:00:00
113,2019/10/05,18,20.86,63.3928,15.0523,15.3125,1.8575,815.645,89.3317,263.155,81564.5, 18:00:00,2019/10/05 18:00:00
114,2019/10/05,19,0.0,0.0,0.0,14.1008,1.4375,815.9183,101.0,272.7633,81591.83, 19:00:00,2019/10/05 19:00:00
115,2019/10/05,20,0.0,0.0,0.0,12.7158,2.7408,816.265,112.425,282.89,81626.5, 20:00:00,2019/10/05 20:00:00
116,2019/10/05,21,0.0,0.0,0.0,11.53,3.7,816.5025,123.34,294.505,81650.25, 21:00:00,2019/10/05 21:00:00
117,2019/10/05,22,0.0,0.0,0.0,9.9008,3.0108,816.6325,133.15,308.9883,81663.25, 22:00:00,2019/10/05 22:00:00
118,2019/10/05,23,0.0,0.0,0.0,8.2375,2.2467,816.7275,140.8067,327.9267,81672.75, 23:00:00,2019/10/05 23:00:00
119,2019/10/06,0,0.0,0.0,0.0,7.2533,1.8525,816.8775,144.8067,285.8266,81687.75, 0:00:00,2019/10/06 0:00:00
120,2019/10/06,1,0.0,0.0,0.0,7.8983,2.0517,817.46,143.8867,17.4418,81746.0, 1:00:00,2019/10/06 1:00:00
121,2019/10/06,2,0.0,0.0,0.0,8.4908,1.8225,818.6142,138.3683,39.689,81861.42, 2:00:00,2019/10/06 2:00:00
122,2019/10/06,3,0.0,0.0,0.0,8.3808,2.3392,819.515,129.7917,56.8472,81951.5, 3:00:00,2019/10/06 3:00:00
123,2019/10/06,4,0.0,0.0,0.0,7.845,2.0067,820.7075,119.5017,70.1127,82070.75, 4:00:00,2019/10/06 4:00:00
124,2019/10/06,5,0.008,0.0,0.008,7.2992,1.275,821.6383,108.3567,81.0713,82163.83, 5:00:00,2019/10/06 5:00:00
125,2019/10/06,6,0.3551,0.0,0.3551,6.4392,1.6242,822.63,96.8517,90.9233,82263.0, 6:00:00,2019/10/06 6:00:00
126,2019/10/06,7,32.7195,85.9875,19.3824,5.8075,1.2492,823.7325,85.2808,100.5733,82373.25, 7:00:00,2019/10/06 7:00:00
127,2019/10/06,8,246.5456,711.6271,51.1742,6.855,1.4983,824.7008,74.3413,110.7967,82470.08, 8:00:00,2019/10/06 8:00:00
128,2019/10/06,9,429.8365,838.0533,63.2396,8.065,2.0842,825.1708,64.0808,122.445,82517.08, 9:00:00,2019/10/06 9:00:00
129,2019/10/06,10,577.5138,881.4979,74.5496,8.7125,2.6158,825.6233,55.2043,136.4067,82562.33, 10:00:00,2019/10/06 10:00:00
130,2019/10/06,11,679.8307,908.3921,79.1712,9.4508,2.8158,825.5608,48.5997,153.4683,82556.08, 11:00:00,2019/10/06 11:00:00
131,2019/10/06,12,729.0261,925.0204,78.6991,10.6675,2.45,825.1375,45.328,173.4283,82513.75, 12:00:00,2019/10/06 12:00:00
132,2019/10/06,13,718.3617,925.2452,77.0411,11.6475,2.7475,824.295,46.1173,194.2517,82429.5, 13:00:00,2019/10/06 13:00:00
133,2019/10/06,14,647.1098,903.3884,75.9339,12.6542,3.1325,823.3908,50.7768,213.245,82339.08, 14:00:00,2019/10/06 14:00:00
134,2019/10/06,15,524.5488,864.5949,71.0233,14.08,2.4892,822.9242,58.3697,229.075,82292.42, 15:00:00,2019/10/06 15:00:00
135,2019/10/06,16,359.0494,790.3343,60.2268,13.915,2.8075,822.635,67.8672,242.0317,82263.5, 16:00:00,2019/10/06 16:00:00
136,2019/10/06,17,169.3449,618.4552,41.8046,13.9942,1.395,822.7508,78.4798,253.0167,82275.08, 17:00:00,2019/10/06 17:00:00
137,2019/10/06,18,14.7132,55.0683,9.692,12.8717,1.105,822.9892,89.6383,262.9083,82298.92, 18:00:00,2019/10/06 18:00:00
138,2019/10/06,19,0.0,0.0,0.0,10.8767,2.0158,823.2625,101.3017,272.51,82326.25, 19:00:00,2019/10/06 19:00:00
139,2019/10/06,20,0.0,0.0,0.0,9.7608,2.8617,823.5358,112.7317,282.625,82353.58, 20:00:00,2019/10/06 20:00:00
140,2019/10/06,21,0.0,0.0,0.0,8.465,3.64,823.5467,123.6683,294.2433,82354.67, 21:00:00,2019/10/06 21:00:00
141,2019/10/06,22,0.0,0.0,0.0,8.14,3.5975,823.5533,133.4967,308.7467,82355.33, 22:00:00,2019/10/06 22:00:00
142,2019/10/06,23,0.0,0.0,0.0,7.6925,3.225,823.4508,141.19,327.78,82345.08, 23:00:00,2019/10/06 23:00:00
143,2019/10/07,0,0.0,0.0,0.0,7.5483,2.7833,823.1592,145.1917,282.8759,82315.92, 0:00:00,2019/10/07 0:00:00
144,2019/10/07,1,0.0074,0.0,0.0074,6.8,3.6208,822.7808,144.2333,17.7117,82278.08, 1:00:00,2019/10/07 1:00:00
145,2019/10/07,2,0.0105,0.0,0.0105,7.0933,3.1058,822.645,138.675,40.0688,82264.5, 2:00:00,2019/10/07 2:00:00
146,2019/10/07,3,0.0124,0.0,0.0124,6.8842,3.4842,822.4092,130.035,57.2425,82240.92, 3:00:00,2019/10/07 3:00:00
147,2019/10/07,4,0.0093,0.0,0.0093,6.4833,3.5175,822.1625,119.7117,70.4903,82216.25, 4:00:00,2019/10/07 4:00:00
148,2019/10/07,5,0.0105,0.0,0.0105,6.6542,3.07,822.0358,108.55,81.4292,82203.58, 5:00:00,2019/10/07 5:00:00
149,2019/10/07,6,0.4364,0.0,0.4364,6.7858,3.4142,822.0542,97.04,91.2717,82205.42, 6:00:00,2019/10/07 6:00:00
150,2019/10/07,7,62.4186,359.7651,20.5364,7.3542,2.0492,822.08,85.475,100.91,82208.0, 7:00:00,2019/10/07 7:00:00
151,2019/10/07,8,252.5495,775.3781,44.1669,10.3658,0.93,822.1233,74.5542,111.135,82212.33, 8:00:00,2019/10/07 8:00:00
152,2019/10/07,9,436.4298,876.2245,56.2838,12.5408,1.2992,821.9158,64.3248,122.77,82191.58, 9:00:00,2019/10/07 9:00:00
153,2019/10/07,10,587.0397,926.2481,62.402,15.4,1.6825,821.3992,55.4903,136.7233,82139.92, 10:00:00,2019/10/07 10:00:00
154,2019/10/07,11,687.1512,946.4029,65.5549,16.1508,2.3225,820.63,48.9335,153.7367,82063.0, 11:00:00,2019/10/07 11:00:00
155,2019/10/07,12,733.8487,954.2457,67.4288,17.3892,2.0417,819.86,45.702,173.565,81986.0, 12:00:00,2019/10/07 12:00:00
156,2019/10/07,13,720.5236,949.0412,67.3325,18.9,2.02,818.8758,46.5055,194.245,81887.58, 13:00:00,2019/10/07 13:00:00
157,2019/10/07,14,646.9387,925.9854,66.2358,20.0717,1.6808,818.1792,51.1527,213.1167,81817.92, 14:00:00,2019/10/07 14:00:00
158,2019/10/07,15,524.0091,890.2778,61.7457,21.2558,1.7375,817.6275,58.7223,228.8783,81762.75, 15:00:00,2019/10/07 15:00:00
159,2019/10/07,16,357.5486,816.3575,53.1438,22.105,1.2217,817.1783,68.196,241.815,81717.83, 16:00:00,2019/10/07 16:00:00
160,2019/10/07,17,165.0253,633.5533,37.5973,21.9558,0.9567,816.885,78.7885,252.7817,81688.5, 17:00:00,2019/10/07 17:00:00
161,2019/10/07,18,11.702,42.2098,7.9438,19.22,1.8942,816.6892,89.9433,262.665,81668.92, 18:00:00,2019/10/07 18:00:00
162,2019/10/07,19,0.0043,0.0,0.0043,16.5992,3.4167,816.5658,101.6,272.255,81656.58, 19:00:00,2019/10/07 19:00:00
163,2019/10/07,20,0.0006,0.0,0.0006,15.9575,3.54,816.6075,113.04,282.3617,81660.75, 20:00:00,2019/10/07 20:00:00
164,2019/10/07,21,0.0,0.0,0.0,15.2583,4.29,816.4533,123.9883,293.9917,81645.33, 21:00:00,2019/10/07 21:00:00
165,2019/10/07,22,0.0,0.0,0.0,15.3958,3.6167,816.3358,133.845,308.5017,81633.58, 22:00:00,2019/10/07 22:00:00
166,2019/10/07,23,0.0,0.0,0.0,14.2308,2.935,815.82,141.57,327.635,81582.0, 23:00:00,2019/10/07 23:00:00
167,2019/10/08,0,0.0,0.0,0.0,13.3217,3.4167,815.3142,145.57,282.9304,81531.42, 0:00:00,2019/10/08 0:00:00
168,2019/10/08,1,0.0,0.0,0.0,13.7083,3.6783,815.1742,144.59,17.984,81517.42, 1:00:00,2019/10/08 1:00:00
169,2019/10/08,2,0.0,0.0,0.0,13.8317,5.0242,814.6708,138.9717,40.451,81467.08, 2:00:00,2019/10/08 2:00:00
170,2019/10/08,3,0.0,0.0,0.0,13.9792,4.2175,814.2192,130.2783,57.6385,81421.92, 3:00:00,2019/10/08 3:00:00
171,2019/10/08,4,0.0,0.0,0.0,14.5492,3.08,813.885,119.9217,70.8688,81388.5, 4:00:00,2019/10/08 4:00:00
172,2019/10/08,5,0.0,0.0,0.0,14.17,3.445,813.5958,108.7433,81.7887,81359.58, 5:00:00,2019/10/08 5:00:00
173,2019/10/08,6,0.2296,0.0,0.2296,14.0925,3.29,813.3042,97.2317,91.615,81330.42, 6:00:00,2019/10/08 6:00:00
174,2019/10/08,7,28.3162,53.2318,24.9988,14.2142,4.1858,813.1658,85.6683,101.2467,81316.58, 7:00:00,2019/10/08 7:00:00
175,2019/10/08,8,79.7696,0.0056,79.7679,15.2608,1.6433,813.15,74.7685,111.475,81315.0, 8:00:00,2019/10/08 8:00:00
176,2019/10/08,9,253.7341,168.2839,179.2646,16.7942,1.1658,813.1958,64.5702,123.1,81319.58, 9:00:00,2019/10/08 9:00:00
177,2019/10/08,10,568.8098,849.4810000000001,87.3554,19.8992,1.5367,813.1333,55.7775,137.04,81313.33, 10:00:00,2019/10/08 10:00:00
178,2019/10/08,11,692.7269,943.6478,77.1348,21.7983,3.2067,812.7533,49.2683,153.9983,81275.33, 11:00:00,2019/10/08 11:00:00
179,2019/10/08,12,735.0792,953.4895,73.6482,22.4708,2.7033,812.0092,46.0753,173.715,81200.92, 12:00:00,2019/10/08 12:00:00
180,2019/10/08,13,714.6869,940.3048,72.1118,22.6975,2.7717,811.2925,46.8915,194.2433,81129.25, 13:00:00,2019/10/08 13:00:00
181,2019/10/08,14,641.1868,913.6030000000001,72.882,22.9983,3.1,810.8808,51.5285,212.99,81088.08, 14:00:00,2019/10/08 14:00:00
182,2019/10/08,15,514.9678,867.7594,68.8711,23.0717,2.7058,810.675,59.0728,228.6933,81067.5, 15:00:00,2019/10/08 15:00:00
183,2019/10/08,16,347.0241,784.2582,58.6471,23.3225,1.8125,810.5717,68.5225,241.595,81057.17, 16:00:00,2019/10/08 16:00:00
184,2019/10/08,17,155.0655,580.6918,40.0322,22.3933,1.98,810.5333,79.0998,252.545,81053.33, 17:00:00,2019/10/08 17:00:00
185,2019/10/08,18,9.5531,24.749000000000002,7.4104,20.5642,1.0808,810.75,90.245,262.415,81075.0, 18:00:00,2019/10/08 18:00:00
