date;time;GHI;DHI
23.09.2020;23:20:00;0;0
23.09.2020;23:30:00;0;0
23.09.2020;23:40:00;0;0
23.09.2020;23:50:00;0;0
24.09.2020;00:00:00;0;0
24.09.2020;00:10:00;0;0
24.09.2020;00:20:00;0;0
24.09.2020;00:30:00;0;0
24.09.2020;00:40:00;0;0
24.09.2020;00:50:00;0;0
24.09.2020;01:00:00;0;0
24.09.2020;01:10:00;0;0
24.09.2020;01:20:00;0;0
24.09.2020;01:30:00;0;0
24.09.2020;01:40:00;0;0
24.09.2020;01:50:00;0;0
24.09.2020;02:00:00;0;0
24.09.2020;02:10:00;0;0
24.09.2020;02:20:00;0;0
24.09.2020;02:30:00;0;0
24.09.2020;02:40:00;0;0
24.09.2020;02:50:00;0;0
24.09.2020;03:00:00;0;0
24.09.2020;03:10:00;0;0
24.09.2020;03:20:00;0;0
24.09.2020;03:30:00;0;0
24.09.2020;03:40:00;0;0
24.09.2020;03:50:00;0;0
24.09.2020;04:00:00;0;0
24.09.2020;04:10:00;0;0
24.09.2020;04:20:00;0;0
24.09.2020;04:30:00;0;0
24.09.2020;04:40:00;0;0
24.09.2020;04:50:00;0;0
24.09.2020;05:00:00;0;0
24.09.2020;05:10:00;0;0
24.09.2020;05:20:00;0;0
24.09.2020;05:30:00;0;0
24.09.2020;05:40:00;5;5
24.09.2020;05:50:00;13.33333333;13.33333333
24.09.2020;06:00:00;28.33333333;25
24.09.2020;06:10:00;45;31.66666667
24.09.2020;06:20:00;73.33333333;43.33333333
24.09.2020;06:30:00;96.66666667;53.33333333
24.09.2020;06:40:00;125;63.33333333
24.09.2020;06:50:00;148.3333333;66.66666667
24.09.2020;07:00:00;171.6666667;70
24.09.2020;07:10:00;200;73.33333333
24.09.2020;07:20:00;228.3333333;78.33333333
24.09.2020;07:30:00;251.6666667;85
24.09.2020;07:40:00;285;91.66666667
24.09.2020;07:50:00;296.6666667;96.66666667
24.09.2020;08:00:00;321.6666667;101.6666667
24.09.2020;08:10:00;343.3333333;110
24.09.2020;08:20:00;353.3333333;128.3333333
24.09.2020;08:30:00;338.3333333;165
24.09.2020;08:40:00;373.3333333;188.3333333
24.09.2020;08:50:00;365;203.3333333
24.09.2020;09:00:00;335;191.6666667
24.09.2020;09:10:00;301.6666667;203.3333333
24.09.2020;09:20:00;263.3333333;188.3333333
24.09.2020;09:30:00;415;195
24.09.2020;09:40:00;471.6666667;211.6666667
24.09.2020;09:50:00;520;196.6666667
24.09.2020;10:00:00;483.3333333;218.3333333
24.09.2020;10:10:00;510;206.6666667
24.09.2020;10:20:00;466.6666667;186.6666667
24.09.2020;10:30:00;518.3333333;195
24.09.2020;10:40:00;531.6666667;228.3333333
24.09.2020;10:50:00;423.3333333;275
24.09.2020;11:00:00;358.3333333;286.6666667
24.09.2020;11:10:00;586.6666667;293.3333333
24.09.2020;11:20:00;533.3333333;301.6666667
24.09.2020;11:30:00;525;318.3333333
24.09.2020;11:40:00;490;316.6666667
24.09.2020;11:50:00;375;296.6666667
24.09.2020;12:00:00;396.6666667;270
24.09.2020;12:10:00;530;253.3333333
24.09.2020;12:20:00;451.6666667;243.3333333
24.09.2020;12:30:00;435;260
24.09.2020;12:40:00;490;266.6666667
24.09.2020;12:50:00;425;278.3333333
24.09.2020;13:00:00;556.6666667;263.3333333
24.09.2020;13:10:00;368.3333333;263.3333333
24.09.2020;13:20:00;375;280
24.09.2020;13:30:00;303.3333333;271.6666667
24.09.2020;13:40:00;290;275
24.09.2020;13:50:00;266.6666667;260
24.09.2020;14:00:00;236.6666667;236.6666667
24.09.2020;14:10:00;256.6666667;255
24.09.2020;14:20:00;230;230
24.09.2020;14:30:00;240;233.3333333
24.09.2020;14:40:00;265;231.6666667
24.09.2020;14:50:00;228.3333333;210
24.09.2020;15:00:00;223.3333333;196.6666667
24.09.2020;15:10:00;183.3333333;175
24.09.2020;15:20:00;181.6666667;165
24.09.2020;15:30:00;181.6666667;153.3333333
24.09.2020;15:40:00;160;146.6666667
24.09.2020;15:50:00;135;131.6666667
24.09.2020;16:00:00;100;100
24.09.2020;16:10:00;68.33333333;68.33333333
24.09.2020;16:20:00;45;45
24.09.2020;16:30:00;30;30
24.09.2020;16:40:00;18.33333333;18.33333333
24.09.2020;16:50:00;8.333333333;8.333333333
24.09.2020;17:00:00;3.333333333;3.333333333
24.09.2020;17:10:00;3.333333333;1.666666667
24.09.2020;17:20:00;0;0
