datetime;Albedo
2020-07-07 15:45:00;0.201213843
2020-07-07 16:00:00;0.199279892
2020-07-07 16:15:00;0.201029065
2020-07-07 16:30:00;0.195858562
2020-07-07 16:45:00;0.182351127
2020-07-07 17:00:00;0.186641758
2020-07-07 17:15:00;0.195858714
2020-07-07 17:30:00;0.198617134
2020-07-07 17:45:00;0.214239204
2020-07-07 18:00:00;0.216663022
2020-07-07 18:15:00;0.215112452
2020-07-07 18:30:00;0.213146078
2020-07-07 18:45:00;0.209621576
2020-07-07 19:00:00;0.119410555
2020-07-07 19:15:00;0.12151567
2020-07-07 19:30:00;0.149383697
2020-07-07 19:45:00;0.102351887
2020-07-07 20:00:00;0.124427788
2020-07-07 20:15:00;0.211527238
2020-07-07 20:30:00;0.528818282
2020-07-07 20:45:00;0
2020-07-07 21:00:00;0
2020-07-07 21:15:00;0
2020-07-07 21:30:00;0
2020-07-07 21:45:00;0
2020-07-07 22:00:00;0
2020-07-07 22:15:00;0
2020-07-07 22:30:00;0
2020-07-07 22:45:00;0
2020-07-07 23:00:00;0
2020-07-07 23:15:00;0
2020-07-07 23:30:00;0
2020-07-07 23:45:00;0
2020-07-08 00:00:00;0
2020-07-08 00:15:00;0
2020-07-08 00:30:00;0
2020-07-08 00:45:00;0
2020-07-08 01:00:00;0
2020-07-08 01:15:00;0
2020-07-08 01:30:00;0
2020-07-08 01:45:00;0
2020-07-08 02:00:00;0
2020-07-08 02:15:00;0
2020-07-08 02:30:00;0
2020-07-08 02:45:00;0
2020-07-08 03:00:00;0
2020-07-08 03:15:00;0
2020-07-08 03:30:00;0
2020-07-08 03:45:00;0
2020-07-08 04:00:00;0
2020-07-08 04:15:00;0
2020-07-08 04:30:00;0
2020-07-08 04:45:00;0.423054398
2020-07-08 05:00:00;0.141018219
2020-07-08 05:15:00;0.126916351
2020-07-08 05:30:00;0.12038135
2020-07-08 05:45:00;0.25265759
2020-07-08 06:00:00;0.250146411
2020-07-08 06:15:00;0.243534724
2020-07-08 06:30:00;0.241417015
2020-07-08 06:45:00;0.241815277
2020-07-08 07:00:00;0.242596628
2020-07-08 07:15:00;0.241745428
2020-07-08 07:30:00;0.238053113
2020-07-08 07:45:00;0.232277357
2020-07-08 08:00:00;0.226636353
2020-07-08 08:15:00;0.222868512
2020-07-08 08:30:00;0.218693439
2020-07-08 08:45:00;0.214086982
2020-07-08 09:00:00;0.210649585
2020-07-08 09:15:00;0.208385768
2020-07-08 09:30:00;0.206490841
2020-07-08 09:45:00;0.204547463
2020-07-08 10:00:00;0.203103647
2020-07-08 10:15:00;0.201671817
2020-07-08 10:30:00;0.201200184
2020-07-08 10:45:00;0.199882015
2020-07-08 11:00:00;0.199154364
2020-07-08 11:15:00;0.198512784
2020-07-08 11:30:00;0.196712126
2020-07-08 11:45:00;0.19634743
2020-07-08 12:00:00;0.196101699
2020-07-08 12:15:00;0.196883076
2020-07-08 12:30:00;0.196589907
2020-07-08 12:45:00;0.197105042
2020-07-08 13:00:00;0.197257628
2020-07-08 13:15:00;0.198132375
2020-07-08 13:30:00;0.199671717
2020-07-08 13:45:00;0.193331345
2020-07-08 14:00:00;0.195719174
2020-07-08 14:15:00;0.206407032
2020-07-08 14:30:00;0.206112492
2020-07-08 14:45:00;0.205679574
2020-07-08 15:00:00;0.189742065
2020-07-08 15:15:00;0.211098727
2020-07-08 15:30:00;0.195983722
2020-07-08 15:45:00;0.206639041
2020-07-08 16:00:00;0.198617133
2020-07-08 16:15:00;0.221188336
2020-07-08 16:30:00;0.18466658
2020-07-08 16:45:00;0.194983162
2020-07-08 17:00:00;0.189832151
2020-07-08 17:15:00;0.151090959
2020-07-08 17:30:00;0.181959015
2020-07-08 17:45:00;0.195432872
2020-07-08 18:00:00;0.193651675
2020-07-08 18:15:00;0.142923884
2020-07-08 18:30:00;0.173383026
2020-07-08 18:45:00;0.176272753
2020-07-08 19:00:00;0.205651501
2020-07-08 19:15:00;0.19229756
2020-07-08 19:30:00;0
2020-07-08 19:45:00;0
2020-07-08 20:00:00;0
2020-07-08 20:15:00;0
2020-07-08 20:30:00;0
2020-07-08 20:45:00;0
2020-07-08 21:00:00;0
2020-07-08 21:15:00;0
2020-07-08 21:30:00;0
2020-07-08 21:45:00;0
2020-07-08 22:00:00;0
2020-07-08 22:15:00;0
2020-07-08 22:30:00;0
2020-07-08 22:45:00;0
2020-07-08 23:00:00;0
2020-07-08 23:15:00;0
2020-07-08 23:30:00;0
2020-07-08 23:45:00;0
2020-07-09 00:00:00;0
2020-07-09 00:15:00;0
2020-07-09 00:30:00;0
2020-07-09 00:45:00;0
2020-07-09 01:00:00;0
2020-07-09 01:15:00;0
2020-07-09 01:30:00;0
2020-07-09 01:45:00;0
2020-07-09 02:00:00;0
2020-07-09 02:15:00;0
2020-07-09 02:30:00;0
2020-07-09 02:45:00;0
2020-07-09 03:00:00;0
2020-07-09 03:15:00;0
2020-07-09 03:30:00;0
2020-07-09 03:45:00;0
2020-07-09 04:00:00;0
2020-07-09 04:15:00;0
2020-07-09 04:30:00;0
2020-07-09 04:45:00;0.528818267
2020-07-09 05:00:00;0.151090868
2020-07-09 05:15:00;0.126916327
2020-07-09 05:30:00;0.102052633
2020-07-09 05:45:00;0.25676723
2020-07-09 06:00:00;0.246173929
2020-07-09 06:15:00;0.241848632
2020-07-09 06:30:00;0.240642005
2020-07-09 06:45:00;0.241745456
2020-07-09 07:00:00;0.242056971
2020-07-09 07:15:00;0.241690193
2020-07-09 07:30:00;0.236576465
2020-07-09 07:45:00;0.231702669
2020-07-09 08:00:00;0.226636321
2020-07-09 08:15:00;0.222801526
2020-07-09 08:30:00;0.21882129
2020-07-09 08:45:00;0.215531678
2020-07-09 09:00:00;0.211303687
2020-07-09 09:15:00;0.208968541
2020-07-09 09:30:00;0.206019772
2020-07-09 09:45:00;0.204070888
2020-07-09 10:00:00;0.20204173
2020-07-09 10:15:00;0.201410708
2020-07-09 10:30:00;0.2014972
