1691,Goettingen,Germany,1,51.5002,9.9507,167

Date (MM/DD/YYYY),Time (HH:MM),DNI (W/m^2),GHI (W/m^2),DHI (W/m^2),Dry-bulb (C),Alb

01/02/2021,00:00,0.0,0.0,0.0,1.48,0

01/02/2021,01:00,0.0,0.0,0.0,1.35,0

01/02/2021,02:00,0.0,0.0,0.0,1.52,0

01/02/2021,03:00,0.0,0.0,0.0,1.65,0

01/02/2021,04:00,0.0,0.0,0.0,1.72,0

01/02/2021,05:00,0.0,0.0,0.0,1.43,0

01/02/2021,06:00,0.0,0.0,0.0,1.28,0

01/02/2021,07:00,0.0,0.0,0.0,1.1,0

01/02/2021,08:00,0.2778,0.7716,0.4938,0.97,0

01/02/2021,09:00,16.389,45.5248,29.1358,1.57,0

01/02/2021,10:00,51.3889,142.747,91.35799999999999,2.27,0

01/02/2021,11:00,55.8334,155.0928,99.2592,2.73,0

01/02/2021,12:00,83.6111,232.2531,148.6419,3.15,0

01/02/2021,13:00,73.0555,202.93200000000002,129.8764,3.48,0

01/02/2021,14:00,30.2778,84.105,53.8272,3.37,0

01/02/2021,15:00,8.8889,24.6912,15.8025,3.05,0

01/02/2021,16:00,0.0,0.0,0.0,2.47,0

01/02/2021,17:00,0.0,0.0,0.0,2.1,0

01/02/2021,18:00,0.0,0.0,0.0,2.35,0

01/02/2021,19:00,0.0,0.0,0.0,2.55,0

01/02/2021,20:00,0.0,0.0,0.0,2.52,0

01/02/2021,21:00,0.0,0.0,0.0,2.55,0

01/02/2021,22:00,0.0,0.0,0.0,2.65,0

01/02/2021,23:00,0.0,0.0,0.0,2.58,0

01/03/2021,00:00,0.0,0.0,0.0,2.48,0

01/03/2021,01:00,0.0,0.0,0.0,2.68,0

01/03/2021,02:00,0.0,0.0,0.0,2.73,0

01/03/2021,03:00,0.0,0.0,0.0,2.7,0

01/03/2021,04:00,0.0,0.0,0.0,2.65,0

01/03/2021,05:00,0.0,0.0,0.0,2.82,0

01/03/2021,06:00,0.0,0.0,0.0,2.82,0

01/03/2021,07:00,0.0,0.0,0.0,2.67,0

01/03/2021,08:00,5.8334,16.2037,10.3704,2.23,0

01/03/2021,09:00,38.889,108.0246,69.1356,1.55,0

01/03/2021,10:00,64.9999,180.5555,115.5556,0.9,0

01/03/2021,11:00,91.6667,254.6298,162.9629,0.6,0

01/03/2021,12:00,53.6112,148.9197,95.3086,0.95,0

01/03/2021,13:00,31.9445,88.7346,56.7901,0.88,0

01/03/2021,14:00,34.1666,94.9074,60.7408,1.13,0

01/03/2021,15:00,3.8889,10.8024,6.9135,1.15,0

01/03/2021,16:00,0.0,0.0,0.0,1.1,0

01/03/2021,17:00,0.0,0.0,0.0,0.87,0

01/03/2021,18:00,0.0,0.0,0.0,0.4,0

01/03/2021,19:00,0.0,0.0,0.0,0.28,0

01/03/2021,20:00,0.0,0.0,0.0,0.23,0

01/03/2021,21:00,0.0,0.0,0.0,0.2,0

01/03/2021,22:00,0.0,0.0,0.0,0.23,0

01/03/2021,23:00,0.0,0.0,0.0,0.3,0

01/04/2021,00:00,0.0,0.0,0.0,0.28,0

