0,Cologne,Germany,2,50.935,6.992,53,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),nothing,GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),temp_air,Windspeed (m/s),Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Pressure [mBar],Alb
07/16/2023,12:00,11,583.263,535.885,223.366,21.661,60.047,57.385,149.454,1017.501,0.184
07/16/2023,13:00,12,561.588,409.467,331.085,22.395,60.042,60.186,175.974,1017.598,0.184
07/16/2023,14:00,13,474.799,358.521,392.075,23.033,60.045,58.595,203.321,1017.77,0.186
07/16/2023,15:00,14,363.343,229.994,341.308,23.461,60.042,53.192,226.465,1017.852,0.187
07/16/2023,16:00,15,575.442,430.66,366.444,24.068,60.045,45.429,244.433,1018.088,0.188
07/16/2023,17:00,16,463.991,324.129,347.609,24.396,60.043,36.488,258.745,1018.094,0.189
07/16/2023,18:00,17,344.328,185.369,305.332,24.486,60.043,27.101,270.975,1017.969,0.193
07/16/2023,19:00,18,275.703,245.058,225.61,24.339,60.041,17.737,282.222,1017.839,0.197
07/16/2023,20:00,19,86.846,43.89,83.814,23.74,60.041,8.754,293.235,1017.77,0.197
07/16/2023,21:00,20,51.334,0.0,46.678,23.271,60.041,0.495,304.552,1018.034,0.212
07/16/2023,22:00,21,8.067,0.0,4.884,22.527,60.041,-6.642,316.502,1018.402,0.427
07/16/2023,23:00,22,0.0,0.0,0.0,21.53,60.04,-12.351,329.511,1018.796,0.0
07/16/2023,00:00,23,0.0,0.0,0.0,20.966,60.041,-16.125,343.373,1018.944,0.0
07/17/2023,01:00,0,0.0,0.0,0.0,20.448,60.041,-17.67,231.882,1019.079,0.0
07/17/2023,02:00,1,0.0,0.0,0.0,19.083,60.04,-16.837,12.4,1019.071,0.0
07/17/2023,03:00,2,0.111,0.0,0.0,19.065,60.042,-13.651,26.671,1019.452,1.0
07/17/2023,04:00,3,0.0,0.0,0.0,18.389,60.042,-8.587,39.679,1020.101,0.0
07/17/2023,05:00,4,0.0,0.0,0.0,17.929,60.044,-1.751,52.094,1020.374,0.0
07/17/2023,06:00,5,4.115,0.0,2.097,17.41,60.041,6.223,63.585,1020.457,0.47
07/17/2023,07:00,6,40.308,0.0,37.415,17.42,60.042,15.018,74.644,1020.861,0.214
07/17/2023,08:00,7,86.267,308.285,95.554,18.058,60.045,24.304,85.78,1021.425,0.207
07/17/2023,09:00,8,251.058,321.983,131.049,18.156,60.042,33.715,97.649,1022.053,0.171
07/17/2023,10:00,9,508.29,720.071,86.579,19.748,60.042,42.829,111.237,1022.332,0.184
07/17/2023,11:00,10,648.138,719.514,143.827,20.427,60.043,51.012,127.974,1022.455,0.193
07/17/2023,12:00,11,649.399,616.055,227.659,21.652,60.044,57.222,149.522,1022.529,0.184
07/17/2023,13:00,12,594.338,524.433,300.354,22.152,60.047,60.019,175.949,1022.465,0.183
07/17/2023,14:00,13,645.971,396.772,395.804,23.241,60.046,58.44,203.199,1022.447,0.184
07/17/2023,15:00,14,679.881,453.217,394.295,23.399,60.044,53.056,226.299,1022.121,0.185
07/17/2023,16:00,15,646.196,454.175,403.115,23.877,60.042,45.308,244.265,1021.989,0.187
07/17/2023,17:00,16,471.313,422.197,258.973,24.244,60.042,36.376,258.588,1021.771,0.184
07/17/2023,18:00,17,291.186,562.278,173.697,22.536,60.043,26.991,270.831,1021.989,0.196
07/17/2023,19:00,18,157.055,345.706,123.854,22.41,60.041,17.623,282.09,1022.389,0.193
07/17/2023,20:00,19,76.536,104.08,72.816,18.227,60.041,8.635,293.113,1023.482,0.206
07/17/2023,21:00,20,105.705,270.639,57.686,18.919,60.04,0.288,304.559,1024.008,0.26
07/17/2023,22:00,21,15.704,113.963,8.459,18.747,60.04,-6.803,316.448,1024.386,0.323
07/17/2023,23:00,22,0.0,0.0,0.0,18.252,60.041,-12.503,329.433,1024.965,0.0
07/17/2023,00:00,23,0.0,0.0,0.0,16.939,60.041,-16.277,343.248,1025.195,0.0
07/18/2023,01:00,0,0.0,0.0,0.0,16.101,60.041,-17.845,229.842,1025.282,0.0
07/18/2023,02:00,1,0.0,0.0,0.0,15.305,60.04,-16.976,12.632,1025.478,0.0
07/18/2023,03:00,2,0.0,0.94,0.0,14.597,60.041,-13.848,26.609,1025.406,0.0
07/18/2023,04:00,3,0.0,0.0,0.0,14.002,60.04,-8.685,39.865,1025.039,0.0
07/18/2023,05:00,4,0.0,0.0,0.0,13.484,60.04,-1.907,52.163,1024.73,0.0
07/18/2023,06:00,5,3.378,0.0,2.614,12.995,60.04,6.075,63.674,1024.647,0.614
07/18/2023,07:00,6,25.256,0.23,20.868,13.416,60.041,14.882,74.753,1024.556,0.211
07/18/2023,08:00,7,50.284,525.675,52.468,15.005,60.042,24.164,85.891,1024.449,0.244
07/18/2023,09:00,8,303.016,514.525,107.426,17.069,60.046,33.574,97.77,1024.45,0.151
07/18/2023,10:00,9,343.248,242.152,216.458,18.394,60.042,42.684,111.364,1024.148,0.177
07/18/2023,11:00,10,509.982,297.718,327.455,21.324,60.049,50.856,128.093,1023.82,0.193
07/18/2023,12:00,11,563.254,142.111,481.341,22.722,60.049,57.054,149.597,1023.21,0.19
07/18/2023,13:00,12,505.026,167.172,422.281,23.592,60.043,59.846,175.927,1022.795,0.189
07/18/2023,14:00,13,643.48,321.056,405.332,24.835,60.044,58.278,203.078,1021.894,0.185
07/18/2023,15:00,14,729.814,602.97,316.043,25.009,60.047,52.914,226.133,1021.399,0.184
07/18/2023,16:00,15,663.849,559.359,250.623,25.82,60.044,45.181,244.094,1020.58,0.18
07/18/2023,17:00,16,518.253,555.247,182.581,26.091,60.042,36.258,258.428,1019.635,0.183
07/18/2023,18:00,17,416.311,500.656,184.903,26.391,60.041,26.875,270.684,1019.191,0.197
07/18/2023,19:00,18,385.053,559.426,103.705,26.698,60.043,17.505,281.954,1018.352,0.221
07/18/2023,20:00,19,219.498,415.41,76.127,26.376,60.044,8.509,292.989,1017.745,0.243
07/18/2023,21:00,20,82.726,234.741,31.362,25.48,60.04,0.231,304.329,1017.42,0.248
07/18/2023,22:00,21,6.366,0.0,4.928,23.645,60.04,-6.961,316.372,1017.492,0.366
07/18/2023,23:00,22,0.0,0.0,0.0,22.482,60.04,-12.661,329.354,1017.886,0.0
07/18/2023,00:00,23,0.0,0.0,0.0,21.552,60.04,-16.458,343.274,1017.893,0.0
