Date,Specie,median
2022-02-17,pm25,104.0
2022-02-17,humidity,88.0
2022-02-17,wind-speed,3.8
2022-02-18,humidity,80.5
2022-02-18,wind-speed,3.6
2022-02-18,pm25,82.0
2022-02-19,wind-speed,4.1
2022-02-19,pm25,85.0
2022-02-19,humidity,88.0
2022-02-20,wind-speed,2.5
2022-02-20,humidity,85.5
2022-02-20,pm25,87.0
2022-02-21,pm25,89.0
2022-02-21,wind-speed,3.6
2022-02-21,humidity,91.0
2022-02-22,humidity,91.0
2022-02-22,pm25,82.0
2022-02-22,wind-speed,3.3
2022-02-23,humidity,97.0
2022-02-23,wind-speed,2.8
2022-02-23,pm25,87.0
2022-02-24,humidity,97.0
2022-02-24,pm25,95.0
2022-02-24,wind-speed,2.5
2022-02-25,humidity,96.0
2022-02-25,pm25,97.0
2022-02-25,wind-speed,2.5
2022-02-26,pm25,107.0
2022-02-26,wind-speed,3.6
2022-02-26,humidity,94.0
2022-02-27,humidity,94.0
2022-02-27,pm25,93.0
2022-02-27,wind-speed,3.6
2022-02-28,humidity,91.0
2022-02-28,pm25,104.0
2022-02-28,wind-speed,2.8
2022-03-01,pm25,114.0
2022-03-01,humidity,88.0
2022-03-01,wind-speed,3.8
2022-03-02,humidity,94.0
2022-03-02,wind-speed,2.5
2022-03-02,pm25,117.0
2022-03-03,humidity,88.0
2022-03-03,wind-speed,2.5
2022-03-03,pm25,109.0
2022-03-04,humidity,85.5
2022-03-04,wind-speed,3.0
2022-03-04,pm25,95.0
2022-03-05,wind-speed,2.5
2022-03-05,humidity,88.0
2022-03-05,pm25,78.0
2022-03-06,wind-speed,2.3
2022-03-06,humidity,91.0
2022-03-07,pm25,87.0
2022-03-07,wind-speed,2.5
2022-03-07,humidity,88.5
2022-03-08,pm25,93.0
2022-03-08,wind-speed,2.0
2022-03-08,humidity,88.0
2022-03-09,pm25,85.0
2022-03-09,humidity,94.0
2022-03-09,wind-speed,2.8
2022-03-10,wind-speed,3.6
2022-03-10,humidity,94.0
2022-03-10,pm25,93.0
2022-03-11,humidity,91.0
2022-03-11,pm25,93.0
2022-03-11,wind-speed,2.9
2022-03-12,humidity,83.0
2022-03-12,pm25,91.0
2022-03-12,wind-speed,3.6
2022-03-13,pm25,82.0
2022-03-13,wind-speed,4.1
2022-03-13,humidity,88.0
2022-03-14,pm25,85.0
2022-03-14,wind-speed,3.6
2022-03-14,humidity,88.0
2022-03-15,wind-speed,3.6
2022-03-15,pm25,102.0
2022-03-15,humidity,88.0
2022-03-16,pm25,95.0
2022-03-16,wind-speed,3.3
2022-03-16,humidity,85.5
2022-03-17,pm25,99.0
2022-03-17,humidity,85.5
2022-03-17,wind-speed,3.0
2022-03-18,humidity,94.0
2022-03-18,wind-speed,2.5
2022-03-18,pm25,119.0
2022-03-19,humidity,88.0
2022-03-19,wind-speed,4.3
2022-03-19,pm25,112.0
2022-03-20,humidity,83.0
2022-03-20,pm25,99.0
2022-03-20,wind-speed,3.0
2022-03-21,wind-speed,3.0
2022-03-21,pm25,85.0
2022-03-21,humidity,83.0
2022-03-22,wind-speed,2.3
2022-03-22,humidity,88.0
2022-03-23,wind-speed,2.3
2022-03-23,humidity,94.0
2022-03-24,wind-speed,2.5
2022-03-24,humidity,88.0
2022-03-25,pm25,82.0
2022-03-25,wind-speed,3.0
2022-03-25,humidity,88.3
2022-03-26,pm25,82.0
2022-03-26,wind-speed,2.8
2022-03-26,humidity,94.0
2022-03-27,pm25,91.0
2022-03-27,wind-speed,2.5
2022-03-27,humidity,91.0
2022-03-28,wind-speed,3.0
