Date,Specie,median
2022-03-19,humidity,84.1
2022-03-20,wind-speed,0.9
2022-03-20,pm10,11.0
2022-03-20,pm25,44.0
2022-03-20,precipitation,1.2
2022-03-20,humidity,86.3
2022-03-21,pm25,51.0
2022-03-21,pm10,15.0
2022-03-21,precipitation,0.6
2022-03-21,wind-speed,0.9
2022-03-21,humidity,91.4
2022-03-22,pm25,63.0
2022-03-22,precipitation,0.1
2022-03-22,wind-speed,0.7
2022-03-22,humidity,82.0
2022-03-22,pm10,32.0
2022-03-23,pm10,25.0
2022-03-23,humidity,82.2
2022-03-23,pm25,56.0
2022-03-23,precipitation,0.2
2022-03-23,wind-speed,1.1
2022-03-24,wind-speed,1.0
2022-03-24,pm25,49.0
2022-03-24,precipitation,0.3
2022-03-24,humidity,86.5
2022-03-24,pm10,17.0
2022-03-25,wind-speed,1.0
2022-03-25,pm10,32.0
2022-03-25,pm25,61.0
2022-03-25,humidity,79.9
2022-03-25,precipitation,0.1
2022-03-26,pm10,18.0
2022-03-26,precipitation,0.2
2022-03-26,humidity,87.7
2022-03-26,wind-speed,1.0
2022-03-26,pm25,52.0
2022-03-27,precipitation,0.1
2022-03-27,pm25,62.0
2022-03-27,wind-speed,0.8
2022-03-27,humidity,87.1
2022-03-27,pm10,21.0
2022-03-28,precipitation,0.9
2022-03-28,humidity,85.4
2022-03-28,pm10,29.0
2022-03-28,wind-speed,0.7
2022-03-28,pm25,62.0
2022-03-29,humidity,90.9
2022-03-29,pm10,13.0
2022-03-29,precipitation,1.2
2022-03-29,wind-speed,1.0
2022-03-29,pm25,47.0
2022-03-30,precipitation,0.3
2022-03-30,wind-speed,0.7
2022-03-30,pm25,54.0
2022-03-30,humidity,82.2
2022-03-30,pm10,21.0
2022-03-31,pm25,67.0
2022-03-31,wind-speed,0.7
2022-03-31,pm10,29.0
2022-03-31,humidity,81.7
2022-03-31,precipitation,0.1
2022-04-01,precipitation,0.9
2022-04-01,pm10,16.0
2022-04-01,humidity,85.1
2022-04-01,pm25,52.0
2022-04-01,wind-speed,1.1
2022-04-02,precipitation,0.2
2022-04-02,humidity,75.2
2022-04-02,wind-speed,0.8
2022-04-02,pm25,51.0
2022-04-02,pm10,21.0
2022-04-03,humidity,79.1
2022-04-03,wind-speed,0.9
2022-04-03,precipitation,0.6
2022-04-03,pm10,25.0
2022-04-03,pm25,49.0
2022-04-04,pm25,60.0
2022-04-04,wind-speed,1.2
2022-04-04,pm10,27.0
2022-04-04,precipitation,0.2
2022-04-04,humidity,76.2
2022-04-05,pm25,53.0
2022-04-05,wind-speed,1.0
2022-04-05,humidity,79.0
2022-04-05,precipitation,0.4
2022-04-05,pm10,28.0
2022-04-06,precipitation,0.3
2022-04-06,humidity,80.1
2022-04-06,wind-speed,1.0
2022-04-06,pm10,33.0
2022-04-06,pm25,60.0
2022-04-07,humidity,70.4
2022-04-07,wind-speed,1.0
2022-04-07,pm25,61.0
2022-04-07,pm10,31.0
2022-04-07,precipitation,0.7
2022-04-08,humidity,82.7
2022-04-08,pm25,61.0
2022-04-08,pm10,28.0
2022-04-08,precipitation,0.2
2022-04-08,wind-speed,1.2
2022-04-09,wind-speed,1.0
2022-04-09,pm10,17.0
2022-04-09,precipitation,0.2
2022-04-09,humidity,87.3
2022-04-09,pm25,52.0
2022-04-10,humidity,83.2
2022-04-10,wind-speed,1.1
2022-04-10,pm10,13.0
2022-04-10,precipitation,0.2
2022-04-10,pm25,40.0
2022-04-11,humidity,81.0
2022-04-11,precipitation,0.1
2022-04-11,pm25,49.0
2022-04-11,pm10,15.0
2022-04-11,wind-speed,0.9
2022-04-12,pm25,54.0
2022-04-12,pm10,32.0
2022-04-12,precipitation,0.1
2022-04-12,humidity,69.2
2022-04-12,wind-speed,1.2
2022-04-13,wind-speed,0.6
2022-04-13,pm10,22.0
2022-04-13,pm25,54.0
2022-04-23,wind-speed,2.0
2022-04-23,humidity,63.0
2022-04-24,wind-speed,1.8
2022-04-24,humidity,87.0
2022-04-25,wind-speed,1.5
2022-04-25,humidity,87.0
2022-04-26,wind-speed,1.5
2022-04-26,humidity,87.0
2022-04-27,humidity,85.7
2022-04-27,pm25,56.0
2022-04-27,wind-speed,1.5
2022-04-28,pm10,26.0
2022-04-28,precipitation,0.4
2022-04-28,humidity,85.6
2022-04-28,pm25,62.0
2022-04-28,wind-speed,1.1
2022-04-29,pm25,57.0
2022-04-29,humidity,63.0
2022-04-29,precipitation,0.1
2022-04-29,wind-speed,1.6
2022-04-29,pm10,29.0
2022-04-30,pm25,31.0
2022-04-30,humidity,53.0
2022-04-30,wind-speed,2.5
2022-04-30,pm10,19.0
2022-05-01,pm25,46.0
2022-05-01,humidity,61.8
2022-05-01,wind-speed,1.7
2022-05-01,pm10,30.0
2022-05-02,pm10,32.0
2022-05-02,pm25,53.0
2022-05-02,precipitation,0.1
2022-05-02,wind-speed,1.2
2022-05-02,humidity,66.0
2022-05-03,pm10,34.0
2022-05-03,precipitation,0.5
2022-05-03,wind-speed,1.2
2022-05-03,pm25,56.0
2022-05-03,humidity,65.9
2022-05-04,wind-speed,1.1
2022-05-04,pm10,34.0
2022-05-04,precipitation,0.6
2022-05-04,humidity,79.5
2022-05-04,pm25,60.0
2022-05-05,pm10,8.0
2022-05-05,humidity,93.0
2022-05-05,pm25,47.0
2022-05-05,wind-speed,0.8
2022-05-05,precipitation,0.4
2022-05-26,wind-speed,2.0
2022-05-27,wind-speed,1.5
2022-05-28,wind-speed,1.5
2022-05-29,wind-speed,2.0
2022-05-30,wind-speed,1.5
2022-05-31,humidity,63.5
2022-05-31,pm25,59.0
2022-05-31,wind-speed,1.5
