Date,Specie,median
2022-03-09,humidity,71.8
2022-03-10,pm25,21.0
2022-03-10,wind-speed,2.5
2022-03-10,humidity,40.7
2022-03-11,wind-speed,1.5
2022-03-11,humidity,48.6
2022-03-11,pm25,25.0
2022-03-12,humidity,72.8
2022-03-12,wind-speed,2.6
2022-03-12,pm25,25.0
2022-03-13,humidity,66.6
2022-03-13,wind-speed,2.8
2022-03-13,pm25,34.0
2022-03-14,wind-speed,2.0
2022-03-14,pm25,38.0
2022-03-14,humidity,68.0
2022-03-15,pm25,17.0
2022-03-15,humidity,76.5
2022-03-15,wind-speed,2.5
2022-03-16,pm25,30.0
2022-03-16,humidity,82.1
2022-03-16,wind-speed,1.6
2022-03-17,pm25,34.0
2022-03-17,wind-speed,2.8
2022-03-17,humidity,83.1
2022-03-18,wind-speed,1.8
2022-03-18,humidity,82.5
2022-03-18,pm25,30.0
2022-03-19,wind-speed,3.0
2022-03-19,humidity,83.1
2022-03-19,pm25,17.0
2022-03-20,wind-speed,1.7
2022-03-20,humidity,72.3
2022-03-20,pm25,25.0
2022-03-21,wind-speed,1.3
2022-03-21,humidity,73.7
2022-03-21,pm25,38.0
2022-03-22,wind-speed,1.5
2022-03-22,pm25,34.0
2022-03-22,humidity,69.1
2022-03-23,pm25,25.0
2022-03-23,humidity,86.2
2022-03-23,wind-speed,2.7
2022-03-24,pm25,25.0
2022-03-24,humidity,87.8
2022-03-24,wind-speed,2.6
2022-03-25,humidity,84.7
2022-03-25,wind-speed,3.0
2022-03-25,pm25,17.0
2022-03-26,wind-speed,3.0
2022-03-26,pm25,21.0
2022-03-26,humidity,85.2
2022-03-27,wind-speed,3.0
2022-03-27,pm25,13.0
2022-03-27,humidity,86.1
2022-03-28,wind-speed,2.6
2022-03-28,humidity,83.3
2022-03-28,pm25,17.0
2022-03-29,humidity,76.5
2022-03-29,pm25,21.0
2022-03-29,wind-speed,2.8
2022-03-30,humidity,70.0
2022-03-30,pm25,25.0
2022-03-30,wind-speed,3.7
2022-03-31,humidity,71.0
2022-03-31,pm25,38.0
2022-03-31,wind-speed,2.0
2022-04-01,humidity,72.0
2022-04-01,pm25,50.0
2022-04-01,wind-speed,2.1
2022-04-02,pm25,46.0
2022-04-02,wind-speed,2.0
2022-04-02,humidity,68.5
2022-04-03,wind-speed,2.1
2022-04-03,pm25,50.0
2022-04-03,humidity,68.3
2022-04-04,wind-speed,2.8
2022-04-04,pm25,25.0
2022-04-04,humidity,71.8
2022-04-05,pm25,30.0
2022-04-05,humidity,64.6
2022-04-05,wind-speed,2.8
2022-04-06,humidity,49.5
2022-04-06,wind-speed,1.5
2022-04-06,pm25,38.0
2022-04-07,humidity,42.5
2022-04-07,wind-speed,2.8
2022-04-07,pm25,46.0
2022-04-08,humidity,59.0
2022-04-08,pm25,53.0
2022-04-08,wind-speed,2.6
2022-04-09,pm25,53.0
2022-04-09,humidity,59.7
2022-04-09,wind-speed,2.3
2022-04-10,pm25,34.0
2022-04-10,humidity,48.6
2022-04-10,wind-speed,4.6
2022-04-11,humidity,66.6
2022-04-11,wind-speed,7.5
2022-04-11,pm25,21.0
2022-04-12,wind-speed,6.5
2022-04-12,pm25,25.0
2022-04-12,humidity,60.6
2022-04-13,wind-speed,3.1
2022-04-13,pm25,21.0
2022-04-13,humidity,66.0
2022-04-14,pm25,17.0
2022-04-14,humidity,83.5
2022-04-14,wind-speed,4.8
2022-04-15,humidity,61.3
2022-04-15,wind-speed,2.5
2022-04-15,pm25,17.0
2022-04-16,humidity,69.1
2022-04-16,wind-speed,4.6
2022-04-16,pm25,17.0
2022-04-17,wind-speed,3.3
2022-04-17,pm25,21.0
2022-04-17,humidity,62.6
2022-04-18,pm25,21.0
2022-04-18,humidity,65.0
2022-04-18,wind-speed,3.2
2022-04-19,pm25,13.0
2022-04-19,humidity,63.5
2022-04-19,wind-speed,3.3
2022-04-20,pm25,17.0
2022-04-20,wind-speed,4.8
2022-04-20,humidity,63.6
2022-04-21,wind-speed,4.0
2022-04-21,humidity,65.8
2022-04-21,pm25,25.0
2022-04-22,wind-speed,3.0
2022-04-22,humidity,67.0
2022-04-22,pm25,17.0
2022-04-23,wind-speed,1.8
2022-04-23,humidity,67.8
2022-04-23,pm25,25.0
2022-04-24,wind-speed,2.3
2022-04-24,humidity,68.0
2022-04-24,pm25,30.0
2022-04-25,humidity,69.8
2022-04-25,pm25,38.0
2022-04-25,wind-speed,2.3
2022-04-26,pm25,50.0
2022-04-26,humidity,70.0
2022-04-26,wind-speed,2.8
2022-04-27,pm25,30.0
2022-04-27,humidity,69.0
2022-04-27,wind-speed,4.0
2022-04-28,humidity,68.0
