Date,Specie,median
2022-02-15,humidity,80.5
2022-02-15,pm10,12.0
2022-02-15,pm25,27.0
2022-02-15,wind-speed,6.4
2022-02-16,pm10,14.0
2022-02-16,humidity,88.0
2022-02-16,pm25,25.0
2022-02-16,wind-speed,5.9
2022-02-17,pm10,9.0
2022-02-17,wind-speed,8.0
2022-02-17,humidity,79.0
2022-02-17,pm25,27.0
2022-02-18,humidity,77.5
2022-02-18,wind-speed,6.0
2022-02-18,pm10,12.0
2022-02-18,pm25,28.0
2022-02-19,wind-speed,7.3
2022-02-19,humidity,80.5
2022-02-19,pm25,32.0
2022-02-19,pm10,12.0
2022-02-20,humidity,82.0
2022-02-20,pm25,19.0
2022-02-20,pm10,10.0
2022-02-20,wind-speed,5.6
2022-02-21,pm10,13.0
2022-02-21,humidity,80.5
2022-02-21,pm25,33.0
2022-02-21,wind-speed,9.0
2022-02-22,humidity,73.0
2022-02-22,wind-speed,4.6
2022-02-22,pm10,17.0
2022-02-22,pm25,31.0
2022-02-23,pm25,43.0
2022-02-23,humidity,69.0
2022-02-23,wind-speed,6.8
2022-02-23,pm10,24.0
2022-02-24,pm25,30.0
2022-02-24,wind-speed,6.4
2022-02-24,humidity,73.0
2022-02-24,pm10,22.0
2022-02-25,humidity,81.0
2022-02-25,pm25,28.0
2022-02-25,pm10,14.0
2022-02-25,wind-speed,5.4
2022-02-26,humidity,65.5
2022-02-26,pm25,33.0
2022-02-26,pm10,18.0
2022-02-26,wind-speed,2.2
2022-02-27,wind-speed,2.5
2022-02-27,pm10,13.0
2022-02-27,humidity,82.5
2022-02-27,pm25,28.0
2022-02-28,pm10,16.0
2022-02-28,humidity,71.5
2022-02-28,pm25,37.0
2022-02-28,wind-speed,4.1
2022-03-01,pm25,52.0
2022-03-01,pm10,34.0
2022-03-01,wind-speed,4.8
2022-03-01,humidity,63.5
2022-03-02,pm10,27.0
2022-03-02,wind-speed,1.8
2022-03-02,pm25,47.0
2022-03-02,humidity,70.0
2022-03-03,pm25,23.0
2022-03-03,wind-speed,2.5
2022-03-03,humidity,63.0
2022-03-03,pm10,18.0
2022-03-04,wind-speed,2.4
2022-03-04,humidity,69.5
2022-03-04,pm10,46.0
2022-03-04,pm25,33.0
2022-03-05,wind-speed,1.7
2022-03-05,pm10,29.0
2022-03-05,pm25,29.0
2022-03-05,humidity,56.0
2022-03-06,pm25,32.0
2022-03-06,wind-speed,2.5
2022-03-06,humidity,56.0
2022-03-06,pm10,26.0
2022-03-07,pm25,26.0
2022-03-07,wind-speed,2.8
2022-03-07,humidity,50.5
2022-03-07,pm10,34.0
2022-03-08,humidity,73.0
2022-03-08,pm25,43.0
2022-03-08,wind-speed,2.2
2022-03-08,pm10,29.0
2022-03-09,pm10,16.0
2022-03-09,pm25,37.0
2022-03-09,humidity,85.5
2022-03-09,wind-speed,1.8
2022-03-10,pm10,25.0
2022-03-10,humidity,77.5
2022-03-10,pm25,22.0
2022-03-10,wind-speed,4.5
2022-03-11,pm10,31.0
2022-03-11,humidity,50.5
2022-03-11,wind-speed,6.1
