Date,Specie,median
2022-11-07,humidity,37.0
2022-11-07,pm25,169.0
2022-11-07,wind-speed,3.0
2022-11-08,humidity,27.5
2022-11-08,pm25,122.0
2022-11-08,wind-speed,3.3
2022-11-09,wind-speed,2.0
2022-11-09,pm25,93.0
2022-11-09,humidity,38.5
2022-11-10,humidity,24.5
2022-11-10,wind-speed,2.0
2022-11-10,pm25,91.0
2022-11-11,humidity,41.5
2022-11-11,pm25,104.0
2022-11-11,wind-speed,1.8
2022-11-12,pm25,132.0
2022-11-12,humidity,48.5
2022-11-12,wind-speed,1.5
2022-11-13,humidity,52.5
2022-11-13,wind-speed,2.0
2022-11-14,wind-speed,2.0
2022-11-14,humidity,61.0
2022-11-15,humidity,51.0
2022-11-15,wind-speed,1.5
2022-11-16,humidity,36.0
2022-11-16,wind-speed,3.0
2022-11-17,wind-speed,3.0
2022-11-17,humidity,22.0
2022-11-18,wind-speed,2.5
2022-11-18,humidity,32.5
2022-11-18,pm25,78.0
2022-11-19,wind-speed,2.5
2022-11-19,humidity,34.0
2022-11-19,pm25,95.0
2022-11-20,wind-speed,2.5
2022-11-20,humidity,33.0
2022-11-20,pm25,97.0
2022-11-21,wind-speed,3.0
2022-11-21,pm25,117.0
2022-11-21,humidity,29.0
2022-11-22,wind-speed,3.8
2022-11-22,pm25,85.0
2022-11-22,humidity,26.5
2022-11-23,humidity,30.0
2022-11-23,wind-speed,2.8
2022-11-23,pm25,122.0
2022-11-24,humidity,32.0
2022-11-24,wind-speed,2.8
2022-11-24,pm25,132.0
2022-11-25,pm25,139.0
2022-11-25,humidity,28.5
2022-11-25,wind-speed,2.8
2022-11-26,pm25,151.0
2022-11-26,humidity,48.0
2022-11-26,wind-speed,1.2
2022-11-27,humidity,52.5
2022-11-27,wind-speed,0.7
2022-11-27,pm25,153.0
2022-11-28,humidity,34.5
2022-11-28,wind-speed,2.0
2022-11-28,pm25,144.0
2022-11-29,wind-speed,1.5
2022-11-29,pm25,127.0
2022-11-29,humidity,43.5
2022-11-30,humidity,38.5
2022-11-30,pm25,149.0
2022-11-30,wind-speed,1.5
2022-12-01,wind-speed,1.2
2022-12-01,humidity,50.0
2022-12-01,pm25,132.0
2022-12-02,wind-speed,1.0
2022-12-02,pm25,159.0
2022-12-02,humidity,55.5
2022-12-03,wind-speed,2.8
2022-12-03,humidity,63.0
2022-12-03,pm25,139.0
2022-12-04,wind-speed,1.5
2022-12-04,humidity,61.5
2022-12-04,pm25,132.0
2022-12-05,wind-speed,2.0
2022-12-05,humidity,47.0
2022-12-05,pm25,151.0
2022-12-06,wind-speed,3.6
2022-12-06,humidity,29.0
2022-12-06,pm25,89.0
2022-12-07,wind-speed,3.0
2022-12-07,humidity,30.0
2022-12-07,pm25,153.0
2022-12-08,pm25,170.0
2022-12-08,humidity,33.0
2022-12-08,wind-speed,2.3
2022-12-09,pm25,191.0
2022-12-09,humidity,33.0
2022-12-09,wind-speed,2.5
2022-12-10,pm25,181.0
2022-12-10,wind-speed,3.0
2022-12-10,humidity,28.0
2022-12-11,pm25,164.0
2022-12-11,humidity,18.0
2022-12-11,wind-speed,3.0
2022-12-12,pm25,152.0
2022-12-12,humidity,24.0
2022-12-12,wind-speed,3.0
2022-12-13,humidity,19.5
2022-12-13,pm25,153.0
2022-12-13,wind-speed,3.0
2022-12-14,wind-speed,2.8
2022-12-14,humidity,18.0
2022-12-14,pm25,129.0
2022-12-15,wind-speed,2.0
2022-12-15,pm25,137.0
2022-12-15,humidity,27.0
2022-12-16,wind-speed,2.0
2022-12-16,humidity,22.0
2022-12-16,pm25,134.0
2022-12-17,wind-speed,2.8
2022-12-17,pm25,134.0
2022-12-17,humidity,19.0
2022-12-18,pm25,159.0
2022-12-18,humidity,21.5
2022-12-18,wind-speed,2.5
2022-12-19,humidity,23.0
