Date,Specie,median
2022-02-21,wind-speed,9.0
2022-02-21,pm10,30.0
2022-02-21,pm25,53.0
2022-02-22,humidity,88.0
2022-02-22,pm10,30.0
2022-02-22,wind-speed,5.0
2022-02-22,pm25,42.0
2022-02-23,wind-speed,4.7
2022-02-23,humidity,88.5
2022-02-23,pm10,23.0
2022-02-23,pm25,30.0
2022-02-24,pm25,21.0
2022-02-24,pm10,17.0
2022-02-24,wind-speed,4.6
2022-02-24,humidity,73.2
2022-02-25,wind-speed,3.4
2022-02-25,humidity,80.0
2022-02-25,pm10,24.0
2022-02-25,pm25,38.0
2022-02-26,pm10,22.0
2022-02-26,humidity,81.2
2022-02-26,wind-speed,4.2
2022-02-26,pm25,42.0
2022-02-27,humidity,79.0
2022-02-27,pm10,22.0
2022-02-27,wind-speed,4.0
2022-02-27,pm25,50.0
2022-02-28,pm10,14.0
2022-02-28,wind-speed,2.0
2022-02-28,humidity,90.0
2022-02-28,pm25,38.0
2022-03-01,wind-speed,4.0
2022-03-01,humidity,85.5
2022-03-01,pm10,10.0
2022-03-01,pm25,38.0
2022-03-02,humidity,90.0
2022-03-02,pm25,61.0
2022-03-02,pm10,17.0
2022-03-02,wind-speed,7.3
2022-03-03,humidity,90.0
2022-03-03,pm10,9.0
2022-03-03,pm25,34.0
2022-03-03,wind-speed,4.2
2022-03-04,pm10,13.0
2022-03-04,pm25,38.0
2022-03-04,humidity,84.3
2022-03-04,wind-speed,4.1
2022-03-05,wind-speed,6.0
2022-03-05,pm10,10.0
2022-03-05,pm25,25.0
2022-03-05,humidity,71.2
2022-03-06,pm10,11.0
2022-03-06,wind-speed,3.5
2022-03-06,pm25,38.0
2022-03-06,humidity,72.9
2022-03-07,wind-speed,7.6
2022-03-07,pm10,14.0
2022-03-07,humidity,68.4
2022-03-07,pm25,30.0
2022-03-08,pm25,78.0
2022-03-08,humidity,79.0
2022-03-08,wind-speed,3.7
2022-03-08,pm10,32.0
2022-03-09,pm25,50.0
2022-03-09,wind-speed,3.9
2022-03-09,humidity,85.0
2022-03-09,pm10,21.0
2022-03-10,pm25,46.0
2022-03-10,pm10,18.0
2022-03-10,humidity,84.5
2022-03-10,wind-speed,2.3
2022-03-11,humidity,89.0
2022-03-11,pm10,17.0
2022-03-11,pm25,46.0
2022-03-11,wind-speed,2.5
2022-03-12,pm10,19.0
2022-03-12,pm25,46.0
2022-03-12,humidity,84.2
2022-03-12,wind-speed,6.0
2022-03-13,humidity,81.4
2022-03-13,wind-speed,3.0
2022-03-13,pm10,22.0
2022-03-13,pm25,50.0
2022-03-14,humidity,83.6
2022-03-14,pm25,38.0
2022-03-14,pm10,19.0
2022-03-14,wind-speed,1.2
2022-03-15,wind-speed,1.1
2022-03-15,pm25,55.0
2022-03-15,pm10,21.0
2022-03-15,humidity,82.5
2022-03-16,pm25,59.0
2022-03-16,humidity,84.0
2022-03-16,pm10,21.0
2022-03-16,wind-speed,3.2
2022-03-17,pm25,42.0
2022-03-17,pm10,16.0
2022-03-17,humidity,89.1
2022-03-17,wind-speed,3.0
2022-03-18,humidity,78.6
2022-03-18,pm10,16.0
2022-03-18,wind-speed,1.2
2022-03-18,pm25,50.0
2022-03-19,wind-speed,4.7
2022-03-19,pm25,59.0
2022-03-19,humidity,54.0
2022-03-19,pm10,22.0
2022-03-20,wind-speed,2.7
2022-03-20,pm25,50.0
2022-03-20,humidity,60.1
2022-03-20,pm10,18.0
2022-03-21,pm25,78.0
2022-03-21,humidity,70.2
2022-03-21,pm10,33.0
2022-03-21,wind-speed,2.2
2022-03-22,pm10,28.0
2022-03-22,wind-speed,2.3
2022-03-22,pm25,72.0
2022-03-22,humidity,68.5
2022-03-23,pm10,24.0
2022-03-23,wind-speed,1.9
2022-03-23,humidity,63.8
2022-03-23,pm25,65.0
2022-03-24,pm10,44.0
2022-03-24,wind-speed,0.7
2022-03-24,humidity,66.6
2022-03-24,pm25,97.0
2022-03-25,humidity,65.7
2022-03-25,pm10,44.0
2022-03-25,pm25,99.0
2022-03-25,wind-speed,0.7
2022-03-26,pm25,85.0
2022-03-26,pm10,37.0
2022-03-26,wind-speed,1.7
2022-03-26,humidity,61.7
2022-03-27,humidity,74.0
2022-03-27,wind-speed,1.5
2022-03-27,pm25,70.0
2022-03-27,pm10,24.0
2022-03-28,pm10,31.0
2022-03-28,wind-speed,1.2
2022-03-28,humidity,77.3
2022-03-28,pm25,78.0
2022-03-29,humidity,75.2
2022-03-29,pm10,37.0
2022-03-29,wind-speed,0.7
2022-03-29,pm25,91.0
2022-03-30,pm25,114.0
2022-03-30,pm10,46.0
2022-03-30,wind-speed,3.1
2022-03-30,humidity,83.7
2022-03-31,humidity,72.2
2022-03-31,wind-speed,7.4
2022-03-31,pm10,8.0
2022-03-31,pm25,30.0
2022-04-01,pm10,6.0
2022-04-01,pm25,9.0
2022-04-01,wind-speed,5.5
2022-04-01,humidity,68.8
2022-04-02,pm25,25.0
2022-04-02,humidity,71.6
2022-04-02,wind-speed,1.0
2022-04-02,pm10,12.0
2022-04-03,wind-speed,2.0
2022-04-03,humidity,71.7
2022-04-03,pm10,16.0
2022-04-03,pm25,38.0
2022-04-04,humidity,87.5
2022-04-04,pm10,10.0
2022-04-04,wind-speed,3.7
2022-04-04,pm25,17.0
2022-04-05,humidity,82.5
2022-04-05,wind-speed,5.5
2022-04-05,pm10,20.0
2022-04-05,pm25,30.0
2022-04-06,wind-speed,7.0
2022-04-06,pm25,34.0
2022-04-06,humidity,89.0
2022-04-06,pm10,25.0
2022-04-07,pm10,22.0
2022-04-07,wind-speed,7.9
2022-04-07,humidity,72.5
2022-04-07,pm25,25.0
2022-04-08,pm25,17.0
2022-04-08,pm10,10.0
2022-04-08,wind-speed,3.7
2022-04-08,humidity,72.1
2022-04-09,pm25,17.0
2022-04-09,wind-speed,3.2
2022-04-09,pm10,13.0
2022-04-09,humidity,71.4
2022-04-10,pm25,21.0
2022-04-10,pm10,13.0
2022-04-10,wind-speed,3.0
2022-04-10,humidity,69.8
2022-04-11,humidity,67.7
2022-04-11,pm25,30.0
2022-04-11,pm10,20.0
2022-04-11,wind-speed,5.5
2022-04-12,pm10,23.0
2022-04-12,humidity,86.5
2022-04-12,pm25,46.0
2022-04-12,wind-speed,2.1
2022-04-13,humidity,93.0
2022-04-13,pm25,25.0
2022-04-13,pm10,16.0
2022-04-13,wind-speed,1.7
2022-04-14,pm10,25.0
2022-04-14,wind-speed,0.4
2022-04-14,pm25,42.0
2022-04-14,humidity,89.5
2022-04-15,wind-speed,2.0
2022-04-15,pm10,13.0
2022-04-15,pm25,25.0
2022-04-15,humidity,85.7
2022-04-16,humidity,78.7
2022-04-16,wind-speed,2.0
2022-04-16,pm10,21.0
2022-04-16,pm25,46.0
2022-04-17,pm10,26.0
2022-04-17,humidity,76.5
2022-04-17,wind-speed,2.0
2022-04-17,pm25,61.0
2022-04-18,humidity,82.5
2022-04-18,pm25,17.0
2022-04-18,pm10,19.0
2022-04-18,wind-speed,2.7
2022-04-19,humidity,73.2
2022-04-19,pm10,10.0
2022-04-19,pm25,17.0
2022-04-19,wind-speed,2.7
2022-04-20,wind-speed,1.5
2022-04-20,pm25,42.0
2022-04-20,humidity,72.6
2022-04-20,pm10,26.0
2022-04-21,wind-speed,2.7
2022-04-21,pm10,23.0
2022-04-21,pm25,46.0
2022-04-21,humidity,61.5
2022-04-22,wind-speed,5.5
2022-04-22,pm10,19.0
2022-04-22,humidity,64.5
2022-04-22,pm25,38.0
2022-04-23,pm10,23.0
2022-04-23,wind-speed,6.0
2022-04-23,pm25,55.0
2022-04-23,humidity,69.3
2022-04-24,pm10,22.0
2022-04-24,wind-speed,3.5
2022-04-24,pm25,53.0
2022-04-24,humidity,67.1
2022-04-25,pm10,21.0
2022-04-25,pm25,42.0
2022-04-25,humidity,70.5
2022-04-25,wind-speed,2.3
2022-04-26,wind-speed,1.4
2022-04-26,pm10,17.0
2022-04-26,humidity,67.0
2022-04-26,pm25,34.0
2022-04-27,pm10,14.0
2022-04-27,humidity,64.2
2022-04-27,wind-speed,5.0
2022-04-27,pm25,25.0
2022-04-28,wind-speed,2.0
2022-04-28,pm25,34.0
2022-04-28,humidity,70.7
2022-04-28,pm10,19.0
2022-04-29,humidity,71.5
2022-04-29,pm25,57.0
2022-04-29,pm10,27.0
2022-04-29,wind-speed,1.0
2022-04-30,pm10,22.0
2022-04-30,wind-speed,1.6
2022-04-30,humidity,70.9
2022-04-30,pm25,53.0
2022-05-01,humidity,91.0
2022-05-01,pm25,46.0
2022-05-01,pm10,19.0
2022-05-01,wind-speed,0.7
2022-05-02,wind-speed,1.2
2022-05-02,humidity,87.5
2022-05-02,pm10,18.0
2022-05-02,pm25,50.0
2022-05-03,humidity,86.2
2022-05-03,pm25,59.0
2022-05-03,pm10,26.0
2022-05-03,wind-speed,1.5
2022-05-04,pm10,17.0
2022-05-04,wind-speed,3.0
2022-05-04,humidity,84.5
2022-05-04,pm25,30.0
2022-05-05,wind-speed,3.2
2022-05-05,pm25,42.0
2022-05-05,humidity,88.4
2022-05-05,pm10,20.0
2022-05-06,pm10,14.0
2022-05-06,humidity,85.7
2022-05-06,wind-speed,2.3
2022-05-06,pm25,21.0
2022-05-07,pm10,12.0
2022-05-07,wind-speed,1.6
2022-05-07,humidity,78.8
2022-05-07,pm25,21.0
2022-05-08,humidity,76.1
2022-05-08,wind-speed,2.3
2022-05-08,pm10,16.0
2022-05-08,pm25,38.0
2022-05-09,pm10,24.0
2022-05-09,pm25,42.0
2022-05-09,humidity,80.2
2022-05-09,wind-speed,3.6
2022-05-10,pm10,28.0
2022-05-10,humidity,86.5
2022-05-10,wind-speed,4.5
2022-05-10,pm25,34.0
2022-05-11,pm10,20.0
2022-05-11,humidity,85.0
2022-05-11,pm25,25.0
2022-05-11,wind-speed,3.5
2022-05-12,pm10,17.0
2022-05-12,pm25,25.0
2022-05-12,humidity,80.7
2022-05-12,wind-speed,3.3
2022-05-13,humidity,81.7
2022-05-13,pm10,26.0
2022-05-13,pm25,34.0
2022-05-13,wind-speed,4.3
2022-05-14,wind-speed,2.5
2022-05-14,humidity,75.7
2022-05-14,pm25,38.0
2022-05-14,pm10,27.0
2022-05-15,pm25,38.0
2022-05-15,pm10,13.0
2022-05-15,wind-speed,3.5
2022-05-15,humidity,80.1
2022-05-16,pm25,53.0
2022-05-16,wind-speed,1.2
2022-05-16,pm10,24.0
2022-05-16,humidity,87.5
2022-05-17,pm10,25.0
2022-05-17,pm25,42.0
2022-05-17,wind-speed,2.3
2022-05-17,humidity,81.5
2022-05-18,pm10,20.0
2022-05-18,humidity,84.0
2022-05-18,wind-speed,2.7
2022-05-18,pm25,30.0
2022-05-19,pm25,25.0
2022-05-19,humidity,78.9
2022-05-19,pm10,22.0
2022-05-19,wind-speed,2.3
2022-05-20,pm10,18.0
2022-05-20,humidity,83.0
2022-05-20,pm25,34.0
2022-05-20,wind-speed,5.2
2022-05-21,pm10,21.0
2022-05-21,pm25,25.0
2022-05-21,humidity,78.5
2022-05-21,wind-speed,3.5
2022-05-22,pm25,21.0
2022-05-22,pm10,10.0
2022-05-22,humidity,82.2
2022-05-22,wind-speed,1.5
2022-05-23,pm25,13.0
2022-05-23,wind-speed,2.0
2022-05-23,pm10,10.0
2022-05-23,humidity,81.7
2022-05-24,pm10,9.0
2022-05-24,humidity,78.8
2022-05-24,pm25,17.0
2022-05-24,wind-speed,3.7
2022-05-25,pm25,25.0
2022-05-25,pm10,17.0
2022-05-25,humidity,83.9
2022-05-25,wind-speed,4.8
2022-05-26,wind-speed,4.3
2022-05-26,humidity,88.0
2022-05-26,pm25,30.0
2022-05-26,pm10,17.0
2022-05-27,wind-speed,4.6
2022-05-27,pm25,25.0
2022-05-27,pm10,14.0
2022-05-27,humidity,66.0
2022-05-28,pm25,25.0
2022-05-28,wind-speed,2.0
2022-05-28,humidity,70.4
2022-05-28,pm10,12.0
2022-05-29,pm10,8.0
2022-05-29,pm25,21.0
2022-05-29,humidity,74.5
2022-05-29,wind-speed,2.5
2022-05-30,wind-speed,2.0
2022-05-30,humidity,74.0
2022-05-30,pm25,17.0
2022-05-30,pm10,8.0
2022-05-31,humidity,72.2
2022-05-31,pm10,8.0
2022-05-31,pm25,13.0
2022-05-31,wind-speed,4.0
2022-06-01,wind-speed,2.8
2022-06-01,humidity,71.1
2022-06-01,pm10,8.0
2022-06-01,pm25,17.0
2022-06-02,humidity,66.5
2022-06-02,wind-speed,2.3
2022-06-02,pm10,9.0
2022-06-02,pm25,25.0
2022-06-03,wind-speed,1.5
2022-06-03,pm25,34.0
2022-06-03,humidity,62.0
2022-06-03,pm10,15.0
2022-06-04,wind-speed,6.2
2022-06-04,pm10,14.0
2022-06-04,pm25,34.0
2022-06-04,humidity,69.0
2022-06-05,humidity,88.0
2022-06-05,pm25,25.0
2022-06-05,pm10,7.0
2022-06-05,wind-speed,2.2
2022-06-06,wind-speed,2.4
2022-06-06,pm10,10.0
2022-06-06,pm25,25.0
2022-06-06,humidity,87.5
2022-06-07,wind-speed,0.5
2022-06-07,pm10,10.0
2022-06-07,pm25,25.0
2022-06-07,humidity,84.2
2022-06-08,wind-speed,3.2
2022-06-08,pm10,26.0
2022-06-08,humidity,80.5
2022-06-08,pm25,38.0
2022-06-09,pm10,27.0
2022-06-09,pm25,38.0
2022-06-09,humidity,89.5
2022-06-09,wind-speed,2.5
2022-06-10,humidity,82.2
2022-06-10,pm10,42.0
2022-06-10,wind-speed,4.0
2022-06-10,pm25,53.0
2022-06-11,pm25,42.0
2022-06-11,humidity,79.2
2022-06-11,pm10,36.0
2022-06-11,wind-speed,5.0
2022-06-12,humidity,71.2
2022-06-12,pm10,25.0
2022-06-12,pm25,42.0
2022-06-12,wind-speed,3.0
2022-06-13,wind-speed,3.2
2022-06-13,pm25,25.0
2022-06-13,pm10,12.0
2022-06-13,humidity,68.7
2022-06-14,humidity,67.5
2022-06-14,wind-speed,0.7
2022-06-14,pm10,12.0
2022-06-14,pm25,25.0
2022-06-15,pm25,38.0
2022-06-15,humidity,71.6
2022-06-15,wind-speed,2.5
2022-06-15,pm10,18.0
2022-06-16,pm25,38.0
2022-06-16,humidity,67.2
2022-06-16,wind-speed,1.2
2022-06-16,pm10,17.0
2022-06-17,pm10,20.0
2022-06-17,pm25,46.0
2022-06-17,humidity,78.5
2022-06-17,wind-speed,2.6
2022-06-18,pm10,10.0
2022-06-18,pm25,30.0
2022-06-18,humidity,87.5
2022-06-18,wind-speed,3.5
2022-06-19,humidity,70.3
2022-06-19,pm25,21.0
2022-06-19,pm10,10.0
2022-06-19,wind-speed,5.0
2022-06-20,pm10,12.0
2022-06-20,wind-speed,2.5
2022-06-20,pm25,30.0
2022-06-20,humidity,68.7
2022-06-21,wind-speed,2.5
2022-06-21,pm10,18.0
2022-06-21,humidity,70.2
2022-06-21,pm25,46.0
2022-06-22,wind-speed,1.7
2022-06-22,pm10,20.0
2022-06-22,humidity,64.5
2022-06-22,pm25,46.0
2022-06-23,pm10,22.0
2022-06-23,pm25,50.0
2022-06-23,humidity,76.2
2022-06-23,wind-speed,1.0
2022-06-24,wind-speed,1.7
2022-06-24,pm10,13.0
2022-06-24,pm25,30.0
2022-06-24,humidity,86.5
2022-06-25,wind-speed,5.0
2022-06-25,pm10,17.0
2022-06-25,pm25,25.0
2022-06-25,humidity,77.2
2022-06-26,wind-speed,7.5
2022-06-26,pm25,30.0
2022-06-26,pm10,24.0
2022-06-26,humidity,74.7
2022-06-27,wind-speed,4.0
2022-06-27,pm10,19.0
2022-06-27,humidity,72.3
2022-06-27,pm25,25.0
