Date,Specie,median
2022-01-01,humidity,67.1
2022-01-01,pm25,14.0
2022-01-01,wind-speed,2.5
2022-01-01,pm10,8.0
2022-01-02,humidity,65.7
2022-01-02,pm25,27.0
2022-01-02,pm10,11.0
2022-01-02,wind-speed,1.4
2022-01-03,pm25,57.0
2022-01-03,humidity,69.6
2022-01-03,wind-speed,1.6
2022-01-03,pm10,15.0
2022-01-04,wind-speed,2.2
2022-01-04,pm25,18.0
2022-01-04,humidity,66.0
2022-01-04,pm10,16.0
2022-01-05,pm25,18.0
2022-01-05,wind-speed,2.8
2022-01-05,pm10,8.0
2022-01-05,humidity,84.9
2022-01-06,pm10,5.0
2022-01-06,pm25,19.0
2022-01-06,humidity,82.0
2022-01-06,wind-speed,2.1
2022-01-07,pm10,7.0
2022-01-07,pm25,6.0
2022-01-07,humidity,56.8
2022-01-07,wind-speed,2.7
2022-01-08,pm10,5.0
2022-01-08,pm25,5.0
2022-01-08,humidity,66.8
2022-01-08,wind-speed,2.5
2022-01-09,pm10,9.0
2022-01-09,pm25,22.0
2022-01-09,wind-speed,1.6
2022-01-09,humidity,69.9
2022-01-10,pm25,50.0
2022-01-10,wind-speed,1.6
2022-01-10,pm10,20.0
2022-01-10,humidity,73.0
2022-01-11,pm25,76.0
2022-01-11,humidity,74.0
2022-01-11,pm10,33.0
2022-01-11,wind-speed,1.7
2022-01-12,pm10,33.0
2022-01-12,humidity,72.0
2022-01-12,pm25,76.0
2022-01-12,wind-speed,2.0
2022-01-13,pm25,81.0
2022-01-13,wind-speed,1.5
2022-01-13,humidity,79.0
2022-01-13,pm10,39.0
2022-01-14,humidity,82.0
2022-01-14,wind-speed,2.0
2022-01-14,pm25,78.0
2022-01-14,pm10,29.0
2022-01-15,pm25,65.0
2022-01-15,pm10,24.0
2022-01-15,wind-speed,2.0
2022-01-15,humidity,78.0
2022-01-16,wind-speed,2.0
2022-01-16,pm25,74.0
2022-01-16,pm10,30.0
2022-01-16,humidity,78.6
2022-01-17,humidity,80.8
2022-01-17,pm10,32.0
2022-01-17,wind-speed,1.5
2022-01-17,pm25,89.0
2022-01-18,wind-speed,1.5
2022-01-18,pm25,106.0
2022-01-18,humidity,84.0
2022-01-18,pm10,47.0
2022-01-19,wind-speed,1.5
2022-01-19,pm25,89.0
2022-01-19,humidity,86.0
2022-01-19,pm10,40.0
2022-01-20,humidity,79.2
2022-01-20,pm25,57.0
2022-01-20,wind-speed,1.8
2022-01-20,pm10,23.0
2022-01-21,humidity,86.0
