Date,Specie,median
2022-02-21,wind-speed,3.5
2022-02-21,pm10,16.0
2022-02-21,pm25,21.0
2022-02-22,humidity,44.8
2022-02-22,pm10,14.0
2022-02-22,wind-speed,3.5
2022-02-22,pm25,17.0
2022-02-23,wind-speed,3.9
2022-02-23,humidity,52.1
2022-02-23,pm10,11.0
2022-02-23,pm25,17.0
2022-02-24,pm25,21.0
2022-02-24,pm10,10.0
2022-02-24,wind-speed,2.1
2022-02-24,humidity,61.1
2022-02-25,wind-speed,1.9
2022-02-25,humidity,52.3
2022-02-25,pm10,14.0
2022-02-25,pm25,25.0
2022-02-26,pm10,16.0
2022-02-26,humidity,43.6
2022-02-26,wind-speed,1.7
2022-02-26,pm25,30.0
2022-02-27,humidity,31.0
2022-02-27,pm10,11.0
2022-02-27,wind-speed,1.5
2022-02-27,pm25,21.0
2022-02-28,pm10,20.0
2022-02-28,wind-speed,1.0
2022-02-28,humidity,29.1
2022-02-28,pm25,25.0
2022-03-01,wind-speed,1.8
2022-03-01,humidity,26.6
2022-03-01,pm10,23.0
2022-03-01,pm25,21.0
2022-03-02,humidity,24.4
2022-03-02,pm25,25.0
2022-03-02,pm10,22.0
2022-03-02,wind-speed,1.3
2022-03-03,humidity,17.0
2022-03-03,pm10,23.0
2022-03-03,pm25,21.0
2022-03-03,wind-speed,3.3
2022-03-04,pm10,21.0
2022-03-04,pm25,21.0
2022-03-04,humidity,22.1
2022-03-04,wind-speed,5.5
2022-03-05,wind-speed,3.2
2022-03-05,pm10,12.0
2022-03-05,pm25,17.0
2022-03-05,humidity,42.0
2022-03-06,pm10,12.0
2022-03-06,wind-speed,2.1
2022-03-06,pm25,17.0
2022-03-06,humidity,34.3
2022-03-07,wind-speed,2.0
2022-03-07,pm10,17.0
2022-03-07,humidity,27.0
2022-03-07,pm25,17.0
2022-03-08,pm25,21.0
2022-03-08,humidity,22.7
2022-03-08,wind-speed,2.1
2022-03-08,pm10,15.0
2022-03-09,pm25,21.0
2022-03-09,wind-speed,1.5
2022-03-09,humidity,24.0
2022-03-09,pm10,17.0
2022-03-10,pm25,21.0
2022-03-10,pm10,21.0
2022-03-10,humidity,25.9
2022-03-10,wind-speed,5.4
2022-03-11,humidity,20.2
2022-03-11,pm10,19.0
2022-03-11,pm25,13.0
2022-03-11,wind-speed,3.4
2022-03-12,pm10,14.0
2022-03-12,pm25,17.0
2022-03-12,humidity,17.2
2022-03-12,wind-speed,1.6
2022-03-13,humidity,15.7
2022-03-13,wind-speed,1.8
2022-03-13,pm10,14.0
2022-03-13,pm25,17.0
2022-03-14,humidity,17.2
2022-03-14,pm25,21.0
2022-03-14,pm10,26.0
2022-03-14,wind-speed,2.0
2022-03-15,wind-speed,1.9
2022-03-15,pm25,25.0
2022-03-15,pm10,29.0
2022-03-15,humidity,16.4
2022-03-16,pm25,30.0
2022-03-16,humidity,19.0
2022-03-16,pm10,31.0
2022-03-16,wind-speed,3.0
2022-03-17,pm25,25.0
2022-03-17,pm10,20.0
2022-03-17,humidity,24.5
2022-03-17,wind-speed,2.0
2022-03-18,humidity,15.7
2022-03-18,pm10,20.0
2022-03-18,wind-speed,2.2
2022-03-18,pm25,21.0
2022-03-19,wind-speed,1.9
2022-03-19,pm25,21.0
2022-03-19,humidity,11.7
2022-03-19,pm10,19.0
2022-03-20,wind-speed,4.0
2022-03-20,pm25,25.0
2022-03-20,humidity,28.5
2022-03-20,pm10,18.0
2022-03-21,pm25,25.0
2022-03-21,humidity,32.0
2022-03-21,pm10,26.0
2022-03-21,wind-speed,3.3
