Wavelength [nm];Reflectivity
1000.00000;0.593656000
1006.00000;0.593373540
1012.00000;0.593326990
1018.00000;0.596408900
1023.50000;0.596510830
1028.50000;0.598764780
1033.50000;0.600133060
1038.50000;0.598964390
1043.49990;0.601463440
1048.49990;0.601898490
1053.49990;0.603759230
1058.49990;0.602123200
1063.49990;0.602978110
1068.49990;0.604604960
1073.50000;0.606282170
1078.50000;0.606669720
1083.50000;0.607104120
1088.50000;0.607322930
1093.50000;0.607229770
1098.50000;0.609358250
1103.50000;0.607924100
1108.50000;0.610717300
1113.50000;0.611230670
1118.50000;0.611582760
1123.50000;0.610484900
1128.50000;0.610027430
1133.50000;0.611361440
1138.50000;0.615361210
1143.50000;0.612338900
1148.50000;0.614453970
1153.50000;0.614673140
1158.50000;0.615831550
1163.50000;0.615422790
1168.49990;0.614299480
1173.50010;0.615438340
1178.50010;0.617520090
1183.50010;0.615745960
1188.50000;0.619000380
1193.50000;0.617349510
1198.50000;0.618964670
1203.50000;0.618146000
1208.50000;0.618471920
1213.50000;0.617607300
1218.50000;0.619904220
1223.50000;0.618834200
1228.50000;0.619149680
1233.50000;0.621080220
1238.50000;0.619197430
1243.50000;0.622566040
1248.50000;0.621439810
1253.50000;0.621931490
1258.50000;0.621752860
1263.50000;0.621995030
1268.50000;0.623828530
1273.50010;0.621907000
1278.50010;0.624103070
1283.50010;0.622537430
1288.50010;0.624385120
1293.50010;0.623747110
1298.50010;0.623785440
1303.49990;0.626249850
1308.49990;0.626736580
1313.49990;0.626527730
1318.49990;0.627165970
1323.49990;0.625363290
1328.49990;0.626437370
1333.49990;0.627985840
1338.49990;0.627955380
1343.49990;0.626188810
1348.49990;0.628239210
1353.49990;0.627799930
1358.49990;0.629120710
1363.49990;0.626829150
1368.49990;0.627260210
1373.50000;0.628567870
1378.50000;0.627476270
1383.50000;0.628961920
1388.50000;0.628231530
1393.50000;0.627860190
1398.50000;0.627717790
1403.50000;0.624382730
1408.50000;0.623019930
1413.50000;0.621723470
1418.49990;0.622409340
1423.49990;0.623378570
1428.49990;0.625945030
1433.49990;0.624415340
1438.49990;0.624955060
1443.49990;0.625896510
1448.49990;0.627776680
1453.49990;0.626890720
1458.49990;0.627212290
1463.49990;0.629207730
1468.49990;0.632340850
1473.50000;0.631555320
1478.50000;0.632525500
1483.50000;0.633297740
1488.50000;0.633564350
1493.50000;0.633825960
1498.50000;0.630763410
1503.50000;0.631514370
1508.50000;0.633325760
1513.50000;0.633605480
1518.50000;0.636577960
1523.50000;0.634788510
1528.50000;0.636468350
1533.99990;0.638032670
1540.00000;0.637340610
1546.00000;0.638662760
1551.99990;0.636379060
1558.00000;0.641622960
1563.99990;0.640356420
1570.50000;0.637280580
1577.50000;0.640094820
1584.50000;0.641847850
1591.50000;0.641659740
1598.50000;0.639849130
1605.50000;0.641163230
1612.50000;0.641121750
1619.49990;0.640536790
1626.50000;0.643327650
1633.50000;0.642193140
1640.49990;0.645778540
1647.49990;0.643388150
1654.49990;0.643508080
1661.50000;0.644828020
1668.49990;0.644918260
1676.00010;0.642838180
1684.00000;0.640697360
1692.00000;0.646568890
1700.00000;0.649238290
1708.00010;0.646774170
1716.00010;0.647680820
1724.00000;0.643933480
1732.00000;0.647252740
1740.00000;0.643970070
1748.00000;0.650251870
1756.00000;0.650220570
