Wavelength [nm];Reflectivity
1036;32.1132
1040;32.3176
1044;32.8913
1048;33.1814
1052;33.1445
1056;33.031
1060;32.5535
1064;33.0105
1068;33.2406
1072;33.6245
1076;33.1066
1080;33.2613
1084;33.7943
1088;33.6627
1092;33.5857
1096;33.8331
1100;34.3492
1104;34.3126
1108;34.1925
1112;34.2482
1116;34.5514
1120;34.4767
1124;34.382
1128;34.3428
1132;34.3913
1136;34.5786
1140;34.7945
1144;34.7354
1148;34.9466
1152;34.5662
1156;34.793
1160;34.8597
1164;34.8156
1168;34.8872
1172;35.1077
1176;35.6867
1180;35.8769
1184;35.8968
1188;35.9368
1192;36.017
1196;36.0572
1200;35.9859
1204;35.9477
1208;35.9881
1212;36.6064
1216;37.0479
1220;37.0955
1224;36.8571
1228;36.4021
1232;36.3204
1236;36.2728
1240;36.3235
1244;36.6178
1248;36.7089
1252;37.2096
1256;37.3299
1260;37.5132
1264;37.5406
1268;37.498
1272;37.498
1276;37.8116
1280;37.8641
1284;37.84
1288;37.8922
1292;37.6541
1296;37.9907
1300;37.9486
1304;37.9066
1308;38.1153
1312;38.2249
1316;38.2249
1320;38.292
1324;38.3132
1328;38.1721
1332;38.0712
1336;38.2842
1340;38.042
1344;38.2665
1348;38.3684
1352;38.1687
1356;38.4965
1360;38.3322
1364;38.4318
1368;38.5262
1372;38.2418
1376;38.2404
1380;38.4193
1384;38.4091
1388;38.1851
1392;38.1293
1396;38.0047
1400;38.0047
1404;38.1365
1408;37.4212
1412;37.4994
1416;37.8142
1420;37.9474
1424;38.1816
1428;38.1995
1432;38.1019
1436;38.2842
1440;38.3933
1444;38.4624
1448;38.4252
1452;38.6877
1456;38.8149
1460;38.7032
1464;38.744
1468;38.7013
1472;38.8529
1476;38.8529
1480;39.1677
1484;39.3201
1488;39.429
1492;39.4728
1496;39.5166
1500;39.506
1504;39.5696
1508;39.5906
1512;39.5266
1516;39.5266
1520;39.207
1524;39.3411
1528;39.6609
1532;40.2177
1536;40.0092
1540;39.7459
1544;39.8106
1548;39.8754
1552;40.0601
1556;40.1886
1560;40.2808
1564;40.2154
1568;40.0653
1572;40.1501
1576;40.2565
1580;40.2372
1584;40.0653
1588;40.1088
1592;40.2372
1596;40.2348
1600;40.1046
1604;40.1263
1608;40.1674
1612;40.1954
1616;40.1457
1620;40.5791
1624;40.4228
1628;40.426
1632;40.6633
1636;40.8135
1640;40.7694
1644;40.719
1648;40.4822
1652;40.5693
1656;40.741
1660;40.7654
1664;40.4822
1668;40.5226
1672;40.7176
1676;40.883
1680;40.8173
1684;40.7299
1688;40.8749
1692;40.9581
1696;40.7622
1700;40.9889
1704;40.9497
1708;40.9714
1712;40.8056
1716;41.0062
1720;41.0813
1724;41.0704
1728;41.0813
1732;40.9666
1736;41.0953
1740;41.0246
1744;40.9634
1748;41.0513
1752;41.4066
1756;41.2846
1760;41.1223
1764;41.1395
1768;41.0073
1772;41.0246
1776;41.1243
1780;41.2953
1784;41.2025
1788;41.1587
1792;41.1806
1796;41.268
1800;41.334
1804;41.1587
1808;41.2463
1812;41.4223
1816;41.4171
1820;41.3285
1824;41.4166
1828;41.5168
1832;41.4117
1836;41.4566
1840;41.4957
1844;41.4228
1848;41.4501
1852;41.2632
1856;41.3505
1860;41.5109
1864;41.6676
1868;41.1695
1872;40.9064
1876;40.7394
1880;40.5759
1884;40.0707
1888;40.1614
1892;39.5804
1896;38.8631
1900;38.3081
1904;37.7465
1908;37.9487
1912;37.6564
1916;37.5492
1920;37.6318
1924;37.7428
1928;37.9425
1932;37.9487
1936;38.0424
1940;38.5389
1944;38.5325
1948;38.512
1952;38.6787
1956;38.6582
1960;38.6798
1964;38.6605
1968;38.8023
1972;39.0495
1976;39.3002
1980;39.3997
1984;39.4611
1988;39.6458
1992;39.8302
1996;39.9564
2000;40.0591
2004;40.2826
2008;40.385
2012;40.4241
2016;40.3578
2020;40.3935
2024;40.3935
2028;40.4563
2032;40.5144
2036;40.5718
2040;40.5509
2044;40.5335
2048;40.9375
2052;40.8532
2056;40.7273
2060;40.8702
2064;41.1097
2068;40.9465
2072;40.7654
2076;41.1097
2079.5;41.0841
2080.3;41.1171
2081.2;41.2736
2082;41.1056
2082.8;41.0033
2083.7;41.1693
2084.5;41.255
2085.3;41.1
2086.2;40.9345
2087;40.953
2087.9;40.9674
2088.7;40.9601
2089.5;41.0192
2090.4;41.2416
2091.2;41.2401
2092.1;41.133
2092.9;41.1635
2093.8;41.2665
2094.6;41.1477
2095.5;41.0192
2096.3;41.0656
2097.1;41.0797
2098;41.2416
2098.8;41.3129
2099.7;41.1679
2100.5;41.1549
2101.4;41.1549
2102.3;41.1508
2103.1;41.1608
2104;41.2042
2104.8;41.2621
2105.7;41.2592
2106.5;41.0985
2107.4;40.963
2108.2;41.0463
2109.1;41.0826
2110;41.1085
2110.8;41.1344
2111.7;41.1315
2112.5;41.2127
2113.4;41.3244
2114.3;41.298
2115.1;41.3577
2116;41.3114
2116.8;41.2072
2117.7;41.0656
2118.6;40.9689
2119.4;41.0785
2120.3;41.2794
2121.2;41.3214
2122;41.3214
2122.9;41.298
2123.8;41.0797
2124.7;41.0376
2125.5;41.2516
2126.4;41.1981
2127.3;41.0871
2128.1;41.0551
2129;41.0062
2129.9;40.9975
2130.8;41.0476
2131.6;41.12
2132.5;41.1273
2133.4;41.0785
2134.3;41.1144
2135.2;41.1535
2136;41.0756
2136.9;41.0871
2137.8;41.1852
2138.7;41.1
2139.6;41.0856
2140.4;41.1622
2141.3;41.1344
2142.2;41.1377
2143.1;41.12
2144;40.9818
2144.9;41.0363
2145.8;41.0233
2146.6;40.8913
2147.5;40.963
2148.4;41.0597
2149.3;41.0741
2150.2;40.9704
