,timestamps,P_bi 
0,11_01_00,0.0
1,11_01_01,0.0
2,11_01_02,0.0
3,11_01_03,0.0
4,11_01_04,0.0
5,11_01_05,0.0
6,11_01_06,0.0
7,11_01_07,24.697529818801087
8,11_01_08,36.392167903512124
9,11_01_09,266.6938277452704
10,11_01_10,291.8643243757899
11,11_01_11,306.3768495864354
12,11_01_12,163.479841601948
13,11_01_13,170.93828751618017
14,11_01_14,85.43853696043378
15,11_01_15,26.052281557816414
16,11_01_16,23.88337958512083
17,11_01_17,6.31680731428187
18,11_01_18,0.1171417269836947
19,11_01_19,0.0
20,11_01_20,0.0
21,11_01_21,0.0
22,11_01_22,0.0
23,11_01_23,0.0
24,11_02_00,0.0
25,11_02_01,0.0
26,11_02_02,0.0
27,11_02_03,0.0
28,11_02_04,0.0
29,11_02_05,0.0
30,11_02_06,0.0
31,11_02_07,31.117905643351815
32,11_02_08,224.58358327757705
33,11_02_09,284.4014103427001
34,11_02_10,332.3357757394544
35,11_02_11,217.3247520471493
36,11_02_12,193.44362401707932
37,11_02_13,390.10116117283445
38,11_02_14,354.47774427110016
39,11_02_15,288.4284685874784
40,11_02_16,249.4738648129143
41,11_02_17,90.87523462797934
42,11_02_18,0.10014888072716378
43,11_02_19,0.0
44,11_02_20,0.0
45,11_02_21,0.0
46,11_02_22,0.0
47,11_02_23,0.0
48,11_03_00,0.0
49,11_03_01,0.0
50,11_03_02,0.0
51,11_03_03,0.0
52,11_03_04,0.0
53,11_03_05,0.0
54,11_03_06,0.0
55,11_03_07,18.235480523412345
56,11_03_08,212.65884184519498
57,11_03_09,262.93122157479746
58,11_03_10,199.52679442737733
59,11_03_11,287.16777973280017
60,11_03_12,321.8619946922033
61,11_03_13,184.80716445293092
62,11_03_14,175.69937364258575
63,11_03_15,87.88525197816222
64,11_03_16,204.6153395803827
65,11_03_17,70.76162226636613
66,11_03_18,0.19893708979083372
67,11_03_19,0.0
68,11_03_20,0.0
69,11_03_21,0.0
70,11_03_22,0.0
71,11_03_23,0.0
72,11_04_00,0.0
73,11_04_01,0.0
74,11_04_02,0.0
75,11_04_03,0.0
76,11_04_04,0.0
77,11_04_05,0.0
78,11_04_06,0.0
79,11_04_07,8.521485082912623
80,11_04_08,55.60969727545399
81,11_04_09,161.91177520898475
82,11_04_10,66.79638745731755
83,11_04_11,169.2721924499211
84,11_04_12,306.80644326484156
85,11_04_13,320.1849514815436
86,11_04_14,296.3406703547632
87,11_04_15,232.6137964010569
88,11_04_16,225.665452970807
89,11_04_17,66.05398513058134
90,11_04_18,0.04319346537670077
91,11_04_19,0.0
92,11_04_20,0.0
93,11_04_21,0.0
94,11_04_22,0.0
95,11_04_23,0.0
96,11_05_00,0.0
97,11_05_01,0.0
98,11_05_02,0.0
99,11_05_03,0.0
100,11_05_04,0.0
101,11_05_05,0.0
102,11_05_06,0.0
103,11_05_07,19.275515659243734
104,11_05_08,203.22790394249728
105,11_05_09,241.07588628503785
106,11_05_10,297.34230409131766
107,11_05_11,308.1373420105308
108,11_05_12,311.85224507675974
109,11_05_13,308.06035352547656
110,11_05_14,293.97152698133624
111,11_05_15,265.8563816079907
112,11_05_16,216.7553325324997
113,11_05_17,68.81393141772423
114,11_05_18,0.04347703328334623
115,11_05_19,0.0
116,11_05_20,0.0
117,11_05_21,0.0
118,11_05_22,0.0
119,11_05_23,0.0
120,11_06_00,0.0
121,11_06_01,0.0
122,11_06_02,0.0
123,11_06_03,0.0
124,11_06_04,0.0
125,11_06_05,0.0
126,11_06_06,0.0
127,11_06_07,20.66309542836481
128,11_06_08,144.67750870831193
129,11_06_09,254.43079880153616
130,11_06_10,319.11323371706544
131,11_06_11,324.05184066017983
132,11_06_12,292.59094236674645
133,11_06_13,294.61392877643203
134,11_06_14,32.24376540891825
135,11_06_15,9.962043065789784
136,11_06_16,2.981855362377903
137,11_06_17,0.7810498577739121
138,11_06_18,0.0
139,11_06_19,0.0
140,11_06_20,0.0
141,11_06_21,0.0
142,11_06_22,0.0
143,11_06_23,0.0
144,11_07_00,0.0
145,11_07_01,0.0
146,11_07_02,0.0
147,11_07_03,0.0
148,11_07_04,0.0
149,11_07_05,0.0
150,11_07_06,0.0
151,11_07_07,0.6805329615509647
152,11_07_08,18.21680034484952
153,11_07_09,227.32376704792864
154,11_07_10,319.165822540755
155,11_07_11,329.5465434760919
156,11_07_12,334.10978485723314
157,11_07_13,329.0173743253511
158,11_07_14,316.62677114451475
159,11_07_15,287.77795453862535
160,11_07_16,226.26411231872507
161,11_07_17,58.5465461334151
162,11_07_18,0.02189163696758926
163,11_07_19,0.0
164,11_07_20,0.0
165,11_07_21,0.0
166,11_07_22,0.0
167,11_07_23,0.0
168,11_08_00,0.0
169,11_08_01,0.0
170,11_08_02,0.0
171,11_08_03,0.0
172,11_08_04,0.0
173,11_08_05,0.0
174,11_08_06,0.0
175,11_08_07,15.092539292223405
176,11_08_08,220.6597454938586
177,11_08_09,298.6902814142783
178,11_08_10,326.9646123202076
179,11_08_11,336.96862907554527
180,11_08_12,339.47589290621664
181,11_08_13,337.95382454714013
182,11_08_14,328.5145435010214
183,11_08_15,309.8449806693336
184,11_08_16,267.51043070740707
185,11_08_17,78.41699539939475
186,11_08_18,0.02684018698459546
187,11_08_19,0.0
188,11_08_20,0.0
189,11_08_21,0.0
190,11_08_22,0.0
191,11_08_23,0.0
192,11_09_00,0.0
193,11_09_01,0.0
194,11_09_02,0.0
195,11_09_03,0.0
196,11_09_04,0.0
197,11_09_05,0.0
198,11_09_06,0.0
199,11_09_07,14.100148416503849
200,11_09_08,207.72321371039368
201,11_09_09,275.7080282568609
202,11_09_10,319.19824317150676
203,11_09_11,337.914134377874
204,11_09_12,343.90890595362725
205,11_09_13,342.826404830031
206,11_09_14,334.10645917763753
207,11_09_15,316.9168010047835
208,11_09_16,276.77162542586336
209,11_09_17,77.23388693246966
210,11_09_18,0.019830489051805244
211,11_09_19,0.0
212,11_09_20,0.0
213,11_09_21,0.0
214,11_09_22,0.0
215,11_09_23,0.0
216,11_10_00,0.0
217,11_10_01,0.0
218,11_10_02,0.0
219,11_10_03,0.0
220,11_10_04,0.0
221,11_10_05,0.0
222,11_10_06,0.0
223,11_10_07,12.035758882209814
224,11_10_08,224.74152773533692
225,11_10_09,306.5457368949265
226,11_10_10,315.67681160912247
227,11_10_11,333.63624305906995
228,11_10_12,351.3524757254338
229,11_10_13,346.82519592930674
230,11_10_14,353.60366126600644
231,11_10_15,182.26645630364388
232,11_10_16,44.733101805889085
233,11_10_17,45.27561107442259
234,11_10_18,0.0
235,11_10_19,0.0
236,11_10_20,0.0
237,11_10_21,0.0
238,11_10_22,0.0
239,11_10_23,0.0
240,11_11_00,0.0
241,11_11_01,0.0
242,11_11_02,0.0
243,11_11_03,0.0
244,11_11_04,0.0
245,11_11_05,0.0
246,11_11_06,0.0
247,11_11_07,0.320504134027852
248,11_11_08,12.583770642275075
249,11_11_09,28.74098918051557
250,11_11_10,66.83566528789302
251,11_11_11,95.94200919524503
252,11_11_12,210.52887722092942
253,11_11_13,123.41663096601512
254,11_11_14,194.77847447283878
255,11_11_15,277.4231880323992
256,11_11_16,241.1941002397255
257,11_11_17,55.91712737109011
258,11_11_18,0.003898212492381947
259,11_11_19,0.0
260,11_11_20,0.0
261,11_11_21,0.0
262,11_11_22,0.0
263,11_11_23,0.0
264,11_12_00,0.0
265,11_12_01,0.0
266,11_12_02,0.0
267,11_12_03,0.0
268,11_12_04,0.0
269,11_12_05,0.0
270,11_12_06,0.0
271,11_12_07,7.911526795548624
272,11_12_08,213.17644544502332
273,11_12_09,299.28118026995986
274,11_12_10,328.38013905448
275,11_12_11,338.9178980637866
276,11_12_12,342.1673617723684
277,11_12_13,339.06086132006976
278,11_12_14,326.72909657887953
279,11_12_15,259.68670666971985
280,11_12_16,255.7588202874267
281,11_12_17,62.976421289100415
282,11_12_18,0.003966999722070625
283,11_12_19,0.0
284,11_12_20,0.0
285,11_12_21,0.0
286,11_12_22,0.0
287,11_12_23,0.0
288,11_13_00,0.0
289,11_13_01,0.0
290,11_13_02,0.0
291,11_13_03,0.0
292,11_13_04,0.0
293,11_13_05,0.0
294,11_13_06,0.0
295,11_13_07,1.6365221625236188
296,11_13_08,139.08277010954635
297,11_13_09,46.09653461763859
298,11_13_10,70.09104412837564
299,11_13_11,81.60238051353356
300,11_13_12,60.37711944152215
301,11_13_13,226.6193043843804
302,11_13_14,316.718347082923
303,11_13_15,292.51133875942
304,11_13_16,238.7284620952214
305,11_13_17,51.14225000026716
306,11_13_18,0.0018791953987013334
307,11_13_19,0.0
308,11_13_20,0.0
309,11_13_21,0.0
310,11_13_22,0.0
311,11_13_23,0.0
312,11_14_00,0.0
313,11_14_01,0.0
314,11_14_02,0.0
315,11_14_03,0.0
316,11_14_04,0.0
317,11_14_05,0.0
318,11_14_06,0.0
319,11_14_07,4.049055094168323
320,11_14_08,187.34452536270933
321,11_14_09,273.3774746089876
322,11_14_10,313.70491770881875
323,11_14_11,329.2317663900194
324,11_14_12,336.0173032761773
325,11_14_13,333.6770947785981
326,11_14_14,306.39276242185525
327,11_14_15,136.37868843488295
328,11_14_16,91.63588482838675
329,11_14_17,34.73942114488131
330,11_14_18,0.0
331,11_14_19,0.0
332,11_14_20,0.0
333,11_14_21,0.0
334,11_14_22,0.0
335,11_14_23,0.0
336,11_15_00,0.0
337,11_15_01,0.0
338,11_15_02,0.0
339,11_15_03,0.0
340,11_15_04,0.0
341,11_15_05,0.0
342,11_15_06,0.0
343,11_15_07,1.4551834002050157
344,11_15_08,20.61571525526206
345,11_15_09,61.25775852495508
346,11_15_10,103.62056858729527
347,11_15_11,168.3211871217171
348,11_15_12,150.25692058635346
349,11_15_13,310.6591454198852
350,11_15_14,301.322834904637
351,11_15_15,236.6985793428347
352,11_15_16,53.834808492892876
353,11_15_17,47.03075007181476
354,11_15_18,0.0
355,11_15_19,0.0
356,11_15_20,0.0
357,11_15_21,0.0
358,11_15_22,0.0
359,11_15_23,0.0
360,11_16_00,0.0
