x,y,z,rearZ,mattype,rearMat,Wm2Back
7.32021e-17,-0.5977405,0.5385577,0.5385577,a9.1.a0.NREL.2310,a9.1.a0.NREL.2310,3.486898
3.657517e-17,-0.298659,0.6780217,0.6780217,a9.1.a0.NREL.2310,a9.1.a0.NREL.2310,3.420095
-5.175581e-20,0.0004226183,0.8174858,0.8174858,a9.1.a0.NREL.2310,a9.1.a0.NREL.2310,3.5609109999999995
-3.667868e-17,0.2995042,0.9569498,0.9569498,a9.1.a0.NREL.2310,a9.1.a0.NREL.2310,3.828826
-7.330561e-17,0.5985858,1.096414,1.096414,a9.1.a0.NREL.2310,a9.1.a0.NREL.2310,4.125077
