0,Florianopolis,Brazil,-3,-27.43,-48.44,3,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
11/02/2022,01:00:00,-0.523833333333333,-1.77313333333333,-0.30985,15.0886043333333,1048.08881666666,0.157911941046711
11/02/2022,02:00:00,-0.600155172413793,-1.69715517241379,-0.32951724137931,15.1104168965517,1047.54712068965,0.158222156303273
11/02/2022,03:00:00,-0.513101694915254,-1.68562711864406,-0.287372881355932,15.1570316949152,1047.74954237288,0.157935468936254
11/02/2022,04:00:00,-0.569172413793103,-1.74956896551724,-0.323258620689655,15.0660746551724,1047.74051724137,0.158146691956796
11/02/2022,05:00:00,11.6699,-1.73438333333333,11.8849333333333,15.0254564999999,1048.38541666666,0.158005156331601
11/02/2022,06:00:00,151.181111111111,292.400629629629,71.7816666666666,15.6407911111111,1049.24646296296,0.215043800489404
11/02/2022,07:00:00,380.038596491228,556.490263157894,117.952631578947,17.1458061403508,1049.78743859649,0.293263534283031
11/02/2022,08:00:00,675.750847457627,865.613559322033,100.87627118644,18.4952427118644,1049.95837288135,0.279614335913653
11/02/2022,09:00:00,869.378571428571,926.714285714285,103.396428571428,19.0428923214285,1050.27717857142,0.258507402261311
11/02/2022,10:00:00,1014.25862068965,968.137931034482,100.331034482758,19.6892060344827,1050.26896551724,0.247903787396633
11/02/2022,11:00:00,1091.52631578947,986.877192982456,99.6929824561403,20.262417368421,1050.0878245614,0.242538173375797
11/02/2022,12:00:00,1094.35087719298,983.491228070175,105.891228070175,20.5174519298245,1049.91822807017,0.23722079500119
11/02/2022,13:00:00,1008.54642857142,952.442857142857,109.616071428571,20.6332239285714,1049.62839285714,0.234881067027093
11/02/2022,14:00:00,873.836666666666,936.9,100.975,20.7367385,1049.08881666666,0.233558530786833
11/02/2022,15:00:00,515.38947368421,532.499315789473,149.998245614035,19.7499494736842,1048.73640350877,0.233584476428015
11/02/2022,16:00:00,446.8,793.778571428571,77.4251785714285,19.4589119642857,1048.66203571428,0.241449733312091
11/02/2022,17:00:00,173.987,436.152816666666,65.0188333333333,18.3168103333333,1049.02705,0.339714343179618
11/02/2022,18:00:00,19.1046724137931,64.8124655172413,13.0617586206896,17.6880244827586,1049.29924137931,0.305735932993408
11/02/2022,19:00:00,-1.38054545454545,-1.97941818181818,-1.11383636363636,17.3161247272727,1049.63863636363,0.221747928609826
11/02/2022,20:00:00,-1.38192727272727,-1.8504909090909,-1.09734545454545,17.1644512727272,1050.11925454545,0.158683130458411
11/02/2022,21:00:00,-1.21031578947368,-2.29549122807017,-0.96,16.0348587719298,1050.23328070175,0.158464805753634
11/02/2022,22:00:00,-0.907344827586206,-2.0091724137931,-0.620241379310344,15.4931817241379,1050.14106896551,0.158206469822202
11/02/2022,23:00:00,-0.534927272727272,-1.52750909090909,-0.222981818181818,15.9485049090909,1049.80954545454,0.158308662856878
11/02/2022,00:00:00,-0.355035087719298,-1.91680701754385,-0.243859649122807,15.43907,1049.09633333333,0.158392823957524
11/03/2022,01:00:00,-0.479465517241379,-1.85953448275862,-0.341844827586206,14.599928275862,1048.48322413793,0.158133430031688
11/03/2022,02:00:00,-0.567616666666666,-1.8468,-0.273516666666666,14.7014091666666,1047.64176666666,0.157836991519758
11/03/2022,03:00:00,-0.0879137931034482,-1.68458620689655,0.145637931034482,14.6225710344827,1047.23620689655,0.158118745334099
11/03/2022,04:00:00,0.260525423728813,-1.6787627118644,0.286881355932203,14.4949564406779,1047.28586440677,0.157966112345286
11/03/2022,05:00:00,6.32183050847457,-1.61101694915254,6.26910169491525,14.3785332203389,1047.57101694915,0.157828913648794
11/03/2022,06:00:00,81.0794915254237,2.71205084745762,79.4816949152542,14.8258808474576,1048.20466101694,0.163378136133942
11/03/2022,07:00:00,237.056896551724,11.0583620689655,228.18448275862,15.8017525862068,1048.6019137931,0.197375963739452
11/03/2022,08:00:00,655.51724137931,578.731896551724,261.258620689655,18.683584137931,1048.51274137931,0.219492286774735
11/03/2022,09:00:00,698.572413793103,165.973103448275,549.291379310344,20.2787799999999,1048.67115517241,0.242914419761625
11/03/2022,10:00:00,965.266101694915,392.366101694915,577.005084745762,21.1038815254237,1048.66255932203,0.241283545575257
11/03/2022,11:00:00,931.432758620689,565.766327586206,352.137931034482,21.5007544827586,1048.18396551724,0.237560913031502
11/03/2022,12:00:00,1059.71964285714,884.353571428571,168.255357142857,21.7209094642857,1047.516375,0.234172993496656
11/03/2022,13:00:00,1013.73684210526,962.649122807017,102.456140350877,21.3154221052631,1046.90643859649,0.231626668301946
11/03/2022,14:00:00,867.432758620689,929.827586206896,97.1,21.6409870689655,1046.19037931034,0.231570075618106
11/03/2022,15:00:00,670.198275862069,864.741379310344,93.9224137931034,21.2204131034482,1045.71412068965,0.234270912428505
11/03/2022,16:00:00,299.589655172413,245.839620689655,167.029310344827,20.3225156896551,1045.79294827586,0.244526616455083
11/03/2022,17:00:00,49.0457142857142,-1.92792857142857,48.935,19.0426551785714,1045.96976785714,0.257840991257071
11/03/2022,18:00:00,9.13544827586207,-1.77422413793103,9.2566724137931,18.6500881034482,1046.18262068965,0.24225092948477
11/03/2022,19:00:00,-0.411655172413793,-1.81256896551724,-0.220293103448275,18.4291596551724,1046.40920689655,0.208607128005368
11/03/2022,20:00:00,-0.313366666666666,-1.65426666666666,-0.0921666666666666,18.4985238333333,1046.56938333333,0.158374496071767
