0,Heggelbach,Germany,2,47.853,9.136,653,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2022,01:00:00,0.966666667,0.966666667,0,10.59166667,992.14,0.22
01/01/2022,02:00:00,1.108333333,1.108333333,0,10.16666667,991.97,0.22
01/01/2022,03:00:00,0.908333333,0.908333333,0,10.11666667,991.81,0.22
01/01/2022,04:00:00,1.2,1.2,0,9.833333333,991.94,0.22
01/01/2022,05:00:00,0.933333333,0.933333333,0,10.50833333,992.07,0.22
01/01/2022,06:00:00,1.025,1.025,0,10.98333333,992.2,0.22
01/01/2022,07:00:00,1.183333333,1.141666667,0.033333333,11.93333333,992.69,0.22
01/01/2022,08:00:00,1.433333333,1.391666667,0.041666667,13.54166667,993.18,0.22
01/01/2022,09:00:00,11.45,6.05,5.391666667,13.68333333,993.67,0.22
01/01/2022,10:00:00,101.1833333,81.78333333,19.38333333,11.54166667,993.02,0.22
01/01/2022,11:00:00,212.9666667,183.8833333,29.08333333,11.95,992.36,0.22
01/01/2022,12:00:00,293.525,256.8083333,36.70833333,13.08333333,991.71,0.22
01/01/2022,13:00:00,319.0416667,273.0916667,45.96666667,13.775,990.86,0.22
01/01/2022,14:00:00,294.3833333,249.475,44.91666667,13.83333333,990.01,0.22
01/01/2022,15:00:00,186.125,112.9166667,73.20833333,14.15,989.16,0.22
01/01/2022,16:00:00,114.4833333,47.71666667,66.76666667,13.6,989.49,0.22
01/01/2022,17:00:00,30.34166667,9.233333333,21.1,13.43333333,989.82,0.22
01/01/2022,18:00:00,2.566666667,1.85,0.741666667,11.65,990.14,0.22
01/01/2022,19:00:00,1.25,1.25,0,11.28333333,990.8,0.22
01/01/2022,20:00:00,0.891666667,0.891666667,0,12.21666667,991.45,0.22
01/01/2022,21:00:00,1.025,1.025,0,11.94166667,992.1,0.22
01/01/2022,22:00:00,1.208333333,1.208333333,0,11.28333333,992.14,0.22
01/01/2022,23:00:00,1.608333333,1.525,0.091666667,11.2,992.17,0.22
01/01/2022,00:00:00,1.166666667,1.166666667,0,10.2,992.2,0.22
01/02/2022,01:00:00,1.083333333,1.083333333,0,9.825,992.3,0.22
01/02/2022,02:00:00,0.883333333,0.883333333,0,9.366666667,992.4,0.22
01/02/2022,03:00:00,1.316666667,1.316666667,0,10.13333333,992.49,0.22
01/02/2022,04:00:00,1.191666667,1.191666667,0,8.591666667,992.66,0.22
01/02/2022,05:00:00,1.441666667,1.441666667,0,8.508333333,992.82,0.22
01/02/2022,06:00:00,0.908333333,0.908333333,0,7.758333333,992.98,0.22
01/02/2022,07:00:00,1.283333333,1.283333333,0,8.341666667,993.57,0.22
01/02/2022,08:00:00,1.075,1.075,0,8.133333333,994.16,0.22
01/02/2022,09:00:00,17.44166667,5.358333333,12.08333333,8.075,994.75,0.22
01/02/2022,10:00:00,113.4083333,39.39166667,73.99166667,10.075,994,0.22
01/02/2022,11:00:00,158.3583333,69.6,88.73333333,11.95833333,993.25,0.22
01/02/2022,12:00:00,222.95,69.05833333,153.8916667,10.93333333,992.49,0.22
01/02/2022,13:00:00,159.3833333,21.475,137.925,9.4,991.55,0.22
01/02/2022,14:00:00,146.7833333,18.45833333,128.3166667,13.25833333,990.6,0.22
01/02/2022,15:00:00,90.19166667,3.45,86.74166667,10.125,989.65,0.22
01/02/2022,16:00:00,70.93333333,12.03333333,58.90833333,10.81666667,989.82,0.22
01/02/2022,17:00:00,16.14166667,2.608333333,13.54166667,11.88333333,989.98,0.22
01/02/2022,18:00:00,1.091666667,1.091666667,0,11.76666667,990.14,0.22
01/02/2022,19:00:00,0.85,0.85,0,14.325,990.76,0.22
01/02/2022,20:00:00,0.866666667,0.866666667,0,14.06666667,991.38,0.22
01/02/2022,21:00:00,0.616666667,0.616666667,0,12.7,992,0.22
01/02/2022,22:00:00,0.708333333,0.7,0,11.45833333,992.1,0.22
01/02/2022,23:00:00,0.733333333,0.733333333,0,13.525,992.2,0.22
01/02/2022,00:00:00,0.908333333,0.908333333,0,12.05,992.3,0.22
01/03/2022,01:00:00,0.875,0.875,0,12.625,992.33,0.22
01/03/2022,02:00:00,0.825,0.825,0,12.7,992.36,0.22
01/03/2022,03:00:00,0.85,0.85,0,12.91666667,992.4,0.22
01/03/2022,04:00:00,0.891666667,0.891666667,0,13.06666667,992.66,0.22
01/03/2022,05:00:00,0.883333333,0.883333333,0,13.19166667,992.92,0.22
01/03/2022,06:00:00,0.941666667,0.941666667,0,13.825,993.18,0.22
01/03/2022,07:00:00,0.958333333,0.958333333,0,12.33333333,993.8,0.22
01/03/2022,08:00:00,0.8,0.8,0,10.33333333,994.42,0.22
01/03/2022,09:00:00,5.458333333,2.033333333,3.433333333,10.425,995.04,0.22
01/03/2022,10:00:00,22.9,2.216666667,20.675,10.55,994.23,0.22
01/03/2022,11:00:00,60.06666667,1.975,58.09166667,9.833333333,993.41,0.22
01/03/2022,12:00:00,80.775,2.266666667,78.5,10.24166667,992.59,0.22
01/03/2022,13:00:00,123.2333333,2.825,120.4333333,10.85833333,991.58,0.22
01/03/2022,14:00:00,134.8416667,2.241666667,132.6166667,10.93333333,990.57,0.22
01/03/2022,15:00:00,104.7833333,4.658333333,100.1333333,12.16666667,989.55,0.22
