local_time,prectotland
2018-12-31,0.019142857142857145
2019-01-01,0.00375
2019-01-02,0.0
2019-01-03,0.000125
2019-01-04,0.000125
2019-01-05,0.0007499999999999999
2019-01-06,0.016958333333333332
2019-01-07,0.03575
2019-01-08,0.007375
2019-01-09,0.0
2019-01-10,0.00975
2019-01-11,0.48504166666666665
2019-01-12,0.041625
2019-01-13,0.0008333333333333334
2019-01-14,0.0
2019-01-15,0.0014166666666666668
2019-01-16,0.02716666666666667
2019-01-17,0.014124999999999999
2019-01-18,0.16745833333333335
2019-01-19,0.0008333333333333334
2019-01-20,0.000125
2019-01-21,0.0515
2019-01-22,0.12204166666666666
2019-01-23,0.020875
2019-01-24,0.14416666666666667
2019-01-25,0.017249999999999998
2019-01-26,0.011666666666666667
2019-01-27,0.008416666666666668
2019-01-28,0.143125
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.001958333333333333
2019-02-02,0.0060416666666666665
2019-02-03,0.008791666666666666
2019-02-04,0.007958333333333333
2019-02-05,0.008041666666666667
2019-02-06,0.13208333333333333
2019-02-07,0.010875000000000001
2019-02-08,0.0031666666666666666
2019-02-09,0.013708333333333335
2019-02-10,0.0018333333333333333
2019-02-11,0.0008333333333333334
2019-02-12,4.1666666666666665e-05
2019-02-13,0.0028750000000000004
2019-02-14,0.07333333333333333
2019-02-15,0.04145833333333333
2019-02-16,0.05429166666666666
2019-02-17,0.025916666666666668
2019-02-18,0.063875
2019-02-19,0.036
2019-02-20,0.007958333333333333
2019-02-21,0.025249999999999998
2019-02-22,0.24429166666666668
2019-02-23,0.091125
2019-02-24,0.011458333333333334
2019-02-25,0.006625
2019-02-26,0.002416666666666667
2019-02-27,0.011125000000000001
2019-02-28,0.011083333333333334
2019-03-01,0.07012499999999999
2019-03-02,0.2525833333333333
2019-03-03,0.12954166666666667
2019-03-04,0.009875
2019-03-05,0.022000000000000002
2019-03-06,0.112875
2019-03-07,0.11125
2019-03-08,0.07579166666666666
2019-03-09,0.02675
2019-03-10,0.02043478260869565
2019-03-11,0.021166666666666667
2019-03-12,0.08308333333333334
2019-03-13,1.0627916666666668
2019-03-14,0.03208333333333333
2019-03-15,0.00475
2019-03-16,0.005625000000000001
2019-03-17,0.00037500000000000006
2019-03-18,0.0006666666666666666
2019-03-19,0.0006666666666666666
2019-03-20,0.0
2019-03-21,0.004916666666666667
2019-03-22,0.188125
2019-03-23,0.07037500000000001
2019-03-24,0.03979166666666667
2019-03-25,0.0007083333333333334
2019-03-26,0.0
2019-03-27,0.0007500000000000001
2019-03-28,0.005083333333333333
2019-03-29,0.2061666666666667
2019-03-30,0.059125000000000004
2019-03-31,0.011416666666666667
2019-04-01,0.004916666666666666
2019-04-02,0.019375
2019-04-03,0.021166666666666667
2019-04-04,0.0010416666666666667
2019-04-05,0.0021666666666666666
2019-04-06,0.007583333333333333
2019-04-07,0.005958333333333333
2019-04-08,4.1666666666666665e-05
2019-04-09,0.0
2019-04-10,0.4300833333333333
2019-04-11,0.04495833333333333
2019-04-12,0.058791666666666666
2019-04-13,0.07162500000000001
2019-04-14,0.0060416666666666665
2019-04-15,0.005083333333333333
2019-04-16,0.00175
2019-04-17,0.013125
2019-04-18,0.007625
2019-04-19,0.0
2019-04-20,0.0007500000000000001
2019-04-21,0.16258333333333333
2019-04-22,0.034458333333333334
2019-04-23,0.008833333333333334
2019-04-24,0.0035
2019-04-25,0.0026666666666666666
2019-04-26,0.07145833333333333
2019-04-27,0.026375
2019-04-28,0.0605
2019-04-29,0.2714583333333333
2019-04-30,0.15695833333333334
2019-05-01,0.07383333333333333
2019-05-02,0.015708333333333335
2019-05-03,0.000625
2019-05-04,0.000125
2019-05-05,0.008708333333333334
2019-05-06,0.033375
2019-05-07,0.22645833333333332
2019-05-08,0.362875
2019-05-09,0.2235
2019-05-10,0.051125000000000004
2019-05-11,0.020625
2019-05-12,0.0005416666666666668
2019-05-13,0.0004166666666666667
2019-05-14,0.0026666666666666666
2019-05-15,0.005458333333333333
2019-05-16,0.006666666666666667
2019-05-17,0.06216666666666667
2019-05-18,0.04016666666666666
2019-05-19,0.0745
2019-05-20,0.7499166666666667
2019-05-21,0.237375
2019-05-22,0.116375
2019-05-23,0.07716666666666668
2019-05-24,0.015416666666666667
2019-05-25,0.0009583333333333333
2019-05-26,0.121
2019-05-27,0.13112500000000002
2019-05-28,0.20933333333333334
2019-05-29,0.05933333333333333
2019-05-30,0.030625
2019-05-31,0.020041666666666666
2019-06-01,0.052583333333333336
2019-06-02,0.032375
2019-06-03,0.08829166666666666
2019-06-04,0.012416666666666666
2019-06-05,0.20220833333333332
2019-06-06,0.016208333333333335
2019-06-07,0.07333333333333333
2019-06-08,0.043625
2019-06-09,0.016791666666666667
2019-06-10,0.0
2019-06-11,0.0016666666666666668
2019-06-12,0.002041666666666667
2019-06-13,0.006791666666666667
2019-06-14,0.012541666666666666
2019-06-15,0.10579166666666667
2019-06-16,0.076125
2019-06-17,0.4503333333333333
2019-06-18,0.384625
2019-06-19,0.011624999999999998
2019-06-20,0.026625
2019-06-21,0.25533333333333336
2019-06-22,0.3370416666666667
2019-06-23,0.09191666666666666
2019-06-24,0.01025
2019-06-25,0.015833333333333335
2019-06-26,0.003833333333333334
2019-06-27,0.0017083333333333334
2019-06-28,0.0065
2019-06-29,0.02395833333333333
2019-06-30,0.07425
2019-07-01,0.34808333333333336
2019-07-02,0.13045833333333332
2019-07-03,0.010708333333333334
2019-07-04,0.105375
2019-07-05,0.16816666666666666
2019-07-06,0.05254166666666666
