local_time,prectotland
2019-01-01,0.0012916666666666667
2019-01-02,0.0017916666666666669
2019-01-03,0.004166666666666667
2019-01-04,0.011750000000000002
2019-01-05,0.0020833333333333333
2019-01-06,0.003875
2019-01-07,0.024041666666666666
2019-01-08,0.0026666666666666666
2019-01-09,0.004875
2019-01-10,0.01575
2019-01-11,0.01575
2019-01-12,0.017833333333333333
2019-01-13,0.007625
2019-01-14,0.011874999999999998
2019-01-15,0.005833333333333334
2019-01-16,0.072625
2019-01-17,0.13816666666666666
2019-01-18,0.08079166666666666
2019-01-19,0.038375
2019-01-20,0.10479166666666667
2019-01-21,0.09720833333333334
2019-01-22,0.05395833333333333
2019-01-23,0.018291666666666668
2019-01-24,0.13145833333333332
2019-01-25,0.21408333333333332
2019-01-26,0.042833333333333334
2019-01-27,0.042833333333333334
2019-01-28,0.012124999999999999
2019-01-29,0.014916666666666667
2019-01-30,0.06570833333333333
2019-01-31,0.15408333333333332
2019-02-01,0.16741666666666666
2019-02-02,0.5660416666666667
2019-02-03,0.11916666666666666
2019-02-04,0.05425
2019-02-05,0.032125
2019-02-06,0.02704166666666667
2019-02-07,0.044125
2019-02-08,0.031875
2019-02-09,0.048875
2019-02-10,0.008291666666666668
2019-02-11,0.005208333333333333
2019-02-12,0.006958333333333334
2019-02-13,0.002041666666666667
2019-02-14,0.0047083333333333335
2019-02-15,0.072875
2019-02-16,0.064625
2019-02-17,0.09691666666666666
2019-02-18,0.290875
2019-02-19,0.438
2019-02-20,0.020666666666666667
2019-02-21,0.006625
2019-02-22,0.017625
2019-02-23,0.013
2019-02-24,0.011333333333333334
2019-02-25,0.11266666666666668
2019-02-26,0.08020833333333334
2019-02-27,0.13854166666666667
2019-02-28,0.05004166666666667
2019-03-01,0.14525
2019-03-02,0.005625000000000001
2019-03-03,0.000625
2019-03-04,0.030416666666666665
2019-03-05,0.041125
2019-03-06,0.17820833333333333
2019-03-07,0.15
2019-03-08,0.08437499999999999
2019-03-09,0.14320833333333333
2019-03-10,0.052291666666666674
2019-03-11,0.060458333333333336
2019-03-12,0.06741666666666667
2019-03-13,0.09879166666666667
2019-03-14,0.12862500000000002
2019-03-15,0.22120833333333334
2019-03-16,0.134375
2019-03-17,0.213
2019-03-18,0.05104166666666667
2019-03-19,0.15554166666666666
2019-03-20,0.21533333333333335
2019-03-21,0.17745833333333336
2019-03-22,0.25737499999999996
2019-03-23,0.13383333333333333
2019-03-24,0.109375
2019-03-25,0.322
2019-03-26,0.027583333333333335
2019-03-27,0.13908333333333334
2019-03-28,0.178875
2019-03-29,0.3348333333333333
2019-03-30,0.43954166666666666
2019-03-31,0.2824583333333333
2019-04-01,0.10316666666666667
2019-04-02,0.18420833333333334
2019-04-03,0.25433333333333336
2019-04-04,0.4895
2019-04-05,0.4766666666666666
2019-04-06,0.24550000000000002
2019-04-07,0.5722083333333333
2019-04-08,0.9863749999999999
2019-04-09,0.12779166666666666
2019-04-10,0.5969583333333334
2019-04-11,0.7854166666666668
2019-04-12,0.098375
2019-04-13,0.18204166666666666
2019-04-14,0.435875
2019-04-15,0.30741666666666667
2019-04-16,0.06141666666666667
2019-04-17,0.030166666666666665
2019-04-18,0.10929166666666668
2019-04-19,0.166125
2019-04-20,0.3057083333333333
2019-04-21,0.01979166666666667
2019-04-22,0.15533333333333335
2019-04-23,0.45075
2019-04-24,0.0075
2019-04-25,0.04429166666666667
2019-04-26,0.5122916666666667
2019-04-27,0.022750000000000003
2019-04-28,0.21183333333333332
2019-04-29,0.3765833333333333
2019-04-30,0.2265
2019-05-01,0.31475000000000003
2019-05-02,0.5402916666666667
2019-05-03,0.4405833333333333
2019-05-04,0.22608333333333333
2019-05-05,0.04816666666666666
2019-05-06,0.18666666666666668
2019-05-07,0.25833333333333336
2019-05-08,0.144375
2019-05-09,0.14395833333333333
2019-05-10,0.04225
2019-05-11,0.07791666666666668
2019-05-12,0.10570833333333333
2019-05-13,0.21858333333333335
2019-05-14,0.2500833333333333
2019-05-15,0.6782500000000001
2019-05-16,0.016666666666666666
2019-05-17,0.07479166666666666
2019-05-18,0.258375
2019-05-19,0.050624999999999996
2019-05-20,3.049291666666667
2019-05-21,0.18570833333333334
2019-05-22,0.313125
2019-05-23,0.7463333333333333
2019-05-24,0.12783333333333333
2019-05-25,0.3645416666666667
2019-05-26,0.08979166666666666
2019-05-27,0.15204166666666666
2019-05-28,0.06858333333333334
2019-05-29,0.10391666666666667
2019-05-30,0.24845833333333334
2019-05-31,0.5919166666666666
2019-06-01,0.9922916666666667
2019-06-02,0.2816666666666667
2019-06-03,0.08029166666666666
2019-06-04,0.2541666666666667
2019-06-05,0.165375
2019-06-06,0.2383333333333333
2019-06-07,0.44
2019-06-08,0.40229166666666666
2019-06-09,0.10670833333333334
2019-06-10,0.125
2019-06-11,0.044875
2019-06-12,0.018958333333333334
2019-06-13,0.024791666666666667
2019-06-14,0.33370833333333333
2019-06-15,0.3325416666666667
2019-06-16,0.18700000000000003
2019-06-17,0.11262499999999999
2019-06-18,0.08345833333333334
2019-06-19,0.13170833333333334
2019-06-20,0.233375
2019-06-21,0.15895833333333334
2019-06-22,0.20083333333333334
2019-06-23,1.491125
2019-06-24,0.40641666666666665
2019-06-25,0.26825
2019-06-26,0.27016666666666667
2019-06-27,0.15625
2019-06-28,0.131625
2019-06-29,0.11212500000000002
2019-06-30,0.19120833333333334
2019-07-01,0.10733333333333334
2019-07-02,0.249125
2019-07-03,0.5028333333333334
2019-07-04,0.6393333333333333
2019-07-05,0.09608333333333334
