Hours,soiling_accumulation,rs_hegazy
0,0.0,0.0
1,0.02759327511328135,0.003147506038249666
2,0.0551865502265627,0.005662496652076349
3,0.08277982533984406,0.007983247457732564
4,0.1103731004531254,0.010185952345602165
5,0.13796637556640676,0.012304602559135963
6,0.16555965067968811,0.014358368271000985
7,0.19315292579296947,0.01635949296168003
8,0.2207462009062508,0.01831643557880907
9,0.24833947601953216,0.020235367842394384
10,0.0,0.0
11,0.02759327511328135,0.003147506038249666
12,0.0551865502265627,0.005662496652076349
13,0.08277982533984406,0.007983247457732564
14,0.1103731004531254,0.010185952345602165
15,0.13796637556640676,0.012304602559135963
16,0.16555965067968811,0.014358368271000985
17,0.19315292579296947,0.01635949296168003
18,0.2207462009062508,0.01831643557880907
19,0.24833947601953216,0.020235367842394384
20,0.0,0.0
21,0.02759327511328135,0.003147506038249666
22,0.0551865502265627,0.005662496652076349
23,0.08277982533984406,0.007983247457732564
24,0.1103731004531254,0.010185952345602165
25,0.13796637556640676,0.012304602559135963
26,0.16555965067968811,0.014358368271000985
27,0.19315292579296947,0.01635949296168003
28,0.2207462009062508,0.01831643557880907
29,0.24833947601953216,0.020235367842394384
