0,Golden,Colorado,-7,39.739,-105.172,1829
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Alb
09/31/2019,24:00:00,0,0,0,8.79,0
10/01/2019,01:00:00,0,0,0,8.79,0
10/01/2019,02:00:00,0,0,0,8.89,0
10/01/2019,03:00:00,0,0,0,8.83,0
10/01/2019,04:00:00,0,0,0,8.97,0
10/01/2019,05:00:00,0,0,0,9.06,0
10/01/2019,06:00:00,0,0,0,9.17,0
10/01/2019,07:00:00,7.2,2.1,7.1,9.03,0
10/01/2019,08:00:00,33.96,0.93,33.68,8.44,0
10/01/2019,09:00:00,110.59,0.68,110.3,8.1,0
10/01/2019,10:00:00,154.85,0.51,154.55,8.05,0
10/01/2019,11:00:00,151.45,0.04,151.42,8.02,0
10/01/2019,12:00:00,130.93,0.11,130.85,7.7,0
10/01/2019,13:00:00,106.06,0,106.05,8.09,0
10/01/2019,14:00:00,60.49,0,60.49,7.86,0
10/01/2019,15:00:00,46.05,0.04,46.03,7.76,0
10/01/2019,16:00:00,28.17,0.12,28.12,7.66,0
10/01/2019,17:00:00,13.87,0.37,13.79,7.45,0
10/01/2019,18:00:00,1.89,2.28,1.8,7.34,0
10/01/2019,19:00:00,0,0,0,7.2,0
10/01/2019,20:00:00,0,0,0,7.1,0
10/01/2019,21:00:00,0,0,0,6.84,0
10/01/2019,22:00:00,0,0,0,6.35,0
10/01/2019,23:00:00,0,0,0,5.81,0
10/01/2019,24:00:00,0,0,0,5.81,1
